Angaben		Geldwerte Leistungen im Zusammenhang mit Veranstaltungen	Dienstleistungs- und Beratungshonorare
Insel Gruppe AG	Bern	Freiburgstrasse 18	0 CHF	27 900 CHF	0 CHF	0 CHF	6 700 CHF	0 CHF
IOSI	Bellinzona	Via Ospedale 12	0 CHF	2 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
IPW- Psychiatrie-Zentrum Hard	Embrach	Römerweg 51	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Kantonsspital Aarau AG	Aarau	Tellstrasse 25	0 CHF	3 200 CHF	0 CHF	0 CHF	14 851 CHF	0 CHF
Kantonsspital Baden AG	Baden	Im Ergel 1	0 CHF	6 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Kantonsspital Baselland	Liestal	Rheinstrasse 26	0 CHF	0 CHF	0 CHF	0 CHF	3 050 CHF	0 CHF
Kantonsspital Graubünden	Chur	Loëstrasse 170	5 000 CHF	11 000 CHF	0 CHF	0 CHF	1 252 CHF	0 CHF
Kantonsspital St. Gallen	St. Gallen	Rorschacherstrasse 95	0 CHF	40 600 CHF	0 CHF	0 CHF	12 570 CHF	0 CHF
Kantonsspital Winterthur	Winterthur	Brauerstrasse 15	0 CHF	13 000 CHF	0 CHF	0 CHF	2 000 CHF	0 CHF
Kinderspital Zürich	Zürich	Steinwiesstrasse 75	0 CHF	4 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Angaben		Geldwerte Leistungen im Zusammenhang mit Veranstaltungen	Dienstleistungs- und Beratungshonorare
VOLLSTÄNDIGER NAME	STADT	GESCHÄFTSADRESSE	FINANZIELLE ODER MATERIELLE SPENDEN SOWIE FÖRDERUNGEN	UNTERSTÜTZUNG VON ORGANISATIONEN ODER VON DIESEN MIT DER DURCHFÜHRUNG DER VERANSTALTUNG BEAUFTRAGTE DRITTE	TAGUNGS- UND TEILNAHMEGEBÜHREN	REISE- UND ÜBERNACHTUNGSKOSTEN	HONORARE	AUSLAGEN
KMG	Baar	Landhausstrasse 17/19	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Kompetenznetzwerk	Wilen b. Wollerau	Hungerstrasse 47	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Luzerner Kantonsspital	Luzern	Spitalstrasse	0 CHF	11 550 CHF	0 CHF	0 CHF	7 910 CHF	0 CHF
Luzerner Psychiatrie	Luzern	Areal Kantonsspital 11	0 CHF	1 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Luzerner Psychiatrie	St. Urban	Schafmattstrasse 1	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Medical Center im Waldhotel	Obbürgen	Bürgenstock 30	0 CHF	9 800 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Merian Iselin Spital	Basel	Föhrenstrasse 2	5 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF	0 CHF
OLM Fondazione Oncologia	Locarno	via Ciseri 19	0 CHF	1 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Onkologiepflege Schweiz	Kleinandelfingen	Hirstigstrasse 13	0 CHF	13 750 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Onkozentrum Hirslanden	Zürich	Witellikerstrasse 40	0 CHF	0 CHF	0 CHF	0 CHF	7 808 CHF	0 CHF
Org. Sociopsichiatrica Cantonale	Mendrisio	Via Agostino Maspoli 6	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Ospedale Bellinzona e Valli EOC	Bellinzona	Via Ospedale	0 CHF	1 800 CHF	0 CHF	0 CHF	1 200 CHF	0 CHF
Pierre Michetti Academic	Cully	Chemin Des Colombaires 16	0 CHF	0 CHF	0 CHF	0 CHF	3 600 CHF	0 CHF
Privatklinik Wyss AG	Münchenbuchsee	Fellenbergstrasse 34	0 CHF	2 800 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Pro Medicus GmbH	Zürich	Bahnhofplatz 4	0 CHF	1 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Angaben		Geldwerte Leistungen im Zusammenhang mit Veranstaltungen	Dienstleistungs- und Beratungshonorare
VOLLSTÄNDIGER NAME	STADT	GESCHÄFTSADRESSE	FINANZIELLE ODER MATERIELLE SPENDEN SOWIE FÖRDERUNGEN	UNTERSTÜTZUNG VON ORGANISATIONEN ODER VON DIESEN MIT DER DURCHFÜHRUNG DER VERANSTALTUNG BEAUFTRAGTE DRITTE	TAGUNGS- UND TEILNAHMEGEBÜHREN	REISE- UND ÜBERNACHTUNGSKOSTEN	HONORARE	AUSLAGEN
PsoriNet	Uster	Oberlandstrasse 100	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Psychiatrie Baselland	Liestal	Bienentalstrasse 7	0 CHF	2 800 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Psychiatrie St.Gallen Nord	Wil SG	Zürcherstrasse 30	0 CHF	3 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Psychiatriezentrum Breitenau	Schaffhausen	Nordstrasse 111	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Psychiatrische Dienste Aargau AG	Windisch	Zürcherstrasse 241	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
PZM Psychiatriezentrum Münsingen	Münsingen	Hunzigenallee 1	0 CHF	1 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
QualiCCare	Baden	Rütistrasse 3a	0 CHF	10 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
RFSM-Réseau de santé mentale	Marsens	Route De L'hôpital 140	0 CHF	3 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Rheuma Schweiz	Zürich	Aargauerstrasse 250	0 CHF	20 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
SAKK Koordinationszentrum	Bern	Effingerstrasse 33	0 CHF	36 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
SAMO - Geschäftsstelle	Bern	Effingerstrasse 40	0 CHF	14 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Sanatorium Kilchberg AG	Kilchberg ZH	Alte Landstrasse 70	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Schweizerische Fachgesellschaft ADHS	Büren an der Aare	Mühlematt 11	0 CHF	500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Schweizerische Gesellschaft für Intensive Dynamische Kurzpsychotherapie	Bern	Sulgeneckstrasse 38	0 CHF	1 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
SGAMSP	Zürich	Weinbergstrasse 31	0 CHF	5 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Angaben		Geldwerte Leistungen im Zusammenhang mit Veranstaltungen	Dienstleistungs- und Beratungshonorare
VOLLSTÄNDIGER NAME	STADT	GESCHÄFTSADRESSE	FINANZIELLE ODER MATERIELLE SPENDEN SOWIE FÖRDERUNGEN	UNTERSTÜTZUNG VON ORGANISATIONEN ODER VON DIESEN MIT DER DURCHFÜHRUNG DER VERANSTALTUNG BEAUFTRAGTE DRITTE	TAGUNGS- UND TEILNAHMEGEBÜHREN	REISE- UND ÜBERNACHTUNGSKOSTEN	HONORARE	AUSLAGEN
SGDV	Bern	Dalmazirain 11	0 CHF	53 400 CHF	0 CHF	0 CHF	1 810 CHF	0 CHF
SGG - SSG	Bern	Wattenwylweg 21	0 CHF	35 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
SGPH	Basel	Münsterberg 1	0 CHF	16 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
SGPP / SSPP	Bern	Altenbergstrasse 29	0 CHF	36 500 CHF	0 CHF	0 CHF	250 CHF	0 CHF
SGR-SSR	Zürich	Josefstrasse 92	0 CHF	8 820 CHF	0 CHF	0 CHF	0 CHF	0 CHF
SGU-SSU	Montreux	Avenue des Planches 15	0 CHF	17 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Solothurner Spitäler AG	Solothurn	Schöngrünstrasse 36A	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Spital Thurgau AG	Frauenfeld	Waldeggstrasse 8a	0 CHF	2 000 CHF	0 CHF	0 CHF	1 250 CHF	0 CHF
SSH SGH SSE	Zürich	Bahnhofplatz 4	0 CHF	5 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
St. Claraspital AG	Basel	Kleinriehenstrasse 30	0 CHF	0 CHF	0 CHF	0 CHF	300 CHF	0 CHF
St.Gallen Oncology Conferences	St. Gallen	Rorschacherstrasse 150	0 CHF	3 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Stift für wiss.Forschung Triemli	Zürich	Birmensdorferstrasse 497	5 000 CHF	6 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Stiftung Kliniken Valens	Valens	Taminaplatz 1	0 CHF	1 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Stiftung Prostatakrebsforschung	Aarau	.	0 CHF	6 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
STPP	Coldrerio	Via Campagnola 112	0 CHF	1 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Angaben		Geldwerte Leistungen im Zusammenhang mit Veranstaltungen	Dienstleistungs- und Beratungshonorare
VOLLSTÄNDIGER NAME	STADT	GESCHÄFTSADRESSE	FINANZIELLE ODER MATERIELLE SPENDEN SOWIE FÖRDERUNGEN	UNTERSTÜTZUNG VON ORGANISATIONEN ODER VON DIESEN MIT DER DURCHFÜHRUNG DER VERANSTALTUNG BEAUFTRAGTE DRITTE	TAGUNGS- UND TEILNAHMEGEBÜHREN	REISE- UND ÜBERNACHTUNGSKOSTEN	HONORARE	AUSLAGEN
SVA Sektion Bern	Hondrich	Hondrichstrasse 81	0 CHF	750 CHF	0 CHF	0 CHF	0 CHF	0 CHF
SwAPP	Bern	.	0 CHF	1 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Swiss Tumor Institute Pl. Zürich	Zürich	Seestrasse 259	0 CHF	32 300 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Trägerverein SOHC	Zürich	Talackerstrasse 50	0 CHF	15 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
United States Mission to Intn. Org.	Chambésy	11, route de Pregny	0 CHF	4 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Universitäre Psych. Kliniken UPK	Basel	Wilhelm Kleinstrasse 27	0 CHF	7 500 CHF	0 CHF	0 CHF	1 700 CHF	0 CHF
Universität Basel	Basel	Petersplatz 1	0 CHF	10 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Universität Bern	Bern	Hochschulstrasse 4	0 CHF	1 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Universität Zürich (UZH)	Zürich	Rämistrasse 71	0 CHF	26 000 CHF	0 CHF	0 CHF	2 510 CHF	0 CHF
Universitätsspital Basel	Basel	Spitalstrasse 21	0 CHF	20 000 CHF	0 CHF	0 CHF	25 122 CHF	0 CHF
UniversitätsSpital Zürich	Zürich	Rämistrasse 100	10 000 CHF	27 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Université de Genève	Genève	Rue du Général-Dufour 24	0 CHF	3 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
UPD Univ.Psychiatr.Dienste	Bern	Murtenstrasse 21	0 CHF	4 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Uroviva Klinik AG	Bülach	Zürichstrasse 5	5 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Werner Alfred Selo Stiftung	Zürich	Reitergasse 11	0 CHF	3 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
