"",Dr. med. Balmelli Manuela,Lugano,Switzerland,Via Soldino 5,"",N/A,N/A,"533,30","558,50","","","","1.091,80"
"",Dr. med. Baumann Reinhard,Zürich,Switzerland,Dufourstrasse 29,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. med. Bertisch-Möllenhoff Barbara,Bern,Switzerland,Finkenhubelweg 11,"",N/A,N/A,"470,57","317,63","","","","788,20"
"",Dr. med. Binek Janek,St. Gallen,Switzerland,Rosenbergstrasse 42b,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. med. Boffi El Amari Emmanuelle,Genève,Switzerland,Rue de la Servette 55,"",N/A,N/A,"319,71","1.013,50","","","","1.333,21"
"",Dr. med. Braun Dominique,Zürich,Switzerland,"Rämistrasse 100 Universitätsspital Zürich","",N/A,N/A,"","26,72","562,50","187,50","","776,72"
"",Dr. med. Bregenzer Andrea,Aarau,Switzerland,Tellstrasse,"",N/A,N/A,"","1.072,90","","","","1.072,90"
"",Dr. med. Bruggmann Philip,Zürich,Switzerland,Konradstrasse 1,"",N/A,N/A,"","","1.950,50","187,50","","2.138,00"
"",Dr. med. Brunner Nathalie,Zürich,Switzerland,Stampfenbachstrasse 106,"",N/A,N/A,"477,05","2.758,23","","","","3.235,28"
"",Dr. med. Csepregi Antal,Reinach BL,Switzerland,Angensteinerstrasse 2,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. med. Droll Armin,Solothurn,Switzerland,"Solothurner Spitäler AG, Schöngrünstrasse 36a","",N/A,N/A,"174,95","772,10","","","","947,05"
"",Dr. med. Ebnöther Monika,Basel,Switzerland,Kleinriehenstrasse 30,"",N/A,N/A,"174,95","626,60","","","","801,55"
"",Dr. med. Egger Thomas,Solothurn,Switzerland,Schöngrünstrasse 38 Haus 7,"",N/A,N/A,"670,00","474,00","","","","1.144,00"
"",Dr. med. Fischer Biner Reta,Bern,Switzerland,Bremgartenstrasse 117,"",N/A,N/A,"","","1.375,00","","","1.375,00"
"",Dr. med. Franciolli Mario,Bellinzona,Switzerland,Viale Portone 3,"",N/A,N/A,"","32,07","","","","32,07"
"",Dr. med. Frey Thomas,Zürich,Switzerland,Badenerstrasse 177,"",N/A,N/A,"","304,01","","","","304,01"
"",Dr. med. Fröhlich Jürg Rudolf Werner,Bern,Switzerland,Brünnenstrasse 119,"",N/A,N/A,"","","250,00","","","250,00"
"",Dr. med. Gick Ute,Thun,Switzerland,Krankenhausstrasse 12,"",N/A,N/A,"","282,90","","","","282,90"
"",Dr. med. Goede Jeroen Simon,Winterthur,Switzerland,Brauerstrasse 15,"",N/A,N/A,"","","1.323,53","176,47","","1.500,00"
"",Dr. med. Good Ignaz,Walenstadt,Switzerland,Spitalstrasse 5,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. med. Greuter Stefan,Sargans,Switzerland,Bahnhofpark 2b,"",N/A,N/A,"670,00","576,65","","","","1.246,65"
"",Dr. med. Guyot Jean,Nyon,Switzerland,La Levratte 26,"",N/A,N/A,"316,47","1.164,19","500,00","","","1.980,66"
"",Dr. med. Gwerder Christoph,Bern,Switzerland,Monbijoustrasse 10,"",N/A,N/A,"151,15","688,62","","","","839,77"
"",Dr. med. Haberthür Raphaël,Breitenbach,Switzerland,Alice Vogt-Strasse 2,"",N/A,N/A,"","225,05","","","","225,05"
"",Dr. med. Helbling Beat,Zürich,Switzerland,Toblerstrasse 51,"",N/A,N/A,"1.218,95","7.839,88","1.363,33","166,67","","10.588,83"
"",Dr. med. Hengstler Peter,St. Gallen,Switzerland,Rosenbergstrasse 42b,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. med. Hirschi Claudia,Luzern,Switzerland,Hirschengraben 33,"",N/A,N/A,"233,65","776,58","500,00","","","1.510,23"
"",Dr. med. Hochstrasser Andreas,Männedorf,Switzerland,"Asylstrasse 10 Spital Männedorf","",N/A,N/A,"670,00","576,20","","","","1.246,20"
"",Dr. med. Knuchel Jürg,Aarau,Switzerland,Tellstrasse,"",N/A,N/A,"","","500,00","","","500,00"
HCPs,Dr. med. Kronenberg Andreas,Bern,Switzerland,Bubenbergplatz 8 + 11,"",N/A,N/A,"319,62","686,54","","","","1.006,16"
"",Dr. med. Kuntzen Thomas,Zürich,Switzerland,"Rämistrasse 100 Universitätsspital Zürich","",N/A,N/A,"108,10","1.430,36","","","","1.538,46"
"",Dr. med. Magdeburg Bernhard,Wetzikon ZH,Switzerland,Spitalstrasse 66,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. med. Majer Sabine,Münsterlingen,Switzerland,Spitalcampus 1,"",N/A,N/A,"319,71","902,06","","","","1.221,77"
"",Dr. med. Michel Hannes,Schaffhausen,Switzerland,Rheinstrasse 17,"",N/A,N/A,"","306,40","","","","306,40"
"",Dr. med. Moccia Alden Alberto,Locarno,Switzerland,Via all'Ospedale 1,"",N/A,N/A,"","274,80","1.500,00","","","1.774,80"
"",Dr. med. Munoz Pablo,Zug,Switzerland,Bahnhofstrasse 28,"",N/A,N/A,"233,65","434,90","500,00","","","1.168,55"
"",Dr. med. Pedrazzini Augusto,Locarno,Switzerland,Via Vela 11,"",N/A,N/A,"151,15","996,96","","","","1.148,11"
"",Dr. med. Piso Rein Jan,Olten,Switzerland,Baslerstrasse 150,"",N/A,N/A,"533,30","1.320,84","500,00","","","2.354,14"
"",Dr. med. Riniker Florian,Aarau,Switzerland,Buchserstrasse 18,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. med. Rohr Peter,Zürich,Switzerland,Merkurstrasse 20,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. med. Rüsges-Wolter Ilka,Bern,Switzerland,Bremgartenstrasse 117,"",N/A,N/A,"318,40","595,90","","","","914,30"
"",Dr. med. Rytz Sophie,Muri b. Bern,Switzerland,Mettlengässli 2,"",N/A,N/A,"606,32","577,36","","","","1.183,68"
"",Dr. med. Schefer Hubert,Luzern,Switzerland,St. Annastrasse 32,"",N/A,N/A,"302,30","970,00","","","","1.272,30"
"",Dr. med. Scheidegger Claude,Basel,Switzerland,Hammerstrasse 123,"",N/A,N/A,"550,00","1.416,12","","","","1.966,12"
"",Dr. med. Schönenberger Astrid,Langenthal,Switzerland,St. Urbanstrasse 67,"",N/A,N/A,"660,00","","","","","660,00"
"",Dr. med. Schönenberger Isabella,St. Gallen,Switzerland,Vadianstrasse 31,"",N/A,N/A,"670,00","486,65","","","","1.156,65"
"",Dr. med. Solenthaler Max,Thun,Switzerland,Krankenhausstrasse 12,"",N/A,N/A,"151,15","665,60","","","","816,75"
"",Dr. med. Spahr Laurent,Genève,Switzerland,Rue Gabrielle-Perret-Gentil 4,"",N/A,N/A,"501,17","3.325,28","","","","3.826,45"
"",Dr. med. Sponagel Lucas,Basel,Switzerland,Grenzacherstrasse 62,"",N/A,N/A,"","180,00","","","","180,00"
"",Dr. med. Suter Walter,Schwyz,Switzerland,Zeughausstrasse 10,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. med. Thorens Joël,Yverdon-les-Bains,Switzerland,Rue d'Orbe 27,"",N/A,N/A,"316,47","818,39","375,00","","","1.509,86"
"",Dr. med. Thorn David,Basel,Switzerland,Lange Gasse 78,"",N/A,N/A,"","247,05","","","","247,05"
"",Dr. med. Uhlmann Nussbaum Catrina,Olten,Switzerland,Baslerstrasse 150,"",N/A,N/A,"670,00","698,65","","","","1.368,65"
"",Dr. med. Van Delden Christian,Genève,Switzerland,Rue Gabrielle-Perret-Gentil 4,"",N/A,N/A,"","","3.198,85","","","3.198,85"
"",Dr. med. Wachter Gert,Baden,Switzerland,Mellingerstrasse 1,"",N/A,N/A,"233,65","369,45","500,00","","","1.103,10"
"",Dr. med. Wagner Jürgen,Dörflingen,Switzerland,Gärtlistrasse 8,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. med. Wehr Klaus,Zürich,Switzerland,General-Willestrasse 15,"",N/A,N/A,"","","500,00","","","500,00"
"",Dr. Negro Francesco,Genève,Switzerland,Rue Gabrielle-Perret-Gentil 4,"",N/A,N/A,"304,74","8.945,53","4.834,81","776,60","","14.861,68"
"",Dr. Simonetta Federico,Genève,Switzerland,Rue Gabrielle-Perret-Gentil 4,"",N/A,N/A,"406,75","1.548,35","","","","1.955,10"
"",Dr. Sonderegger Beat,Luzern,Switzerland,"Spitalstrasse Kantonsspital Luzern","",N/A,N/A,"","","500,00","","","500,00"
"",Dr. Stulz Andreas Benjamin,Luzern,Switzerland,"Spitalstrasse Kantonsspital Luzern","",N/A,N/A,"","265,00","","","","265,00"
"",Dr. Vonlaufen Alain,Genève,Switzerland,Rue Giovanni-gambini 8,"",N/A,N/A,"316,47","787,44","","","","1.103,91"
"",Dr. Widmer Anouk Andrea,Zürich,Switzerland,"Rämistrasse 100 Universitätsspital Zürich","",N/A,N/A,"","","882,35","117,65","","1.000,00"
"",Dr. Wöhrle Stefanie,Luzern,Switzerland,"Spitalstrasse Kantonsspital Luzern","",N/A,N/A,"672,70","792,85","","","","1.465,55"
"",PD Dr. med. Garzoni Christian,Lugano,Switzerland,Riva Caccia 1b,"",N/A,N/A,"418,46","729,51","","","","1.147,97"
"",PD Dr. med. Günthard Huldrych Fritz,Zürich,Switzerland,"Rämistrasse 100 Universitätsspital Zürich","",N/A,N/A,"502,37","4.499,96","2.250,00","","","7.252,33"
"",PD Dr. med. Schanz Urs,Zürich,Switzerland,"Rämistrasse 100 Universitätsspital Zürich","",N/A,N/A,"408,75","833,45","","","","1.242,20"
"",PD Dr. med. Schleiffenbaum Boris,Zürich,Switzerland,Bellariastrasse 38,"",N/A,N/A,"","330,90","","","","330,90"
"",PD Dr. med. Wildi Stephan,Luzern,Switzerland,"St. Annastrasse 32 Klinik St. Anna","",N/A,N/A,"","","500,00","","","500,00"
"",PD Dr. med. Zimmerli Stefan,Bern,Switzerland,Friedbühlstrasse 51,"",N/A,N/A,"","","","280,06","","280,06"
"",Prof. Dr. Ledergerber Bruno,Zürich,Switzerland,"Rämistrasse 100 Universitätsspital Zürich","",N/A,N/A,"","","7.250,00","","","7.250,00"
"",Prof. Dr. med. Bernasconi Enos,Lugano,Switzerland,"Via Tesserete 46 Ospedale Civico","",N/A,N/A,"1.209,17","649,41","2.908,50","187,50","","4.954,58"
"",Prof. Dr. med. Betticher Daniel,Fribourg,Switzerland,Chemin des Pensionnats 2,"",N/A,N/A,"","","1.323,53","176,47","","1.500,00"
"",Prof. Dr. med. Cavalli Franco,Bellinzona,Switzerland,"Via Ospedale Ospedale San Giovanni","",N/A,N/A,"","","4.718,00","","","4.718,00"
"",Prof. Dr. med. Chuard Christian,Fribourg,Switzerland,"Chemin des Pensionnats 2 Hôpital Cantonal Fribourg","",N/A,N/A,"","","1.800,00","","","1.800,00"
"",Prof. Dr. med. Genné Daniel,Biel/Bienne,Switzerland,Vogelsang 84,"",N/A,N/A,"123,15","1.187,24","1.312,00","","","2.622,39"
"",Prof. Dr. med. Ghielmini Michele,Bellinzona,Switzerland,"Via Ospedale Ospedale San Giovanni","",N/A,N/A,"","","4.375,00","1.143,75","","5.518,75"
"",Prof. Dr. med. Hammer Jürg,Basel,Switzerland,Spitalstrasse 33,"",N/A,N/A,"","","1.375,00","","","1.375,00"
"",Prof. Dr. med. Latzin Philipp,Basel,Switzerland,Spitalstrasse 33,"",N/A,N/A,"","","797,41","375,05","","1.172,46"
"",Prof. Dr. med. Müllhaupt Beat,Zürich,Switzerland,"Rämistrasse 100 Universitätsspital Zürich","",N/A,N/A,"","","1.250,00","","","1.250,00"
"",Prof. Dr. med. Pless Miklós,Winterthur,Switzerland,Brauerstrasse 15,"",N/A,N/A,"666,65","","","","","666,65"
"",AGGREGATE DISCLOSURE FOR HEALTHCARE PROFESSIONALS,"","","","","","","","","","","",""
"",Total amount,"","","","","","","20.454,95","90.796,46","40.511,54","4.093,81","","155.856,76"
"",Total number of recipients of transfers of value by subtype,"","","","","","",49,69,30,9,"",75
"",% of total transfers of value to all HCP recipients by subtype,"","","","","","","56,32","59,13","38,67","40,91","",""
HCOs,Arud Zentren für Suchtmedizin,Zürich,Switzerland,Konradstrasse 32,"","","72.722,56","1.560,30","343,65","1.000,00","668,53","","76.295,04"
"","Ärztehaus Fluntern - Praxis Dr. Halama Marcel",Zürich,Switzerland,Zürichbergstrasse 70,"","","","350,00","","","","","350,00"
"",CFCH,Bern,Switzerland,Altenbergstrasse 29,"","","3.000,00","","","","","","3.000,00"
"",Ente Ospedaliero Cantonale(EOC),Bellinzona,Switzerland,Viale Officina 3,"","","30.444,00","","","562,50","","","31.006,50"
"",GAFFI,Genève,Switzerland,Rue De L'ancien-port 14,"","","15.828,96","","","","","","15.828,96"
"",GastroPraxis Wehr,Zürich,Switzerland,General-Willestrasse 15,"","","1.500,00","","","","","","1.500,00"
"",Inselspital - Swiss Experts in Viral Hepatitis,Bern,Switzerland,Freiburgstrasse 4 Inselspital,"","","60.000,00","","","","","","60.000,00"
"",Institut für Präventivmedizin,Bern,Switzerland,Finkenhubelweg 11,"","15.670,00","","","","","","","15.670,00"
"",International AIDS Society,Genève,Switzerland,Avenue de France 23,"","98.270,37","","","","","","","98.270,37"
"",Kantonsspital Aarau AG,Aarau,Switzerland,Tellstrasse,"","500,00","15.267,40","1.214,36","3.402,51","4.448,53","521,43","","25.354,23"
"",Kantonsspital St. Gallen,St. Gallen,Switzerland,Rorschacherstrasse 95,"","13.500,00","25.920,00","6.618,39","14.675,84","7.639,86","925,78","","69.279,87"
"",Kantonsspital Winterthur,Winterthur,Switzerland,Brauerstrasse 15,"","","9.160,00","","","","","","9.160,00"
"",Onkologiepflege Schweiz,Kleinandelfingen,Switzerland,Hirstigstrasse 13,"","","5.000,00","","","","","","5.000,00"
"",SGH-SSH,Münsingen,Switzerland,Innerer Giessenweg 37,"","","5.000,00","","","","","","5.000,00"
"",SGIM-SSMI,Basel,Switzerland,Solothurnerstrasse 68,"","","3.175,20","","","","","","3.175,20"
"",SSMO SSOM SGMO,Zürich,Switzerland,"Bahnhofplatz 4 c/o Pro MedicusGmbH","","","7.560,00","","","","","","7.560,00"
"",SVA Sektion Graubünden,Chur,Switzerland,Eichenweg 1,"","","500,00","","","","","","500,00"
"",Swiss Academic Foundation,Bern,Switzerland,"Friedbühlstrasse 51 c/o Institut für Infektiologie","","","50.000,00","","","","","","50.000,00"
"","Universitätsspital Basel - Klinik für Infektiologie",Basel,Switzerland,Petersgraben 4,"","","","500,00","1.000,00","","","","1.500,00"
"","UniversitätsSpital Zürich - Klinik für Hämatologie",Zürich,Switzerland,"Rämistrasse 100 Universitätsspital Zürich","","","2.000,00","","","1.000,00","","","3.000,00"
"",Zentrum für Suchtmedizin ZfS,Basel,Switzerland,Haltingerstrasse 65,"","","575,85","","","","","","575,85"
"",AGGREGATE DISCLOSURE FOR HEALTHCARE INSTITUTIONS,"","","","","","","","","","","",""
"",Total amount,"","","","","544.093,21","853.396,25","17.778,93","92.010,60","63.100,59","4.677,74","","1.575.057,32"
"",Total number of recipients of transfers of value by subtype,"","","","",13,38,7,9,11,5,"",49
"",% of total transfers of value to all HCO recipients by subtype,"","","","","76,47","69,09","58,33","75,00","68,75","71,43","",""
"",AGGREGATE DISCLOSURE FOR RESEARCH & DEVELOPMENT,"",""
"",Transfers of Value re Research & Development as defined - Article 3.04 and Schedule 1,"557.916,90","","2.362.007,35"
