name,location,country,address,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,company
Amram Marie-Laure,Genève,Switzerland,Hôpitaux Universitaires de Genève Médecine Oncologie Rue Gabrielle-Perret- Gentil 4,,,,,122.97 CHF,1000.00 CHF,,1122.97 CHF,hcp,Sanofi Aventis
Anand-Wadhawan Gurpreet,Zürich,Switzerland,Universitätsspital Zürich Medizin Endo/Diabetologie Rämistrasse 100,,,,,,1250.00 CHF,,1250.00 CHF,hcp,Sanofi Aventis
Arquint Nicolas,Sarnen,Switzerland,Hirslanden Klinik St. Anna AG Klinik Meggen Ärztehaus Sarnen Sarnen Marktstrasse 7,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Audétat Valentin,Chur,Switzerland,Arztpraxis FMH Gastroenterologie Grabenstrasse 9,,,,,,1500.00 CHF,,1500.00 CHF,hcp,Sanofi Aventis
Badan Michel,Cully,Switzerland,Cabinet médical FMH allergologie et immunologie clinique Rue Davel 11,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Baer-Cornu Sylvia,Confignon,Switzerland,Cabinet de groupe Confignon Chemin Sous-le- Clos 12,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Becher Burkhard,Zürich,Switzerland,Division for Neuroimmunology Neurology Dept. Y44 / J7 Winterthurerstrasse 190,,,,,,1600.00 CHF,,1600.00 CHF,hcp,Sanofi Aventis
Binaghi Lorenzo,Coldrerio,Switzerland,Studio medico Coldrerio Via Mercole 2b,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Binz-Siegmann Katharina,Zürich,Switzerland,Arztpraxis FMH Endokrinologie- Diabetologie Stockerstrasse 42,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Blanc Jacques- Philippe,Ponte Capriasca,Switzerland,Studio medico Ponte Capriasca Via alle Scuole,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Boeckmann Wieland,Brunnen,Switzerland,Seeklinik Brunnen Urologische Klinik Gersauerstrasse 8,,,,,,1000.00 CHF,,1000.00 CHF,hcp,Sanofi Aventis
Bont Adriano,Winterthur,Switzerland,Neurowinterthur Winterthur Brunngasse 6,,,,,,562.50 CHF,,562.50 CHF,hcp,Sanofi Aventis
Borner Markus,Biel/Bienne,Switzerland,Spitalzentrum Biel AG Medizin Onkologie Vogelsang 84,,,,427.33 CHF,904.99 CHF,,,1332.32 CHF,hcp,Sanofi Aventis
Brändle Michael,St. Gallen,Switzerland,Kantonsspital St. Gallen Innere Medizin Rorschacher Strasse 95,,,,,,1500.00 CHF,,1500.00 CHF,hcp,Sanofi Aventis
Bühler-Christen Annette,Bülach,Switzerland,Spital Bülach Medizin Endo/Diabetologie Spitalstrasse 24,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Carone Angelo,Uznach,Switzerland,Spital Linth Medizin Kardiologie Gasterstrasse 25,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Cattaneo Fabio,Lugano,Switzerland,Studio medico Lugano Via Soldino 7,,,,,,1000.00 CHF,,1000.00 CHF,hcp,Sanofi Aventis
Chen Haw-Tzer,Genève,Switzerland,Cabinet médical FMH Médecine interne générale Avenue Wendt 28,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Ciciliani Stephan,Büren SO,Switzerland,Ärztezentrum Büren Büren SO Liestalerstrasse 11,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Cordey Philippe,Zollikofen,Switzerland,Gruppenpraxis Zollikofen Kirchlindachstrasse 7,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
D'Apuzzo Vincenzo,Mendrisio,Switzerland,Centro Pediatrico del Mendrisiotto SA Mendrisio Via Beroldingen 26,,,,,,600.00 CHF,,600.00 CHF,hcp,Sanofi Aventis
Dervaderics Maria Rozsa,Neuenhof,Switzerland,Gruppenpraxis Neuenhof Albertstrasse 4,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Deseö Thomas,Zürich,Switzerland,Gruppenpraxis Zürich Dufourstrasse 143,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Dinner Walter,Wetzikon ZH,Switzerland,Gruppenpraxis Wetzikon ZH Weststrasse 70,,,,248.60 CHF,710.70 CHF,,,959.30 CHF,hcp,Sanofi Aventis
Dörffler-Melly Janine,Zürich,Switzerland,Gruppenpraxis Zürich Bellariastrasse 40,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Dschietzig Anne,Solothurn,Switzerland,Bürgerspital Solothurn Innere Medizin Schöngrünstrasse 42,,,,,494.93 CHF,,,494.93 CHF,hcp,Sanofi Aventis
Eisel Rüdiger,Frauenfeld,Switzerland,Kantonsspital Frauenfeld Medizin Nephrologie Pfaffenholzstrasse 4,,,,281.48 CHF,472.04 CHF,,,753.52 CHF,hcp,Sanofi Aventis
El-Haschimi Karim Omar,Baden,Switzerland,Osteoporosezentrum Baden Bahnhofplatz 1,,,,,,1200.00 CHF,,1200.00 CHF,hcp,Sanofi Aventis
Erfmann Daniel,Elgg,Switzerland,Gruppenpraxis Elgg Vordergasse 9,,,,,444.00 CHF,,,444.00 CHF,hcp,Sanofi Aventis
Faulenbach Mirjam Veronika,Zürich,Switzerland,Arztpraxis FMH Endokrinologie- Diabetologie Hormon Zentrum Zürich Witellikerstrasse 36,,,,,,1000.00 CHF,,1000.00 CHF,hcp,Sanofi Aventis
Ferrario Chiara,Renens VD,Switzerland,Centre Médical de Renens Renens VD Avenue du 14 Avril 12,,,,,1300.00 CHF,500.00 CHF,,1800.00 CHF,hcp,Sanofi Aventis
Frei Christian Andreas,Zürich,Switzerland,Arztpraxis FMH Innere Medizin Frymannstrasse 21,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Fulliquet Edouard,Cointrin,Switzerland,Cabinet médical FMH Médecine interne générale Ch. de Joinville 25,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Gaillet Raymond Jacques,Thun,Switzerland,Arztpraxis FMH Kardiologie Bälliz 49,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Gerber Philipp Andreas,Zürich,Switzerland,Universitätsspital Zürich Medizin Endo/Diabetologie Rämistrasse 100,,,,,,2250.00 CHF,,2250.00 CHF,hcp,Sanofi Aventis
Glassey Perrenoud Francine,La Chaux-de-Fonds,Switzerland,Cabinet de groupe La Chaux-de-Fonds Avenue Leopold-Robert 7,,,,,,1500.00 CHF,,1500.00 CHF,hcp,Sanofi Aventis
Golay-Petersen Marija,Genève,Switzerland,Cabinet médical FMH endocrinologie- diabétologie Rlle Vinaigrerie 5,,,,,780.00 CHF,,,780.00 CHF,hcp,Sanofi Aventis
Gröflin Urs Beat,Binningen,Switzerland,Arztpraxis FMH Allgemeine Innere Medizin Hauptstrasse 3,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Günter Christian,Mammern,Switzerland,Klinik Schloss Mammern AG Medizin Kardiologie Dr. A.O. Fleisch- Strasse 3,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Gutmann Philippe,Renens VD,Switzerland,Cabinet médical FMH Médecine interne générale Rue de Crissier 1,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Hagmann Michaël,Pully,Switzerland,Cabinet médical FMH Médecine interne générale Chemin Pré-de-la- Tour 12,,,,,,1250.00 CHF,,1250.00 CHF,hcp,Sanofi Aventis
Hagon-Traub Isabelle,Aubonne,Switzerland,Méd.Endo/Diabétolo gie Rue Trévelin 67,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Halder Roswitha,Bern,Switzerland,"Inselspital Bern, Insel Gruppe AG Spitalapotheke Freiburgstrasse 18",,,,493.25 CHF,555.08 CHF,,,1048.33 CHF,hcp,Sanofi Aventis
Hartmeier Cornelia,Schaffhausen,Switzerland,Spitäler Schaffhausen Kantonsspital Schaffhausen Spitalapotheke Geissbergstrasse 81,,,,422.78 CHF,378.39 CHF,,,801.17 CHF,hcp,Sanofi Aventis
Herzog Bernhard,Luzern,Switzerland,Arztpraxis FMH Kardiologie Herzzentrum Hirslanden Zentralschweiz St. Anna-Strasse 32,,,,434.16 CHF,1010.42 CHF,,,1444.58 CHF,hcp,Sanofi Aventis
Hochuli Michel,Zürich,Switzerland,Universitätsspital Zürich Medizin Endo/Diabetologie Rämistrasse 100,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Hoffmann Helge,Hergiswil NW,Switzerland,Urologie Zentrum Hergiswil Hergiswil NW Sonnenbergstrasse 9,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Honegger Regula,Horgen,Switzerland,Arztpraxis am Bahnhof Horgen Seestrasse 117,,,,,,2450.00 CHF,,2450.00 CHF,hcp,Sanofi Aventis
Hösli Pierre,Yverdon-les-Bains,Switzerland,Cabinet de groupe Yverdon-les-Bains Rue d'Entremonts 11,,,,,307.07 CHF,,,307.07 CHF,hcp,Sanofi Aventis
Husi-Meier Friedrich,Winznau,Switzerland,Gruppenpraxis Winznau Oltnerstrasse 9,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Jéquier Vincent,Lausanne,Switzerland,Cabinet médical FMH Médecine interne générale Route d'Oron 1,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Jornayvaz Francois,Lausanne,Switzerland,CHUV Méd.Endo/Diabétolo gie Chemin de Mont- Paisible 18,,,,,,1500.00 CHF,,1500.00 CHF,hcp,Sanofi Aventis
Karsegard Joachim,Grand-Lancy,Switzerland,Groupe Médical du Grand-Lancy S.A. Grand-Lancy Avenue des Communes-Réunies 16,,,,,780.00 CHF,,,780.00 CHF,hcp,Sanofi Aventis
Keller Ulrich,Basel,Switzerland,Endonet AG Basel Missionsstrasse 24,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Knobel Urs,Wetzikon ZH,Switzerland,GZO Spital Wetzikon Medizin Endo/Diabetologie Spitalstrasse 66,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Knoll Beat,Schattdorf,Switzerland,Arztpraxis FMH Allgemeine Innere Medizin Adlergartenstrasse 15,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Köppel Ursula,Oberweningen,Switzerland,Gemeinschaftspraxis Oberweningen Oberweningen Chlupfwisstrasse 34,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Koskinas Konstantinos,Bern,Switzerland,"Inselspital Bern, Insel Gruppe AG Medizin Kardiologie Freiburgstrasse 18",,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Krähenbühl Stephan,Basel,Switzerland,Universitätsspital Basel Med.Klin.Pharmakol ogie Hebelstrasse 2,,,,,,6250.00 CHF,,6250.00 CHF,hcp,Sanofi Aventis
Kraytem Amira,Nyon,Switzerland,Cabinet de groupe Nyon Chemin du Midi 8,,,,,,1200.00 CHF,,1200.00 CHF,hcp,Sanofi Aventis
Kucher Nils,Bern,Switzerland,"Inselspital Bern, Insel Gruppe AG Medizin Angiologie Freiburgstrasse 18",,,,,,2250.00 CHF,,2250.00 CHF,hcp,Sanofi Aventis
Lanaspa Abel,Gland,Switzerland,Centre Médical de Gland Gland Allée du Communet 20,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Landolt Jacqueline,Morges,Switzerland,Cabinet médical FMH cardiologie Rue de la Gare 13,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Lareida Jürg,Aarau,Switzerland,Arztpraxis FMFI Endokrinologie-Diabetologie Praxis Lareida GmbFI Vordere Vorstadt 16,,,,,,1300.00 CHF,,1300.00 CHF,hcp,Sanofi Aventis
Liechti Beat,Bern,Switzerland,Arztpraxis FMH Allgemeine Innere Medizin Hirschengraben 10,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Luterbacher Stephan,Luzern,Switzerland,Kantonsapotheker Gesundheits- und Meyerstrasse 20,,,,422.78 CHF,252.25 CHF,,,675.03 CHF,hcp,Sanofi Aventis
Mack Jochen,Lachen SZ,Switzerland,Spital Lachen AG Spitalapotheke Oberdorfstrasse 41,,,,422.78 CHF,564.76 CHF,,,987.54 CHF,hcp,Sanofi Aventis
Magnin Hervé,Villars-sur-Glâne,Switzerland,Cabinet médical FMH Médecine interne générale Chemin de la Redoute 5,,,,,,250.00 CHF,,250.00 CHF,hcp,Sanofi Aventis
Mähler Roland,Wohlen AG,Switzerland,Bad Schinznach AG Privat-Klinik Im Park Neuropraxis Wohlen Wohlen AG Bärengässli 7,,,,124.30 CHF,747.77 CHF,,,872.07 CHF,hcp,Sanofi Aventis
Manz Markus Gabriel,Zürich,Switzerland,Universitätsspital Zürich Medizin Hämatologie Rämistrasse 100,,,,,,1250.00 CHF,,1250.00 CHF,hcp,Sanofi Aventis
Medlin Friedrich,Fribourg,Switzerland,HFR Fribourg- Hôpital Cantonal Chemin des Pensionnats 2,,,,198.00 CHF,769.00 CHF,,,967.00 CHF,hcp,Sanofi Aventis
Meier-Lex Ulrike,Baden,Switzerland,IFA Institut für Arbeitsmedizin AG Baden Kreuzweg 3,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Mekideche Abdelhafid,Genève,Switzerland,Cabinet Dr Mekideche Abdelhafid Rue Jean-Ant.- Gautier 13,,,,198.00 CHF,392.00 CHF,,,590.00 CHF,hcp,Sanofi Aventis
Möller-Goede Diane,Wetzikon ZH,Switzerland,GZO Spital Wetzikon Medizin Endo/Diabetologie Spitalstrasse 66,,,,1092.00 CHF,2849.96 CHF,500.00 CHF,,4441.96 CHF,hcp,Sanofi Aventis
Montavon Salomon Nicole,Genève,Switzerland,Cabinet médical FMH endocrinologie- diabétologie Rue Pedro-Meylan 1,,,,,780.00 CHF,750.00 CHF,,1530.00 CHF,hcp,Sanofi Aventis
Müller Dagmar,Döttingen,Switzerland,Arztpraxis Praktische Ärztin Hauptstrasse 19,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Müller Stefanie,St. Gallen,Switzerland,Kantonsspital St. Gallen Medizin Neurologie Rorschacher Strasse 95,,,,341.53 CHF,614.99 CHF,,,956.52 CHF,hcp,Sanofi Aventis
Nacht Claude-Alain,Gland,Switzerland,Clinique la Ligniere Med.Cardiologie La Ligniere 5,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Naegelin Yvonne Liselotte,Liestal,Switzerland,Kantonsspital Baselland Liestal Medizin Neurologie Rheinstrasse 26,,,,341.53 CHF,687.57 CHF,,,1029.10 CHF,hcp,Sanofi Aventis
Nater Bernard,Lausanne,Switzerland,Cabinet Dr Nater Bernard Chemin des Croix- Rouges 2,,,,198.00 CHF,764.00 CHF,,,962.00 CHF,hcp,Sanofi Aventis
Niclauss Nadja,Genève,Switzerland,Hôpitaux Universitaires de Genève Chir.Digestive Rue Gabrielle-Perret- Gentil 4,,,,567.48 CHF,739.90 CHF,,,1307.38 CHF,hcp,Sanofi Aventis
Nobel Monika,La Chaux-de-Fonds,Switzerland,Cabinet de groupe La Chaux-de-Fonds Avenue Léopold- Robert 7,,,,,780.00 CHF,,,780.00 CHF,hcp,Sanofi Aventis
Noll Georg,Zürich,Switzerland,HerzKlinik Hirslanden Zürich Witellikerstrasse 40,,,,,,1250.00 CHF,,1250.00 CHF,hcp,Sanofi Aventis
Noth Daniel,Unterseen,Switzerland,Arztpraxis FMH Endokrinologie/Diab etologie Spitalweg 1,,,,,,1500.00 CHF,,1500.00 CHF,hcp,Sanofi Aventis
Nowak Albina,Zürich,Switzerland,Universitätsspital Zürich Innere Medizin Rämistrasse 100,,,,281.48 CHF,711.38 CHF,5713.15 CHF,667.50 CHF,7373.51 CHF,hcp,Sanofi Aventis
Nuoffer Jean Marc,Bern,Switzerland,Kinderheilkunde des Inselspitals Kinderklinik Kinderheilkunde des Inselspitals,,,,,417.01 CHF,2286.02 CHF,133.21 CHF,2836.24 CHF,hcp,Sanofi Aventis
Nützi-Constam Elisabeth,Winterthur,Switzerland,Arztpraxis FMH Endokrinologie- Diabetologie Wülflingerstrasse 59,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Ortega Marcos,Zürich,Switzerland,Gruppenpraxis Zürich Im eisernen Zeit 1,,,,283.45 CHF,3358.30 CHF,,,3641.75 CHF,hcp,Sanofi Aventis
Peinemann Alexander,Wohlen AG,Switzerland,Bad Schinznach AG Privat-Klinik Im Park Neuropraxis Wohlen Wohlen AG Bärengässli 7,,,,124.30 CHF,576.89 CHF,,,701.19 CHF,hcp,Sanofi Aventis
Pertoldi William,Chiasso,Switzerland,Studio medico FMH Medicina interna generale Corso San Gottardo 89,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Phan Olivier,Payerne,Switzerland,Höpital Intercantonal de la Broye Site de Payerne Med.Nephrologie Avenue de la Colline 3,,,,,,650.00 CHF,,650.00 CHF,hcp,Sanofi Aventis
Pianzola Ralph,Buchrain,Switzerland,Bueripraxis Buchrain Hauptstrasse 12,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Piller Manfred,Düdingen,Switzerland,Hirslanden Praxiszentrum Düdingen Düdingen Bahnhofplatz 2A,,,,,,1500.00 CHF,,1500.00 CHF,hcp,Sanofi Aventis
RUIZ POSTIGO José Antonio,Genève,Switzerland,Médecin praticien Organisation Mondiale de la Santé (OMS) Avenue Appia 20,,,,162.41 CHF,,,,162.41 CHF,hcp,Sanofi Aventis
Raess Cornel Pascal,Hitzkirch,Switzerland,Praxisgemeinschaft am Lindenberg Hitzkirch Seilerstrasse 2,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Randazzo Marco,Winterthur,Switzerland,Universitätsspital Zürich Urologische Klinik Brauerstrasse 15,,,,,95.49 CHF,,,95.49 CHF,hcp,Sanofi Aventis
Reek Sven,Aarau,Switzerland,Arztpraxis FMH Kardiologie Institut für Kardiologie Rain 34,,,,,,3000.00 CHF,,3000.00 CHF,hcp,Sanofi Aventis
Rey Alexandre,Lausanne,Switzerland,Cabinet de groupe Lausanne Rue Bellefontaine 2,,,,,,2000.00 CHF,,2000.00 CHF,hcp,Sanofi Aventis
Reynard Charles- Alphonse,Sion,Switzerland,Cabinet médical FMH cardiologie Avenue de la Gare 25,,,,,,4500.00 CHF,,4500.00 CHF,hcp,Sanofi Aventis
Riesen Walter F.,Steinhausen,Switzerland,Arbeitsgruppe Lipide und Atherosklerose (AGLA) c/o Medworld Schweiz AG Sennweidstrasse 46,,,,,,1000.00 CHF,,1000.00 CHF,hcp,Sanofi Aventis
Rochat Carine,Baar,Switzerland,Zuger Kantonsspital AG Spitalapotheke Landhausstrasse 11,,,,422.78 CHF,477.35 CHF,,,900.13 CHF,hcp,Sanofi Aventis
Rohrbach Marianne,Zürich,Switzerland,Universitäts- Kinderspital Zürich Medizin Stoffwechsel Steinwiesstrasse 75,,,,,,937.50 CHF,,937.50 CHF,hcp,Sanofi Aventis
Sappino André- Pascal,Chêne-Bougeries,Switzerland,Centre d'oncologie et d'hématologie Chêne-Bougeries Route de Chêne 110,,,,,122.97 CHF,,,122.97 CHF,hcp,Sanofi Aventis
Scheidegger Karl,St. Gallen,Switzerland,eSwiss Medical and Surgical Center AG St. Gallen Brauerstrasse 97,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Schmid- Grendelmeier Peter,Zürich,Switzerland,Universitätsspital Zürich Dermatologische Klinik Gloriastrasse 31,,,,,,5250.00 CHF,5447.28 CHF,10697.28 CHF,hcp,Sanofi Aventis
Schneider Robert,Thun,Switzerland,Uromed AG Thun Bahnhofstrasse 1,,,,,245.20 CHF,,,245.20 CHF,hcp,Sanofi Aventis
Schneider-Naef Eva Christine,Lengnau AG,Switzerland,Praxis am Tüfebächli Lengnau AG Brunnengasse 11,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Schories Marcus,Basel,Switzerland,Hormonpraxis Basel Gellertstrasse 142,,,,,,1800.00 CHF,,1800.00 CHF,hcp,Sanofi Aventis
Schuermann Marcus,Richterswil,Switzerland,Paracelsus-Spital Richterswil AG Medizin Onkologie Bergstrasse 16,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Schwarz Alfons Michael,Basel,Switzerland,Ambulatorium Wiesendamm Basel Wiesendamm 22,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Schweiger Martin,Zürich,Switzerland,Universitäts- Kinderspital Zürich Chirurgie Herz/Thorax/Gefäss e Steinwiesstrasse 75,,,,,,800.00 CHF,239.84 CHF,1039.84 CHF,hcp,Sanofi Aventis
Segginger Roland,Hinterkappelen,Switzerland,Arztpraxis FMH Innere Medizin Kappelenring 6,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Sofra Daniela,Lausanne,Switzerland,Cabinet de groupe Lausanne Avenue de la Gare 11,,,,,,2124.00 CHF,,2124.00 CHF,hcp,Sanofi Aventis
Sorg Bernhard,Wallisellen,Switzerland,Zentralpraxis Wallisellen AG Wallisellen Zentralstrasse 6,,,,,,3000.00 CHF,,3000.00 CHF,hcp,Sanofi Aventis
Spangehl Petra,Olten,Switzerland,Kantonsspital Olten Urologische Klinik Baslerstrasse 150,,,,,357.68 CHF,,,357.68 CHF,hcp,Sanofi Aventis
Spichtig Leo,Alpnach Dorf,Switzerland,Gruppenpraxis Römerhof Alpnach Dorf Robert Barmettlerstrasse 5,,,,,,3000.00 CHF,,3000.00 CHF,hcp,Sanofi Aventis
Spillmann Alexander,Muri AG,Switzerland,Kreisspital für das Freiamt Innere Medizin Spitalstrasse 144,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Steffel Jan,Zürich,Switzerland,Universitätsspital Zürich Medizin Kardiologie Rämistrasse 100,,,,,,1000.00 CHF,,1000.00 CHF,hcp,Sanofi Aventis
Stöckli Rolf,Binningen,Switzerland,Arztpraxis FMH Endokrinologie-Diabetologie Hauptstrasse 35,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Strazynski Wladyslaw,Liestal,Switzerland,Arztpraxis FMH Allgemeine Innere Medizin Rathausstrasse 63,,,,,,4000.00 CHF,,4000.00 CHF,hcp,Sanofi Aventis
Strey Christopher,St. Gallen,Switzerland,eSwiss Medical and Surgical Center AG St. Gallen Brauerstrasse 97,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Sulliger Jean-Marc,Burgdorf,Switzerland,Arztpraxis FMH Allgemeine Innere Medizin Bahnhofstrasse 7,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Thomann Robert,Solothurn,Switzerland,Medizin Endo/Diabetologie Schöngrünstrasse 42,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Torti Sandra,Belp,Switzerland,Arztpraxis FMH Kardiologie Bahnhofplatz 6,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Toti Alberto,Massagno,Switzerland,Studio medico FMH medicina interna generale Via San Gottardo 117,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Tschanz Hans-Ulrich,Heiligenschwendi,Switzerland,Berner Reha Zentrum Medizin Kardiologie Schwendi 299,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Twerenbold Raphael,Basel,Switzerland,Universitätsspital Basel Medizin Kardiologie Petersgraben 4,,,,518.40 CHF,913.20 CHF,,,1431.60 CHF,hcp,Sanofi Aventis
Uehlinger Claudius Andrea,Wasen im Emmental,Switzerland,Arztpraxis FMH Allgemeine Innere Medizin Dorfstrasse 23,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Vallotton Pascal,La Tour-de-Peilz,Switzerland,Cabinet médical FMH médecine interne générale Avenue de Jaman 21,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Venetz Urban,Visp,Switzerland,Arztpraxis FMH Neurologie Ueberbielstrasse 10,,,,124.30 CHF,533.02 CHF,,,657.32 CHF,hcp,Sanofi Aventis
Vonmoos Peter,Egg b. Zürich,Switzerland,Arztpraxis FMH Allgemeine Innere Medizin Forchstrasse 143,,,,,444.00 CHF,,,444.00 CHF,hcp,Sanofi Aventis
Wiesli Peter,Frauenfeld,Switzerland,Kantonsspital Frauenfeld Innere Medizin Pfaffenholzstrasse 4,,,,,,2500.00 CHF,,2500.00 CHF,hcp,Sanofi Aventis
Würfel Jens,Basel,Switzerland,Universitätsspital Basel Petersgraben 4,,,,,,3747.87 CHF,7545.73 CHF,11293.60 CHF,hcp,Sanofi Aventis
Zeller Christoph,Wetzikon ZH,Switzerland,Gruppenpraxis Wetzikon ZH Weststrasse 70,,,,248.60 CHF,871.97 CHF,,,1120.57 CHF,hcp,Sanofi Aventis
Zimmermann Matthias,Zürich,Switzerland,Stadtspital Triemli Urologische Klinik Birmensdorferstrass e 497,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Zumsteg Urs,Basel,Switzerland,Universitäts- Kinderspital (UKBB) Medizin Endo/Diabetologie Spitalstrasse 33,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Zwermann Oliver Christoph,Basel,Switzerland,Hormonpraxis Basel Gellertstrasse 142,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
von Eckardstein Arnold,Zürich,Switzerland,Universitätsspital Zürich Med.Klin.Pharmakol ogie Rämistrasse 100,,,,,,2750.00 CHF,,2750.00 CHF,hcp,Sanofi Aventis
