type,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,source,year
hcp_amount,,,3263.6,13046.4,14812.0,0.0,31122.0,astellas,2017
hco_amount,0.0,9000.0,766.0,959.3,4250.0,55.0,15030.3,astellas,2017
hcp_count,,,3.0,5.0,7.0,0.0,14.0,astellas,2017
hco_count,0.0,4.0,1.0,1.0,3.0,1.0,5.0,astellas,2017
rnd,,,,,,,103663.79,astellas,2017
hcp_amount,0.0,0.0,6987.0,40889.0,76649.0,2486.0,127011.0,astrazeneca,2017
hco_amount,11198.0,76089.0,117.0,,59.0,1746.0,89209.0,astrazeneca,2017
hcp_count,0.0,0.0,13.0,18.0,47.0,7.0,85.0,astrazeneca,2017
hco_count,1.0,15.0,1.0,,1.0,2.0,20.0,astrazeneca,2017
rnd,,,,,,,6671673.0,astrazeneca,2017
hcp_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baxter,2017
hcp_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baxter,2017
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baxter,2017
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baxter,2017
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baxter,2017
hco_amount,,648759.19,90.0,345.46,14430.0,,663624.65,bayer,2017
hco_count,,48.0,1.0,2.0,11.0,,62.0,bayer,2017
hcp_amount,,20000.0,138027.85,437320.84,225450.62,44229.31,865028.62,bayer,2017
hcp_count,,1.0,362.0,504.0,157.0,26.0,1050.0,bayer,2017
rnd,,,,,,,4641127.69,bayer,2017
hcp_amount,,,,,2500.0,,2500.0,bgp,2017
hco_amount,,20000.0,,,4000.0,,24000.0,bgp,2017
hcp_count,,,,,2.0,2.0,4.0,bgp,2017
hco_count,,3.0,,,2.0,5.0,10.0,bgp,2017
rnd,,,,,,,0.0,bgp,2017
hcp_amount,,,9822.0,23209.0,52733.0,24562.0,110326.0,biogen,2017
hco_amount,,7204.0,,,1977.0,,9181.0,biogen,2017
hcp_count,,,18.0,20.0,7.0,5.0,30.0,biogen,2017
hco_count,,4.0,,,4.0,,5.0,biogen,2017
rnd,,,,,,,1253858.0,biogen,2017
hcp_amount,,,,,,,,biotest,2017
hcp_count,,,,,,,,biotest,2017
hco_amount,,,628.21,0.0,2143.8,,2772.01,biotest,2017
hco_count,2.0,7.0,0.0,0.0,3.0,2.0,,biotest,2017
rnd,,,,,,,1315.13,biotest,2017
hcp_amount,,,,79006.65,138437.24,10447.12,227891.01,boehringer,2017
hco_amount,1135965.56,654838.18,,,11761.53,673.5,1803238.77,boehringer,2017
hcp_count,,,,53.0,120.0,11.0,157.0,boehringer,2017
hco_count,4.0,17.0,,,3.0,1.0,22.0,boehringer,2017
rnd,,,,,,,1847280.27,boehringer,2017
hcp_amount,,,27262.0,48437.0,137254.0,14215.0,227168.0,bristol,2017
hco_amount,392977.0,528454.0,9129.0,67.0,50068.0,578.0,981273.0,bristol,2017
hcp_count,,,47.0,44.0,49.0,14.0,102.0,bristol,2017
hco_count,2.0,44.0,7.0,1.0,11.0,4.0,56.0,bristol,2017
rnd,,,,,,,6269742.0,bristol,2017
hcp_amount,,,8988.21,87.12,22454.48,1451.96,32981.77,celgene,2017
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,celgene,2017
hcp_count,,,11.0,11.0,13.0,4.0,20.0,celgene,2017
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,celgene,2017
rnd,,,,,,,1275895.49,celgene,2017
hcp_amount,,,1047.15,897.3,19912.9,11361.25,33218.6,csl,2017
hco_amount,,20519.0,,,,,20519.0,csl,2017
hcp_count,,,4.0,3.0,2.0,2.0,6.0,csl,2017
hco_count,,2.0,,,,,,csl,2017
rnd,,,,,,,320506.0,csl,2017
hcp_amount,,,4140.0,1820.0,68370.0,310.0,74640.0,daiichi,2017
hco_amount,,,,,,,0.0,daiichi,2017
hcp_count,,,11.0,4.0,61.0,4.0,80.0,daiichi,2017
hco_count,0.0,0.0,,0.0,0.0,0.0,0.0,daiichi,2017
rnd,,,,,,,821454.0,daiichi,2017
hcp_amount,,,0.0,0.0,1375.0,0.0,1375.0,eisai,2017
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eisai,2017
hcp_count,,,0.0,0.0,3.0,0.0,,eisai,2017
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,,eisai,2017
rnd,,,,,,,,eisai,2017
hcp_amount,,,3588.0,10020.0,93818.0,14776.0,122202.0,eli,2017
hco_amount,0.0,111902.0,0.0,0.0,10640.0,0.0,122542.0,eli,2017
hcp_count,,,15.0,21.0,46.0,16.0,,eli,2017
hco_count,0.0,11.0,0.0,0.0,6.0,0.0,,eli,2017
rnd,,,,,,,385588.0,eli,2017
hcp_amount,,,1014.0,3566.0,,,4580.0,ferring,2017
hco_amount,,500.0,,,,,500.0,ferring,2017
hcp_count,,,2.0,2.0,,,2.0,ferring,2017
hco_count,,1.0,,,,,1.0,ferring,2017
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ferring,2017
hcp_amount,,,5647.32,11846.98,,,17494.3,future,2017
hco_amount,,7957.99,,,903.93,,8861.92,future,2017
hcp_count,,,12.0,21.0,,,21.0,future,2017
hco_count,,3.0,,,1.0,,3.0,future,2017
rnd,,,,,,,14592.17,future,2017
hcp_amount,,,0.0,2635.05,5502.0,2199.0,10336.05,galderma,2017
hco_amount,0.0,93718.43,0.0,0.0,59816.0,0.0,161350.43,galderma,2017
hcp_count,,,0.0,6.0,5.0,7.0,,galderma,2017
hco_count,0.0,3.0,0.0,0.0,4.0,0.0,,galderma,2017
rnd,,,,,,,17832.0,galderma,2017
hcp_amount,,,,9139.0,5892.0,81.0,15113.0,gilead,2017
hco_amount,,,,,,,,gilead,2017
hcp_count,,,,2.0,2.0,1.0,,gilead,2017
hco_count,,,,,,,,gilead,2017
rnd,,,,,,,2384393.0,gilead,2017
hcp_amount,,,0.0,0.0,0.0,0.0,0.0,glaxosmithkline,2017
hco_amount,0.0,0.0,,0.0,,0.0,0.0,glaxosmithkline,2017
hcp_count,,,0.0,0.0,0.0,0.0,,glaxosmithkline,2017
hco_count,0.0,0.0,0.0,0.0,0.0,,0.0,glaxosmithkline,2017
rnd,,,,,,,193885.41,glaxosmithkline,2017
hco_amount,,0.0,0.0,0.0,0.0,,0.0,gruenenthal,2017
hco_count,,0.0,0.0,0.0,0.0,,0.0,gruenenthal,2017
hcp_amount,,,4697.96,8485.93,6400.0,0.0,19583.89,gruenenthal,2017
hcp_count,,0.0,25.0,25.0,16.0,26.0,43.0,gruenenthal,2017
rnd,,,,,,,13220.0,gruenenthal,2017
hcp_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hra,2017
hcp_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hra,2017
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hra,2017
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hra,2017
rnd,,,,,,,0.0,hra,2017
hcp_amount,,,8549.0,25200.0,14768.0,4026.0,52543.0,janssen,2017
hcp_count,,0.0,17.0,13.0,7.0,7.0,44.0,janssen,2017
hco_amount,477262.0,162446.0,0.0,0.0,75397.0,,715105.0,janssen,2017
hco_count,3.0,12.0,0.0,0.0,2.0,,17.0,janssen,2017
rnd,,,,,,,1291864.0,janssen,2017
hcp_amount,,,163.17,722.78,,,885.95,leo,2017
hco_amount,,,,,,,,leo,2017
hcp_count,,,1.0,2.0,,,2.0,leo,2017
hco_count,,,,,,,,leo,2017
rnd,,,,,,,,leo,2017
hcp_amount,,,,,,,,lundbeck,2017
hcp_count,,,,,,,,lundbeck,2017
hco_amount,,,,,,,,lundbeck,2017
hco_count,,,,,,,,lundbeck,2017
rnd,,,,,,,33390.25,lundbeck,2017
hcp_amount,,2024.0,3171.7,5884.44,3500.0,,14580.14,meda,2017
hco_amount,,158247.0,1217.35,2947.4,,,162411.75,meda,2017
hcp_count,,,7.0,8.0,2.0,11.0,28.0,meda,2017
hco_count,,19.0,2.0,2.0,,20.0,43.0,meda,2017
rnd,,,,,,,0.0,meda,2017
hcp_amount,,600.0,,30713.16,3222.0,,34535.16,menarini,2017
hcp_count,,1.0,11.0,2.0,,,,menarini,2017
hco_amount,103182.3,0.0,0.0,0.0,,,103182.3,menarini,2017
hco_count,3.0,0.0,0.0,0.0,0.0,,0.0,menarini,2017
rnd,0.0,,,,,,0.0,menarini,2017
hcp_amount,,,0.0,0.0,8220.0,247.0,8467.0,mepha,2017
hcp_count,,0.0,,,,,4.0,mepha,2017
hco_amount,,1000.0,0.0,0.0,0.0,,1000.0,mepha,2017
hco_count,,0.0,0.0,0.0,0.0,,1.0,mepha,2017
rnd,,,,,,,0.0,mepha,2017
hcp_amount,,,19231.85,58064.69,166292.99,,243589.53,merck,2017
hco_amount,,,,,,,0.0,merck,2017
hcp_count,,,52.0,63.0,64.0,115.0,294.0,merck,2017
hco_count,,,,,,,0.0,merck,2017
rnd,,,,,,,308176.92,merck,2017
hcp_amount,,,12336.6,88376.33,192201.35,12167.87,324943.34,msd,2017
hco_amount,64209.59,720819.03,36524.15,36951.63,63627.6,1800.0,1167506.72,msd,2017
hcp_count,,,32.0,53.0,64.0,15.0,,msd,2017
hco_count,2.0,58.0,7.0,9.0,18.0,1.0,,msd,2017
rnd,,,,,,,3436188.36,msd,2017
hcp_amount,,,,,,,,mundipharma,2017
hcp_count,,,,,,,,mundipharma,2017
hco_amount,,,,,,,,mundipharma,2017
hco_count,,,,,,,,mundipharma,2017
rnd,,,,,,,118000.0,mundipharma,2017
hcp_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neurim,2017
hcp_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neurim,2017
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neurim,2017
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neurim,2017
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neurim,2017
hcp_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nordic,2017
hcp_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nordic,2017
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nordic,2017
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nordic,2017
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nordic,2017
hcp_amount,,,0.0,0.0,750.0,0.0,750.0,norgine,2017
hco_amount,0.0,38285.0,0.0,0.0,0.0,0.0,38285.0,norgine,2017
hcp_count,,,0.0,0.0,1.0,0.0,1.0,norgine,2017
hco_count,0.0,10.0,0.0,0.0,0.0,0.0,10.0,norgine,2017
rnd,,,,,,,87274.07,norgine,2017
hcp_amount,,,,,14389.37,,14389.37,novartis,2017
hcp_count,,,,,8.0,,8.0,novartis,2017
hco_amount,,1000.0,,,,,1000.0,novartis,2017
hco_count,,1.0,,,,,1.0,novartis,2017
rnd,,,,,,,8141826.61,novartis,2017
hcp_amount,,,6636.0,48970.0,52862.0,13375.0,121843.0,novo,2017
hco_amount,300000.0,926.0,,,,,300926.0,novo,2017
hcp_count,,,16.0,28.0,18.0,5.0,,novo,2017
hco_count,1.0,1.0,,,,,,novo,2017
rnd,,,,,,,424528.0,novo,2017
hcp_amount,,,3695.29,,,,3695.29,orion,2017
hcp_count,,0.0,4.0,,,,4.0,orion,2017
hco_amount,0.0,0.0,0.0,0.0,0.0,,0.0,orion,2017
hco_count,0.0,0.0,0.0,0.0,0.0,,0.0,orion,2017
rnd,,,,,,,0.0,orion,2017
hcp_amount,,,4509.38,3520.68,2624.65,458.86,11113.57,otsuka,2017
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,otsuka,2017
hcp_count,,,10.0,3.0,2.0,1.0,16.0,otsuka,2017
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,otsuka,2017
rnd,,,,,,,28362.67,otsuka,2017
hcp_amount,0.0,1476.0,15567.0,77540.0,12342.0,,106925.0,pfizer,2017
hco_amount,350477.0,646.0,761.0,30758.0,453.0,,478197.0,pfizer,2017
hcp_count,0.0,4.0,10.0,26.0,18.0,,31.0,pfizer,2017
hco_count,14.0,2.0,1.0,6.0,1.0,25.0,,pfizer,2017
rnd,,,,,,,2506402.0,pfizer,2017
hcp_amount,,,389.23,1710.07,6111.55,400.93,8611.78,pierre,2017
hco_amount,,14679.11,,,,,14679.11,pierre,2017
hcp_count,,,1.0,2.0,2.0,3.0,,pierre,2017
hco_count,,1.0,,,,1.0,,pierre,2017
rnd,,,,,,,,pierre,2017
hcp_amount,,,11454.39,21588.52,64707.0,3008.17,100758.08,roche,2017
hco_amount,55507.61,1462.95,407.43,4814.15,5250.0,0.0,67442.14,roche,2017
hcp_count,,,20.0,30.0,51.0,6.0,78.0,roche,2017
hco_count,2.0,2.0,1.0,1.0,2.0,0.0,5.0,roche,2017
rnd,,,,,,,9026015.28,roche,2017
hcp_amount,,,,1042.64,10466.74,957.34,12466.72,sandoz,2017
hco_amount,187500.0,42854.12,,,3055.56,,233409.68,sandoz,2017
hcp_count,,,,2.0,9.0,2.0,,sandoz,2017
hco_count,4.0,7.0,,,3.0,,,sandoz,2017
rnd,,,,,,,7042.45,sandoz,2017
hcp_amount,,,14943.32,39881.12,175477.74,48500.22,278802.4,sanofi,2017
hco_amount,100000.0,463264.9,0.0,4947.3,164073.77,17657.04,749943.01,sanofi,2017
hcp_count,,,,,,,,sanofi,2017
hco_count,,,,,,,,sanofi,2017
rnd,,,,,,,524006.59,sanofi,2017
hcp_amount,,,2032.0,5674.0,21314.0,,29019.0,servier,2017
hco_amount,170.0,292698.0,0.0,,35358.0,1765.0,329991.0,servier,2017
hcp_count,,,5.0,12.0,12.0,,29.0,servier,2017
hco_count,1.0,7.0,0.0,0.0,4.0,1.0,13.0,servier,2017
rnd,,,,,,,15615.0,servier,2017
hcp_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sfl,2017
hcp_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sfl,2017
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sfl,2017
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sfl,2017
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sfl,2017
hcp_amount,,,,2723.42,14547.45,1076.32,18347.19,shire,2017
hco_amount,,15000.0,,,2700.0,,17700.0,shire,2017
hcp_count,,,,3.0,9.0,2.0,,shire,2017
hco_count,,1.0,,,1.0,,,shire,2017
rnd,,,,,,,42135.13,shire,2017
hcp_amount,,,443.0,1133.0,,,1533.0,stallergenes,2017
hco_amount,,,,,,,,stallergenes,2017
hcp_count,,,1.0,1.0,,,,stallergenes,2017
hco_count,,,,,,,,stallergenes,2017
rnd,,,,,,,,stallergenes,2017
hcp_amount,,,,,12062.55,171.2,12233.75,takeda,2017
hcp_count,,,,,7.0,2.0,7.0,takeda,2017
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeda,2017
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeda,2017
rnd,,,,,,,409063.85,takeda,2017
hcp_amount,,,,,4800.0,,4800.0,teva,2017
hcp_count,,,,,,,5.0,teva,2017
hco_amount,,2050.0,,,,,2050.0,teva,2017
hco_count,,,,,,,2.0,teva,2017
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,teva,2017
hcp_amount,,,4130.4,7164.35,681.09,681.09,18866.79,ucb,2017
hcp_count,,,11.0,16.0,6.0,2.0,20.0,ucb,2017
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ucb,2017
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ucb,2017
rnd,,,,,,,814225.39,ucb,2017
hcp_amount,,,10109.39,26236.26,54119.54,27376.26,117841.45,vifor,2017
hco_amount,,169292.78,,,,146.0,169439.08,vifor,2017
hcp_count,,,25.0,29.0,31.0,4.0,52.0,vifor,2017
hco_count,,21.0,,,,1.0,22.0,vifor,2017
rnd,,,,,,,435959.71,vifor,2017
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zambon,2017
hcp_amount,0.0,,3387.0,0.0,0.0,0.0,3387.0,zambon,2017
hcp_count,0.0,0.0,69.0,0.0,0.0,0.0,69.0,zambon,2017
hco_amount,0.0,1000.0,0.0,0.0,0.0,0.0,1000.0,zambon,2017
hco_count,0.0,1.0,0.0,0.0,0.0,0.0,1.0,zambon,2017
hcp,0.0,0.0,1064.0,3850.0,11600.0,1255.0,17769.0,abbvie,2016
hco,0.0,1000.0,0.0,0.0,2800.0,0.0,3800.0,abbvie,2016
hcp,0.0,0.0,13628.0,25602.0,20568.0,4856.0,64654.0,actelion,2016
hco,557136.0,43152.0,2334.0,3575.0,14588.0,0.0,620785.0,actelion,2016
hcp,0.0,0.0,0.0,14737.97,19889.2,0.0,34627.17,alcon,2016
hco,292213.24,213196.39,0.0,0.0,6120.0,0.0,511529.63,alcon,2016
hcp,0.0,0.0,5167.0,42372.0,101400.0,10279.0,159218.0,allergan,2016
hco,0.0,120810.0,0.0,0.0,0.0,0.0,120810.0,allergan,2016
hcp,0.0,0.0,25439.46,127269.26,169056.65,49809.08,371574.45,amgen,2016
hcp,0.0,0.0,7762.2,18755.2,17630.0,983.0,45130.4,astellas,2016
hco,1000.0,40160.5,493.5,3419.5,1000.0,0.0,46073.5,astellas,2016
hcp,0.0,0.0,7988.0,15099.0,101828.0,13309.0,138224.0,astrazeneca,2016
hco,219586.0,1343457.0,285.0,0.0,6428.0,0.0,1569756.0,astrazeneca,2016
hcp,0.0,0.0,0.0,16837.17,14920.21,938.88,32696.26,baxalta,2016
hco,0.0,9818.56,0.0,0.0,12365.85,0.0,22184.41,baxalta,2016
hcp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baxter,2016
hco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,baxter,2016
hco,1180.0,1899063.79,7737.13,11286.86,56386.76,1535.65,1977190.19,bayer,2016
hcp,0.0,2000.0,126850.13,421405.97,300611.33,27193.67,878061.1,bayer,2016
hcp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bgp,2016
hco,0.0,8000.0,0.0,0.0,0.0,0.0,8000.0,bgp,2016
hcp,0.0,0.0,3795.54,8243.58,33538.05,7735.3,53312.47,biogen,2016
hco,0.0,6500.0,0.0,933.83,162741.19,0.0,170175.02,biogen,2016
hcp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,biotest,2016
hco,0.0,83862.0,0.0,1006.0,1417.0,0.0,86285.0,biotest,2016
hcp,0.0,0.0,16338.33,63840.2,171176.99,10178.76,261534.28,boehringer,2016
hco,224204.29,302263.62,0.0,4128.12,4200.0,0.0,534796.03,boehringer,2016
hcp,0.0,0.0,11487.0,60558.0,139552.0,9936.0,221533.0,bristol,2016
hco,358923.0,396281.0,0.0,0.0,45720.0,469.0,801393.0,bristol,2016
hcp,0.0,0.0,8685.51,11214.11,17203.04,318.39,37421.05,celgene,2016
hco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,celgene,2016
hcp,0.0,0.0,472.33,0.0,3131.9,1436.04,5040.27,csl,2016
hco,0.0,20000.0,0.0,0.0,0.0,0.0,20000.0,csl,2016
hcp,0.0,0.0,1297.0,3203.0,47650.0,460.0,52610.0,daiichi,2016
hco,0.0,27300.0,0.0,0.0,0.0,1200.0,28500.0,daiichi,2016
hcp,0.0,0.0,0.0,0.0,2387.66,0.0,2387.66,eisai,2016
hco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eisai,2016
hcp,0.0,0.0,2731.0,6865.0,99960.0,20204.0,129760.0,eli,2016
hco,0.0,53454.0,0.0,153.0,14340.0,0.0,67947.0,eli,2016
hcp,0.0,3000.0,0.0,893.0,2140.0,0.0,6033.0,ferring,2016
hco,0.0,4780.0,0.0,0.0,0.0,0.0,4780.0,ferring,2016
hcp,0.0,0.0,3335.67,8617.11,6638.24,1201.0,19792.02,future,2016
hco,0.0,1820.0,0.0,0.0,13500.0,0.0,15320.0,future,2016
hcp,0.0,0.0,0.0,7227.7,20120.8,0.0,27348.5,galderma,2016
hco,0.0,8400.0,0.0,0.0,35000.0,0.0,43400.0,galderma,2016
hcp,0.0,0.0,1107.52,7331.4,1750.0,0.0,10188.92,gilead,2016
hcp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glaxosmithkline,2016
hco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glaxosmithkline,2016
hcp,0.0,0.0,2516.65,4363.7,1500.0,500.0,8880.35,gruenenthal,2016
hco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gruenenthal,2016
hcp,0.0,0.0,0.0,0.0,0.0,23.0,23.0,hra,2016
hco,0.0,7500.0,0.0,0.0,0.0,0.0,7500.0,hra,2016
hcp,0.0,0.0,16265.0,36248.0,103691.0,9437.0,165641.0,janssen,2016
hco,499807.0,264329.0,0.0,0.0,14496.0,0.0,778632.0,janssen,2016
hcp,0.0,0.0,0.0,0.0,2250.0,0.0,2250.0,leo,2016
hco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,leo,2016
hcp,0.0,0.0,161.35,680.85,500.0,0.0,1342.2,lundbeck,2016
hco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lundbeck,2016
hcp,0.0,3000.0,19044.0,7442.0,2716.0,582.0,32784.0,menarini,2016
hco,0.0,281710.0,0.0,0.0,0.0,0.0,281710.0,menarini,2016
hcp,0.0,0.0,833.0,0.0,0.0,0.0,833.0,mepha,2016
hco,0.0,9586.0,0.0,0.0,0.0,0.0,9586.0,mepha,2016
hcp,0.0,0.0,18629.7,67112.76,75327.52,19145.61,180215.59,merck,2016
hcp,0.0,22950.0,16263.55,89283.38,255855.2,13550.57,397902.7,msd,2016
hco,297568.17,673079.11,10461.83,44310.32,124001.0,0.0,1149420.43,msd,2016
hcp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mundipharma,2016
hco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mundipharma,2016
hcp,0.0,0.0,1550.0,1318.0,62051.55,999.43,65918.98,novartis,2016
hco,0.0,1000.0,0.0,7933.4,1700.0,0.0,10633.4,novartis,2016
hcp,0.0,4500.0,3407.0,14315.0,56652.0,14943.0,93817.0,novo,2016
hco,300000.0,12759.0,346.0,4118.0,1000.0,0.0,318223.0,novo,2016
hcp,0.0,0.0,5055.53,0.0,0.0,0.0,5055.53,orion,2016
hco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orion,2016
hcp,0.0,0.0,340.7,1762.52,7461.0,734.14,10298.36,otsuka,2016
hcp,0.0,0.0,4703.0,19737.0,65408.0,5893.0,95741.0,pfizer,2016
hco,2176709.0,1137405.0,0.0,0.0,187466.0,166.0,3501746.0,pfizer,2016
hcp,0.0,0.0,2362.8,5869.43,6375.0,461.4,15068.63,pierre,2016
hco,2667.0,45984.5,950.0,53.0,0.0,0.0,49654.5,pierre,2016
hcp,0.0,0.0,8.0,15.0,51.0,9.0,83.0,roche,2016
hco,0.0,6.0,0.0,0.0,0.0,0.0,6.0,roche,2016
hcp,0.0,1000.0,9072.95,11648.57,21914.98,1357.34,44993.84,sandoz,2016
hco,295692.96,44371.85,64029.22,2243.53,4000.0,0.0,410337.56000000006,sandoz,2016
hcp,0.0,0.0,9197.35,40864.58,98745.38,27151.69,175959.0,sanofi,2016
hco,59400.0,274348.05,0.0,13094.5,75704.4,2853.5,425400.45,sanofi,2016
hcp,0.0,0.0,6396.0,16929.0,211719.0,2147.0,237191.0,servier,2016
hco,818.0,731830.0,0.0,123394.0,399024.0,11300.0,1266366.0,servier,2016
hcp,0.0,0.0,0.0,1699.99,5180.0,525.54,7405.53,shire,2016
hco,77750.0,37849.36,0.0,4489.6,1000.0,199.24,121288.2,shire,2016
hcp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stallergenes,2016
hco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stallergenes,2016
hcp,0.0,0.0,257.95,900.12,7024.53,0.0,8182.5999999999985,takeda,2016
hco,0.0,3250.0,0.0,0.0,0.0,0.0,3250.0,takeda,2016
hco,177445.0,178426.0,0.0,0.0,27350.0,1829.0,385050.0,teva,2016
hcp,0.0,0.0,46395.0,102508.0,84031.0,2788.0,235722.0,teva,2016
hco,20000.0,36557.88,0.0,0.0,4320.0,0.0,60877.88,ucb,2016
hcp,0.0,0.0,1658.71,2657.88,4841.93,1015.3,10173.82,ucb,2016
hcp,0.0,0.0,2334.08,7075.76,65655.0,0.0,75064.84,vifor,2016
hco,0.0,172032.0,0.0,0.0,1500.0,0.0,173532.0,vifor,2016
hcp,0.0,0.0,5255.0,0.0,0.0,0.0,5255.0,zambon,2016
hco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zambon,2016
rnd,,,,,,,2657394.0,abbvie,2016
rnd,,,,,,,2219144.0,actelion,2016
rnd,,,,,,,13250.0,alcon,2016
rnd,,,,,,,0.0,allergan,2016
rnd,,,,,,,15000.0,almirall,2016
rnd,,,,,,,1582211.6,amgen,2016
rnd,,,,,,,679104.6,astellas,2016
rnd,,,,,,,3389110.0,astrazeneca,2016
rnd,,,,,,,265619.65,baxalta,2016
rnd,,,,,,,0.0,baxter,2016
rnd,,,,,,,2529317.0,bayer,2016
rnd,,,,,,,547194.75,biogen,2016
rnd,,,,,,,1073.0,biotest,2016
rnd,,,,,,,819904.1,boehringer,2016
rnd,,,,,,,3766113.0,bristol,2016
rnd,,,,,,,169423.7,celgene,2016
rnd,,,,,,,368592.24,csl,2016
