,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,address_expand,location_expand,parent,concat,r_name,r_location,r_address,r_ratio
4,European Soc.for Dermatological,Genève,CH,Rue Cingria 7,,,,49220.48,,,,,49220.48,hco,almirall,rue cingria 7,geneve,4,European Soc.for Dermatological geneve,36,13,33,82
66,European Thoracic Oncology Platform,Bern,CH,"c/o IBCSG, Effingerstrasse 40",,,,73874.0,,,,,73874,hco,eli,cob ibcsg effingerstrasse 40,bern,127,European Thoracic Oncology Platform bern,31,31,38,100
67,Externer Psychiatrischer Dienst Thurgau,Münsterlingen,CH,Seeblickstrasse 3,,,,1000.0,,,,,1000,hco,eli,seeblickstrasse 3,muensterlingen,67,Externer Psychiatrischer Dienst Thurgau muensterlingen,40,17,38,95
68,FFN - Fragility Fracture Network,Zürich,CH,"c/o MCI Schweiz AG, Schaffhauserstra sse 550",,,,4001.0,,,,,4001,hco,eli,presso mci schweiz agosto schaffhauserstra sse 550,zuerich,68,FFN - Fragility Fracture Network zuerich,39,12,40,91
69,Fondation Centre de Chimiothérapie CCAC SA,Lausanne,CH,Avenue Vinet 19b,,,,1000.0,,,,,1000,hco,eli,avenue vinet 19b,lausanne,69,Fondation Centre de Chimiothérapie CCAC SA lausanne,34,24,42,100
180,Fondation Nutrition 2000plus,Vevey,CH,Route De Saint-légier 11,,,,5353.0,,,1220.5,312.0,6885.5,hco,shire,route de saint-legier 11,vevey,180,Fondation Nutrition 2000plus vevey,28,0,33,61
71,Fondation Rheumasearch pour la recherche en Rhumatologie,Genève,CH,"c/o Robert Fontanet notaire, Rue Du Rhône 57",,,,5000.0,,,,,5000,hco,eli,centreo robert fontanet notaire rue du rhone 57,geneve,71,Fondation Rheumasearch pour la recherche en Rhumatologie geneve,37,13,41,91
72,Fondation Romande pour la Recherche sur le Diabète,Genève,CH,Chemin Malombré 10,,,,8134.0,,,,,8134,hco,eli,chemin malombre 10,geneve,72,Fondation Romande pour la Recherche sur le Diabète geneve,40,13,30,83
73,Fondation Suisse Contre le Cancer du Foie,Delémont,CH,"c/o Me Laurent Helg, Rue De L'église 13",,,,3000.0,,,,,3000,hco,eli,centreo maitre laurent helg rue de l'eglise 13,delemont,73,Fondation Suisse Contre le Cancer du Foie delemont,36,12,37,85
70,Fondation fribourgeoise pour la recherche et la formation sur le cancer,Bourguillon,CH,"c/o Prof. Daniel Betticher, Rue Max von Sachsen 4",,,,5000.0,,,,,5000,hco,eli,centreo professeur daniel betticher rue max von sachsen 4,bourguillon,70,Fondation fribourgeoise pour la recherche et la formation sur le cancer bourguillon,38,30,41,109
74,Forum für medizinische Fortbildung - FomF GmbH,Zug,CH,Ahornstrasse 2,,,,48300.0,,,,,48300,hco,eli,ahornstrasse 2,zug,74,Forum für medizinische Fortbildung - FomF GmbH zug,33,17,44,94
181,Fuersorgeverein Bethesda,Tschugg,CH,,,,,1000.0,,,,,1000.0,hco,shire,nan,tschugg,181,Fuersorgeverein Bethesda tschugg,40,12,15,67
75,GDG - Groupe des Dermatologues Genevois,Genève,CH,"c/o Dr Alexandre Campanelli, Avenue de la Roseraie 76A",,,,1000.0,,,,,1000,hco,eli,centreo docteur alexandre campanelli avenue de la roseraie 76a,geneve,75,GDG - Groupe des Dermatologues Genevois geneve,36,13,39,88
78,GSMN Suisse Clinique de Genolier SA,Genolier,CH,Route du Muids 3,,,,1852.0,,,,,1852,hco,eli,route du muids 3,genolier,78,GSMN Suisse Clinique de Genolier SA genolier,37,12,23,72
76,Groupe d'intérêts communs suisse d'infirmières/iers- conseil en diabétolgie,Prangins,CH,Chemin Clé des champs 5,,,,3800.0,,,,,3800,hco,eli,chemin cle des champs 5,prangins,76,Groupe d'intérêts communs suisse d'infirmières/iers- conseil en diabétolgie prangins,35,35,34,104
5,Groupement des Neurologues,Monthey,CH,Avenue Du Crochetan 2,,,,2500.0,,,,,2500.0,hco,almirall,avenue du crochetan 2,monthey,5,Groupement des Neurologues monthey,35,0,35,70
77,Gruppo Medico Formazione,Roveredo GR,CH,San Fedele,,,,3300.0,,,,,3300,hco,eli,san fedele,roveredo guerrero,77,Gruppo Medico Formazione roveredo guerrero,33,15,26,74
79,H+O communications ag,Küssnacht am Rigi,CH,Bahnhofstrasse 17,,,,3000.0,,,,,3000,hco,eli,bahnhofstrasse 17,kuessnacht am rigi,79,H+O communications ag kuessnacht am rigi,28,30,45,103
80,"HFR Fribourg- Hôpital Cantonal - Service de Rhumatologie, Médecine Physique et Rééducation",Fribourg,CH,Chemin des Pensionnats 2,,,,1500.0,,,,,1500,hco,eli,chemin des pensionnats 2,fribourg,80,"HFR Fribourg- Hôpital Cantonal - Service de Rhumatologie, Médecine Physique et Rééducation fribourg",32,35,40,107
81,"HIB, Site Estavayer-le-Lac - Unité de médecine",Estavayer le Lac,CH,Rue de la Rochette,,,,2000.0,,,,,2000,hco,eli,rue de la rochette,estavayer le lac,81,"HIB, Site Estavayer-le-Lac - Unité de médecine estavayer le lac",39,24,41,104
6,Hautpraxis,Liestal,CH,Mühlegasse 3,,,,1500.0,,,,,1500.0,hco,almirall,muehlegasse 3,liestal,6,Hautpraxis liestal,22,12,29,63
183,Hirslanden Klinik Aarau,Aarau,CH,Schänisweg,,,,,,,900.0,,900.0,hco,shire,schaenisweg,aarau,183,Hirslanden Klinik Aarau aarau,34,43,26,103
182,Hirslanden Klinik im Park,Zürich,CH,Seestrasse 220,,,,2000.0,,,,,2000.0,hco,shire,seestrasse 220,zuerich,211,Hirslanden Klinik im Park zuerich,36,12,36,84
184,Hopital Fribourgeois,Fribourg,CH,Chemin Des Pensionnats,,,,2000.0,,,,,2000.0,hco,shire,chemin des pensionnats,fribourg,184,Hopital Fribourgeois fribourg,21,35,38,94
86,"Hôpital Riviera Chablais Vaud- Valais, Site de la Providence - Vevey",Vevey,CH,Avenue de la Prairie 3,,,,500.0,,,,,500,hco,eli,avenue delaware la prairie 3,vevey,87,"Hôpital Riviera Chablais Vaud- Valais, Site de la Providence - Vevey vevey",36,0,34,70
87,"Hôpital Riviera Chablais Vaud- Valais, Site du Samaritain - Vevey",Vevey,CH,Boulevard Paderewski 3,,,,,,,1020.0,,1020,hco,eli,boulevard paderewski 3,vevey,87,"Hôpital Riviera Chablais Vaud- Valais, Site du Samaritain - Vevey vevey",38,0,28,66
82,Hôpital de Zone de Nyon - GHOL,Nyon,CH,Chemin Monastier 10,,,,900.0,,,,,900,hco,eli,chemin monastier 10,nyon,83,Hôpital de Zone de Nyon - GHOL nyon,27,0,36,63
83,Hôpital de Zone de Nyon - GHOL - Unité d'Oncologie Médicale,Nyon,CH,Chemin Monastier 10,,,,1500.0,,,,,1500,hco,eli,chemin monastier 10,nyon,83,Hôpital de Zone de Nyon - GHOL - Unité d'Oncologie Médicale nyon,26,0,36,62
84,"Hôpital du Jura, Delémont - Diabétologie- endocrinologie",Delémont,CH,Faubourg des Capucins 30,,,,2750.0,,,,,2750,hco,eli,faubourg des capucins 30,delemont,84,"Hôpital du Jura, Delémont - Diabétologie- endocrinologie delemont",33,12,30,75
85,Hôpital du Valais - Hôpital de Sion,Sion,CH,Avenue Grand- Champsec 80,,,,500.0,,,,,500,hco,eli,avenue grand champsec 80,sion,221,Hôpital du Valais - Hôpital de Sion sion,27,0,37,64
185,Hôpitaux Universitaires Genève,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,68110.15,4121.09,,555.43,3362.0,,76148.67,hco,shire,rue gabrielle-perret-gentil 4,geneve,7,Hôpitaux Universitaires Genève geneve,34,13,43,90
7,Hôpitaux Universitaires Genève - Service de dermatologie,Genève,CH,Rue Gabrielle-Perret -Gentil 4 Service de dermatologie,,,,3780.0,,,,,3780.0,hco,almirall,rue gabrielle-perret  gentil 4 service de dermatologie,geneve,89,Hôpitaux Universitaires Genève - Service de dermatologie geneve,36,13,36,85
88,"Hôpitaux Universitaires de Genève (HUG) - Département de médecine communautaire, de premier recours et des urgences",Genève,CH,RueGabrielle- Perret-Gentil 4,,,,6000.0,,,,,6000,hco,eli,ruegabrielle perret-gentil 4,geneve,185,"Hôpitaux Universitaires de Genève (HUG) - Département de médecine communautaire, de premier recours et des urgences geneve",31,13,31,75
90,Hôpitaux Universitaires de Genève (HUG) - Service de Rhumatologie,Genève,CH,Avenue de Beau- Séjour 26,,,,3000.0,,,,,3000,hco,eli,avenue de beau sejour 26,geneve,185,Hôpitaux Universitaires de Genève (HUG) - Service de Rhumatologie geneve,35,13,33,81
89,Hôpitaux Universitaires de Genève (HUG) - Service de dermatologie et vénéréologie,Genève,CH,"Service de dermatologie, Rue Gabrielle- Perret-Gentil 4",,,,5000.0,,,,,5000,hco,eli,service de dermatologie rue gabrielle perret-gentil 4,geneve,185,Hôpitaux Universitaires de Genève (HUG) - Service de dermatologie et vénéréologie geneve,36,13,36,85
91,Hôpitaux Universitaires de Genève (HUG) - Service des maladies osseuses,Genève,CH,RueGabrielle- Perret-Gentil 4,,,,3852.0,,,,,3852,hco,eli,ruegabrielle perret-gentil 4,geneve,185,Hôpitaux Universitaires de Genève (HUG) - Service des maladies osseuses geneve,32,13,31,76
95,IOSI Istituto Oncologico della Svizzera Italiana,Bellinzona,CH,"Ospedale San Giovanni, Via Ospedale",,,,3000.0,,,,,3000,hco,eli,ospedale san giovanni via ospedale,bellinzona,95,IOSI Istituto Oncologico della Svizzera Italiana bellinzona,29,21,30,80
199,IZZ Immunologie-Zentrum Zürich,Zürich,CH,Walchestrasse 11,,,,,,1229.12,,,1229.12,hco,shire,walchestrasse 11,zuerich,199,IZZ Immunologie-Zentrum Zürich zuerich,28,12,50,90
92,Impulze,Zürich,CH,Sonnenbergstras se 48,,,,10000.0,,,,,10000,hco,eli,sonnenbergstras european company 48,zuerich,92,Impulze zuerich,14,12,39,65
186,Insel Gruppe AG,Bern,CH,Freiburgstrasse 18,,,,9750.0,,3403.9,,,13153.9,hco,shire,freiburgstrasse 18,bern,187,Insel Gruppe AG bern,31,31,41,103
187,Insel Gruppe AG on behalf of Universitätsklinik für Diabetologie Endokrinologie Ernährungsmedizin,Bern,CH,Freiburgstraße 4,,,,,,,2000.0,,2000.0,hco,shire,freiburgstrasse 4,bern,188,Insel Gruppe AG on behalf of Universitätsklinik für Diabetologie Endokrinologie Ernährungsmedizin bern,32,31,38,101
188,Insel Gruppe AG on behalf of Universitätsklinik für Neurologie,Bern,CH,Freiburgstraße 4,,,,6800.0,,,,,6800.0,hco,shire,freiburgstrasse 4,bern,186,Insel Gruppe AG on behalf of Universitätsklinik für Neurologie bern,35,31,38,104
189,Insel Gruppe AG on behalf of Universitätsklinik für Viszerale Chirurgie und Medizin,Bern,CH,Inselspital,,,,,,,3600.0,,3600.0,hco,shire,inselspital,bern,186,Insel Gruppe AG on behalf of Universitätsklinik für Viszerale Chirurgie und Medizin bern,31,31,21,83
191,Inselspital Bern,Bern,CH,Freiburgstrasse 18,,,,7644.0,,567.2,7880.0,,16091.2,hco,shire,freiburgstrasse 18,bern,8,Inselspital Bern bern,31,31,41,103
8,Inselspital Bern,Bern,CH,Freiburgstrasse 18,,,,3240.0,,,,,3240.0,hco,almirall,freiburgstrasse 18,bern,9,Inselspital Bern bern,31,31,41,103
9,Inselspital Bern - Klinik für Dermatologie,Bern,CH,Freiburgstrasse 18,,,,9616.0,,,,,9616.0,hco,almirall,freiburgstrasse 18,bern,191,Inselspital Bern - Klinik für Dermatologie bern,37,31,41,109
10,Inselspital Bern - Klinik für Neurologie,Bern,CH,Freiburgstrasse 18,,,,2160.0,,,,,2160.0,hco,almirall,freiburgstrasse 18,bern,191,Inselspital Bern - Klinik für Neurologie bern,38,31,41,110
192,Inselspital Bern; Universitätsklinik für Nephrologie Hypertonie & klinische Pharmakologie,Bern,CH,Freiburgstraße 4,,,,800.0,,,,,800.0,hco,shire,freiburgstrasse 4,bern,191,Inselspital Bern; Universitätsklinik für Nephrologie Hypertonie & klinische Pharmakologie bern,33,31,38,102
190,Inselspital Department Klinische Forschung,Bern,CH,Murtenstrasse 40,,,,682.0,,1006.08,,,1688.08,hco,shire,murtenstrasse 40,bern,191,Inselspital Department Klinische Forschung bern,33,31,42,106
193,Inselspital Klinik für Neurologie,Bern,CH,Freiburgstr. 8,,,,,,516.08,,,516.08,hco,shire,freiburgstrasse 8,bern,10,Inselspital Klinik für Neurologie bern,38,31,38,107
194,Inselspital Notfallstation,Bern,CH,Freiburgstrasse 4,,,,1750.0,,,,,1750.0,hco,shire,freiburgstrasse 4,bern,191,Inselspital Notfallstation bern,32,31,38,101
195,Inselspital; Universitätsklinikum für Hämatologie und Hämatologisches Zentrallabor,Bern,CH,Freiburgstr. 8,,,,,,516.15,,,516.15,hco,shire,freiburgstrasse 8,bern,191,Inselspital; Universitätsklinikum für Hämatologie und Hämatologisches Zentrallabor bern,34,31,38,103
196,Institut Central des Hôpitaux,Sion,CH,Avenue Grand-Champsec 86,,,,571.18,,1051.57,,,1622.75,hco,shire,avenue grand-champsec 86,sion,85,Institut Central des Hôpitaux sion,28,0,37,65
93,Institut de Radiologie Bois- Cerf,Lausanne,CH,Avenue d'Ouchy 31,,,,4000.0,,,,,4000,hco,eli,avenue d'ouchy 31,lausanne,93,Institut de Radiologie Bois- Cerf lausanne,35,24,30,89
94,Institut für Pharmakologie (UNIBE),Bern,CH,Friedbühlstrasse 49,,,,2000.0,,,,,2000,hco,eli,friedbuehlstrasse 49,bern,155,Institut für Pharmakologie (UNIBE) bern,36,31,39,106
197,Institut für Physikalische Medizin; UniversitätsSpital Zürich,Zürich,CH,Gloriastrasse 25,,,,444.4,,2195.34,,,2639.74,hco,shire,gloriastrasse 25,zuerich,162,Institut für Physikalische Medizin; UniversitätsSpital Zürich zuerich,30,12,42,84
198,International Skeletal Dysplasia Society,Lausanne,CH,Avenue Pierre-Decker 2,,,,11507.7,,,,,11507.7,hco,shire,avenue pierre-decker 2,lausanne,198,International Skeletal Dysplasia Society lausanne,37,24,34,95
200,JMEC Switzerland,Zürich,CH,Birmensdorferstraße 377,,,,12000.0,,,,,12000.0,hco,shire,birmensdorferstrasse 377,zuerich,200,JMEC Switzerland zuerich,27,12,43,82
96,Kantonsspital Aarau AG,Aarau,CH,Tellstrasse 25,,,,1000.0,,56.0,4200.0,,5256,hco,eli,tellstrasse 25,aarau,201,Kantonsspital Aarau AG aarau,28,43,36,107
201,Kantonsspital Aarau AG,Aarau,CH,Tellstrasse 25,,,,,,657.16,900.0,,1557.16,hco,shire,tellstrasse 25,aarau,11,Kantonsspital Aarau AG aarau,28,43,36,107
11,Kantonsspital Aarau AG - Klinik für Neurologie,Aarau,CH,Tellstrasse,,,,2160.0,,,,,2160.0,hco,almirall,tellstrasse,aarau,96,Kantonsspital Aarau AG - Klinik für Neurologie aarau,35,43,34,112
202,Kantonsspital Graubünden,Chur,CH,Loestrasse 170,,,,,,444.64,1800.0,,2244.64,hco,shire,loestrasse 170,chur,202,Kantonsspital Graubünden chur,31,15,44,90
12,Kantonsspital Münsterlingen,Münsterlingen,CH,Spitalcampus 1,,,,3240.0,,,,,3240.0,hco,almirall,spitalcampus 1,muensterlingen,210,Kantonsspital Münsterlingen muensterlingen,42,17,28,87
203,Kantonsspital Olten,Olten,CH,Baslerstrasse 150,,,,,,,900.0,,900.0,hco,shire,baslerstrasse 150,olten,203,Kantonsspital Olten olten,33,0,45,78
97,"Kantonsspital Schaffhausen - Klinik für Rheumatologie, Geriatrie und Rehabilitation",Schaffhausen,CH,Geissbergstrasse 81,,,,2500.0,,,,,2500,hco,eli,geissbergstrasse 81,schaffhausen,97,"Kantonsspital Schaffhausen - Klinik für Rheumatologie, Geriatrie und Rehabilitation schaffhausen",28,19,40,87
98,Kantonsspital St. Gallen,St. Gallen,CH,Rorschacher Strasse 95,,,,22060.0,,,1800.0,,23860,hco,eli,rorschacher strasse 95,saint gallen,204,Kantonsspital St. Gallen saint gallen,31,29,52,112
204,Kantonsspital St. Gallen,St. Gallen,CH,Rorschacher Strasse 95,,,,7688.88,,,2500.0,,10188.88,hco,shire,rorschacher strasse 95,saint gallen,13,Kantonsspital St. Gallen saint gallen,31,29,52,112
13,Kantonsspital St. Gallen - Dermatologie und Allergologie,St. Gallen,CH,Rorschacherstras se 95,,,,3240.0,,,,,3240.0,hco,almirall,rorschacherstras european company 95,saint gallen,14,Kantonsspital St. Gallen - Dermatologie und Allergologie saint gallen,34,29,33,96
14,Kantonsspital St. Gallen - Klinik für Neurologie,St. Gallen,CH,Rorschacherstras se 95,,,,3780.0,,,,,3780.0,hco,almirall,rorschacherstras european company 95,saint gallen,98,Kantonsspital St. Gallen - Klinik für Neurologie saint gallen,32,29,33,94
99,Kantonsspital Winterthur - Medizinische Onkologie und Hämatologie,Winterthur,CH,Brauerstrasse 15,,,,5500.0,,,,,5500,hco,eli,brauerstrasse 15,winterthur,100,Kantonsspital Winterthur - Medizinische Onkologie und Hämatologie winterthur,31,11,46,88
100,Kantonsspital Winterthur - Urologische Klinik,Winterthur,CH,Brauerstrasse 15,,,,1000.0,,,,,1000,hco,eli,brauerstrasse 15,winterthur,100,Kantonsspital Winterthur - Urologische Klinik winterthur,38,11,46,95
101,Kenes International - Kenes Group,Genève,CH,Rue François- Versonnex 7,,,,7467.0,,,,,7467,hco,eli,rue francois versonnex 7,geneve,205,Kenes International - Kenes Group geneve,39,13,47,99
