type,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,source
hcp_amount,,,17478.95,48553.85,73432.34,21187.78,160652.92,bayer
rnd,,,,,,,6946347.25,bayer
hcp_amount,,,,,,,0.0,bgp
hco_amount,29900.0,,,,1750.0,,31650.0,bgp
hcp_count,,,,,,,0.0,bgp
hco_count,2.0,,,,1.0,,3.0,bgp
rnd,,,,,,,0.0,bgp
hcp_amount,,,220.85,4081.24,4638.0,,8940.09,biogen
hco_amount,,,,,,,,biogen
rnd,,,,,,,1955298.86,biogen
hcp_amount,,,,644.92,1760.85,,2405.77,biotest
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,biotest
rnd,,,,,,,0.0,biotest
hcp_amount,,,14137.47,37560.14,121608.03,17125.3,190430.94,boehringer
hco_amount,,55191.28,2762.15,8530.6,73662.81,21931.61,162078.45,boehringer
rnd,,,,,,,642383.06,boehringer
hcp_amount,,,5256.0,10361.0,66411.0,1676.0,83704.0,bristol
hco_amount,,,,,3217.0,165.0,3382.0,bristol
hcp_count,,,13.0,21.0,32.0,9.0,50.0,bristol
hco_count,0.0,0.0,0.0,0.0,1.0,1.0,1.0,bristol
rnd,,,,,,,9905440.0,bristol
hcp_amount,,,1445.08,4945.37,42418.75,2201.73,51010.93,celgene
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,celgene
hcp_count,,,3.0,3.0,14.0,7.0,17.0,celgene
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,celgene
rnd,,,,,,,677764.55,celgene
hcp_amount,,,,871.2,9154.3,12008.05,22033.55,csl
hco_amount,0.0,1000.0,0.0,0.0,0.0,0.0,1000.0,csl
hcp_count,,,,1.0,1.0,1.0,1.0,csl
hco_count,0.0,1.0,0.0,0.0,0.0,0.0,,csl
rnd,,,,,,,314218.94,csl
hcp_amount,,,1590.5,4123.58,41775.0,,47489.08,daiichi
hco_amount,,37500.0,,,,,37500.0,daiichi
rnd,,,,,,,272459.0,daiichi
hcp_amount,,,0.0,0.0,3875.0,0.0,3875.0,eisai
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,eisai
hcp_count,,,0.0,0.0,3.0,0.0,,eisai
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,,eisai
rnd,,,,,,,26656.6,eisai
hcp_amount,,,13481.0,24936.0,88147.0,12954.0,139518.0,eli
hco_amount,0.0,54296.0,0.0,0.0,1600.0,0.0,55896.0,eli
hcp_count,,,50.0,48.0,49.0,15.0,,eli
hco_count,0.0,11.0,0.0,0.0,1.0,0.0,,eli
rnd,,,,,,,557110.0,eli
hcp_amount,,,1622.0,4780.0,2200.0,,8602.0,ferring
hco_amount,,,,,,,,ferring
hcp_count,,,3.0,3.0,2.0,,3.0,ferring
hco_count,,,,,,,,ferring
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ferring
hcp_amount,,,25293.07,30594.51,9978.46,207.0,66073.04,future
hco_amount,,343808.11,742.36,553.77,44530.0,,389634.24,future
rnd,,,,,,,151383.96,future
hcp_amount,,,6236.45,0.0,20172.65,0.0,26409.1,galderma
hco_amount,0.0,23537.0,0.0,0.0,0.0,0.0,23537.0,galderma
hcp_count,,,3.0,0.0,6.0,0.0,,galderma
hco_count,0.0,1.0,0.0,0.0,0.0,0.0,,galderma
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,galderma
hcp_amount,,,,,,,,gilead
hco_amount,,,,,,,,gilead
hcp_count,,,,,,,,gilead
hco_count,,,,,,,,gilead
rnd,,,,,,,503656.0,gilead
hcp_amount,,,0.0,0.0,0.0,0.0,0.0,glaxosmithkline
hco_amount,0.0,1600.0,0.0,0.0,0.0,0.0,1600.0,glaxosmithkline
hcp_count,,,0.0,0.0,0.0,0.0,,glaxosmithkline
hco_count,0.0,1.0,0.0,0.0,0.0,0.0,,glaxosmithkline
rnd,,,,,,,216739.45,glaxosmithkline
hcp_amount,,,3148.65,4889.6,9789.85,1120.0,18948.1,gruenenthal
hco_amount,,0.0,0.0,0.0,0.0,,0.0,gruenenthal
rnd,,,,,,,0.0,gruenenthal
hcp_amount,0,0,0,0,0,0,0,hra
hcp_count,0,0,0,0,0,0,0,hra
hco_amount,0,0,0,0,0,0,0,hra
hco_count,0,0,0,0,0,0,0,hra
rnd,0,0,0,0,0,0,0,hra
hcp_amount,,,30366.0,74771.0,122985.0,8335.0,236457.0,janssen
hco_amount,774495.0,501977.0,,,19752.0,,1296224.0,janssen
rnd,,,,,,,621414.0,janssen
hcp_amount,,,,,,,,leo
hco_amount,,,,,,,,leo
hcp_count,,,,,,,,leo
hco_count,,,,,,,,leo
rnd,,,,,,,,leo
hcp_amount,,,,,,,,lundbeck
hcp_count,,,,,,,,lundbeck
hco_amount,,,,,,,,lundbeck
hco_count,,,,,,,,lundbeck
rnd,,,,,,,0.0,lundbeck
hcp_amount,,,,,7334.0,,7334.0,meda
hco_amount,25000.0,2500.0,,,,,27500.0,meda
hcp_count,,,,,5.0,,5.0,meda
hco_count,1.0,1.0,,,,,2.0,meda
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,meda
hcp_amount,,2740.0,0.0,0.0,0.0,0.0,2740,menarini
hco_amount,,,,,,,0,menarini
rnd,,,,,,,0,menarini
hcp_amount,,,0.0,0.0,1260.0,0.0,1260,mepha
hco_amount,,0.0,0.0,0.0,0.0,,0,mepha
rnd,,,,,,,0,mepha
hcp_amount,,,13514.96,32928.68,254860.61,23879.92,325184.17,merck
hco_amount,,,,,,,0.0,merck
hcp_count,,,36.0,35.0,30.0,4.0,105.0,merck
hco_count,,,,,,,0.0,merck
rnd,,,,,,,365340.0,merck
hcp_amount,,,1511.1,5601.46,41118.71,26.21,59257.48,msd
hco_amount,8610.0,221389.27,7793.4,22035.65,137975.0,,397803.32,msd
hcp_count,,,5.0,8.0,14.0,1.0,,msd
hco_count,2.0,13.0,4.0,5.0,4.0,,,msd
rnd,,,,,,,2800731.4,msd
hcp_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mundipharma
hcp_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mundipharma
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mundipharma
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mundipharma
rnd,,,,,,,22000.0,mundipharma
hcp_amount,0,0,0,0,0,0,0,neurim
hcp_count,0,0,0,0,0,0,0,neurim
hco_amount,0,0,0,0,0,0,0,neurim
hco_count,0,0,0,0,0,0,0,neurim
rnd,0,0,0,0,0,0,0,neurim
hcp_amount,0,0,0,0,0,0,0,nordic
hcp_count,0,0,0,0,0,0,0,nordic
hco_amount,0,0,0,0,0,0,0,nordic
hco_count,0,0,0,0,0,0,0,nordic
rnd,0,0,0,0,0,0,0,nordic
hcp_amount,,,1481.31,2327.9,11700.0,0.0,15509.21,norgine
hco_amount,0.0,47835.6,0.0,0.0,0.0,0.0,47835.6,norgine
hcp_count,,,3.0,5.0,6.0,0.0,9.0,norgine
hco_count,0.0,9.0,0.0,0.0,0.0,0.0,9.0,norgine
rnd,,,,,,,2671.54,norgine
hcp_amount,,,186.7,373.3,6553.0,,7113.0,novartis
hco_amount,,,,,120.01,,120.01,novartis
rnd,,,,,,,10822956.91,novartis
hcp_amount,,,6143.0,31864.0,74337.0,18863.0,131207.0,novo
hco_amount,300000.0,4729.0,,,,,304729.0,novo
hcp_count,,,11.0,13.0,17.0,5.0,,novo
hco_count,1.0,2.0,,,,,,novo
rnd,,,,,,,462354.0,novo
hcp_amount,,,,1516.5,971.1,,2487.6,orion
hco_amount,0.0,0.0,0.0,0.0,0.0,,,orion
rnd,,,,,,,19.92,orion
hcp_amount,,,4280.03,12631.61,9120.0,0.0,26031.64,otsuka
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,otsuka
hcp_count,,,11.0,12.0,4.0,0.0,27.0,otsuka
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,otsuka
rnd,,,,,,,26714.2,otsuka
hcp_amount,,,1671.0,13767.0,93712.0,10003.0,119152,pfizer
hco_amount,,,,,1000.0,,1000,pfizer
rnd,,,,,,,5018376,pfizer
hcp_amount,,,,370.31,20547.29,1030.29,21947.89,pierre
hco_amount,,,,673.0,4200.0,,4873.0,pierre
hcp_count,,,,1.0,4.0,3.0,,pierre
hco_count,,,,1.0,2.0,,,pierre
rnd,,,,,,,,pierre
hcp_amount,,,,,,,,recordati
hco_amount,,,,,,,,recordati
rnd,,,,,,,,recordati
hcp_amount,,,7480.64,31889.06,65094.2,12889.21,117353.11,roche
hco_amount,215404.17,11425.93,0.0,0.0,500.0,0.0,227330.1,roche
hcp_count,,,13.0,17.0,32.0,6.0,68.0,roche
hco_count,3.0,6.0,0.0,0.0,1.0,0.0,10.0,roche
rnd,,,,,,,13045956.79,roche
hcp_amount,,,,,9095.17,919.36,10014.53,sandoz
hco_amount,78729.5,14545.2,,,600.0,,93874.7,sandoz
hcp_count,,,,,9.0,2.0,,sandoz
hco_count,1.0,5.0,,,1.0,,,sandoz
rnd,,,,,,,693.59,sandoz
hcp_amount,,,11891.14,30172.73,154915.29,52559.76,249538.92,sanofi
hco_amount,0.0,980149.72,0.0,0.0,141039.05,31448.34,1152637.11,sanofi
hcp_count,,,,,,,,sanofi
hco_count,,,,,,,,sanofi
rnd,,,,,,,238267.03,sanofi
hcp_amount,,,2204.0,11427.0,46209.0,1405.0,61245.0,servier
hco_amount,266106.0,1600.0,629.0,1678.0,2432.0,143208.0,415652.0,servier
hcp_count,,,5.0,13.0,13.0,3.0,,servier
hco_count,3.0,2.0,1.0,1.0,2.0,1.0,,servier
rnd,,,,,,,6421.0,servier
hcp_amount,0,0,0,0,0,0,0,sfl
hcp_count,0,0,0,0,0,0,0,sfl
hco_amount,0,0,0,0,0,0,0,sfl
hco_count,0,0,0,0,0,0,0,sfl
rnd,0,0,0,0,0,0,0,sfl
hcp_amount,,,,1474.96,6806.42,1254.62,9536.0,shire
hco_amount,,18432.0,,,,,18432.0,shire
rnd,,,,,,,192168.91,shire
hcp_amount,,,1269.81,3547.19,,,4817.0,stallergenes
hco_amount,,53140.02,,,,,53140.02,stallergenes
hcp_count,,,5.0,5.0,,,,stallergenes
hco_count,,14.0,,,,,,stallergenes
rnd,,,,,,,,stallergenes
hcp_amount,,,1188.64,2090.92,17050.0,0.0,20329.56,takeda
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeda
rnd,,,,,,,260664.97,takeda
hcp_amount,,,1240.0,,4956.0,782.0,6978,teva
hco_amount,,500.0,,,,,500,teva
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0,teva
hcp_amount,,,1975.87,4807.95,,10459.41,17452.73,ucb
hco_amount,,,,649.25,,35207.19,35856.44,ucb
rnd,,,,,,,918939.0,ucb
hcp_amount,,1000.0,3457.91,5875.45,71039.42,13473.84,94846.62,vifor
hco_amount,,54643.74,,,24981.4,4146.0,83770.96,vifor
hcp_count,,1.0,12.0,9.0,38.0,3.0,,vifor
hco_count,,15.0,,,3.0,2.0,,vifor
rnd,,,,,,,612859.0,vifor
hcp_amount,0,0,0,0,0,0,0,zambon
hco_amount,0,0,0,0,0,0,0,zambon
rnd,0,0,0,0,0,0,0,zambon
