,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,address_expand,location_expand,parent,r_name,r_location,r_address,r_ratio,log
3809,AGLA - Die Arbeitsgruppe Lipide und Atherosklerose,Steinhausen,CH,c/o Medworld AG - Sennweidstrasse 46,6312,AGLAForumSteinhausen,,6600.0,,,,,6600,hco,servier,cob medworld ag sennweidstrasse 46,steinhausen,3205,36,42,28,106,"name=100,location=100,address=100,total=300"
3205,AGLA Arbeitsgruppe Lipide und Atherosklerose,Steinhausen,CH,Sennweidstrasse 46,,,6480.0,2700,0,0,0,0,9180,hco,pfizer,sennweidstrasse 46,steinhausen,489,36,42,35,113,"name=100,location=100,address=100,total=300"
2792,AGLAEA Präsident: Dr. Oliver Annen,Root,CH,Bahnhofstrasse 24,,,0,5370.00,0,0,0,0,5370.00,hco,novartis,bahnhofstrasse 24,root,2792,41,0,36,77,
3044,AGS- Eltern- und Patienteninitiative Schweiz,Bülach,CH,Solibodenstrasse 21,,,2000.0,,,,,,2000,hco,novo,solibodenstrasse 21,buelach,3044,46,30,29,105,
3888,AIU Grindelwald c/o friedeven,sPfäffikon,CH,Unterdorfstrasse 12,,,,13500.0,,,,,13500.0,hco,stallergenes,unterdorfstrasse 12,spfaeffikon,3888,35,50,23,108,
3141,AMACTI,Lugano,CH,"c/o Cardiocentro Ticino, Via Tesserete 48",6900,,,3500.0,,,,,3500.0,hco,orion,presso cardiocentro ticino via tesserete 48,lugano,703,15,42,24,81,"name=100,location=100,address=100,total=300"
703,AMACTI - Assoc. Medici Anestesisti Ticino,Lugano,CH,Via Tesserete 48,,,2500.0,0.0,0.0,0.0,0.0,0.0,2500.0,hco,baxter,via tesserete 48,lugano,703,38,42,31,111,
1327,AMACTI Associazione Medici,Lugano,CH,Via Tesserete 48,,,,2000.0,,,,,2000.0,hco,cls,via tesserete 48,lugano,3141,34,42,31,107,"name=100,location=100,address=100,total=300"
6,AMACTI Associazione Medici Anestesisti del Canton Ticino,Lugano,CH,c/o Fondazione Cardiocentro Ticino,,,,2315.0,,,,,2315.0,hco,abbvie,presso fondazione cardiocentro ticino,lugano,3141,37,42,23,102,"name=100,location=100,address=83,total=283"
3718,AMC - Association Médecins de la Côte,Nyon,CH,Rue Neuve 6,1260,AMCNyon,,750.0,,,,,750,hco,servier,rue neuve 6,nyon,2144,32,24,30,86,"name=100,location=100,address=100,total=300"
745,AMIS Plus Stiftung,Zürich,CH,Hirschengraben 84,8001,40529773,0.0,20000.0,0.0,0.0,0.0,0.0,20000.0,hco,bayer,hirschengraben 84,zuerich,490,25,30,48,103,"name=100,location=100,address=100,total=300"
490,AMIS Plus Stiftung,Zürich,CH,Hirschengraben 84,,,0.0,24000.0,0.0,0.0,0.0,0.0,24000.0,hco,astrazeneca,hirschengraben 84,zuerich,2795,25,30,48,103,"name=100,location=100,address=100,total=300"
2795,AMIS Plus Stiftung,Zürich,CH,Hirschengraben 84,,,10000.00,0,0,0,0,0,10000.00,hco,novartis,hirschengraben 84,zuerich,745,25,30,48,103,"name=100,location=100,address=100,total=300"
3385,AMITI,Paradiso,CH,Via Guisan 10,,,,1000.0,,,,,1000.0,hco,pierre,via guisan 10,paradiso,3719,12,19,21,52,"name=100,location=100,address=100,total=300"
3719,AMITI - Associazione Medici Internisti del Cantone Ticino,Paradiso - Lugano,CH,Via General Guisan 10,6902,AMITIParadisoLugano,,1000.0,,,,,1000,hco,servier,via general guisan 10,paradiso lugano,276,32,29,32,93,"name=100,location=100,address=100,total=300"
746,AOCT Associazione Oculisti Canton Ticino,Bellinzona,CH,Piazza del Sole 5,6500,40528924,0.0,1500.0,0.0,0.0,0.0,0.0,1500.0,hco,bayer,piazza del sole 5,bellinzona,746,33,43,30,106,
3563,APA Aerzte mit Patientenapothek e,St. Gallen,CH,Kolumbanstrasse 2,,,,2400.0,,,,,2400.0,hco,sandoz,kolumbanstrasse 2,saint gallen,3563,32,32,18,82,
3206,APA Ärzte mit Patientenapotheke,St. Gallen,CH,Kolumbanstrasse 2,,,0.0,0,0,0,400,0,400,hco,pfizer,kolumbanstrasse 2,saint gallen,2137,35,32,18,85,"name=100,location=100,address=100,total=300"
2137,APA. Ärzte mit Patientenapotheke,St. Gallen,CH,Kolumbanstrasse 2,,,,3400.0,,,,,3400.0,hco,menarini,kolumbanstrasse 2,saint gallen,3720,35,32,18,85,"name=100,location=100,address=100,total=300"
4107,APSI - Associazione pediatri della Svizzera Italiana,Paradisio,CH,Via delle Scuole 17,,,,3000.0,,,,,3000.0,hco,vifor,via delle scuole 17,paradisio,4107,34,18,29,81,
3209,APSI Associazione Pediatri della Svizzera Italiana,Locarno,CH,Via Monte Boglia 5,,,0.0,3000,0,0,0,0,3000,hco,pfizer,via monte boglia 5,locarno,3209,34,30,24,88,
2508,ARAM - Association Romande des Assistantes Médicales,Lausanne,CH,,,,,1800.0,,,,,1800.0,hco,msd,nan,lausanne,1706,36,48,11,95,"name=100,location=100,address=20,total=220"
1061,ARAM - Association Romande desAssistantes Médicales,Lausanne,CH,Adresse associative,1003,,,1800.0,,,,,1800.0,hco,boehringer,adresse associative,lausanne,1061,35,48,29,112,
2139,"ARAM, Association Romande des Assistantes Médicales",St-Légier,CH,Ch. du Lussy 18,,,,2000.0,,,,,2900.0,hco,menarini,chemin du lussy 18,st-legier,948,36,36,29,101,"name=94,location=100,address=100,total=294"
4108,ARFMPP - Association Romande de Formation en Médecine Psychosomatique et Psychosociale,Versoix,CH,rte de Suisse 93,,,,1000.0,,,,,1000.0,hco,vifor,route de suisse 93,versoix,2140,39,20,24,83,"name=99,location=100,address=100,total=299"
1827,ARFMPP Association Romande de Formation en Médecine Psychosomatique et Psychosociale,Genève,CH,7 rue Calvin,,,0.0,1000.0,0.0,0.0,0.0,0.0,1000.0,hco,gruenenthal,7 rue calvin,geneve,1827,39,32,29,100,
2140,"ARFMPP, Association Romande de Formation en Médecinepsychosomatique et psychosociale",Versoix,CH,Route de Suisse 93,,,,2000.0,,,,,2800.0,hco,menarini,route de suisse 93,versoix,2140,39,20,24,83,
3446,ARGOT Laboratoire SA Lab. de pathologie et cytologie,Lausanne,CH,Rue du Liseron 5,1006,,0.0,0.0,0.0,0.0,1500.0,0.0,1500.0,hco,roche,rue du liseron 5,lausanne,3446,39,48,31,118,
2296,"ASANA Gruppe AG, Spital Menziken",Menziken,CH,Spitalstrasse 1,,,,1200.0,,,,,1200,hco,mepha,spitalstrasse 1,menziken,4110,32,38,26,96,"name=100,location=100,address=100,total=300"
4111,ASI-ADOC,Lugano-Paradiso,CH,"Viale San Salvatore 7, C.P. 501",,,,750.0,,,,,750.0,hco,vifor,viale san salvatore 7 casella postale 501,lugano-paradiso,2036,17,29,21,67,"name=100,location=100,address=100,total=300"
2036,ASI-ADOC,Paradiso,CH,"Viale San Salvatore 7, Casella Postale 501",,,,750.0,,,,,750.0,hco,lundbeck,viale san salvatore 7 casella postale 501,paradiso,3814,17,19,21,57,"name=100,location=100,address=100,total=300"
3814,"ASI-ADOC - Associazione della Svizzera Italiana per i Disturbi d'Ansia, Depressivi e Ossessivo- Compulsivi",Paradiso - Lugano,CH,Viale San Salvatore 7,6902,ASIADOCParadisoLugano,,1000.0,,,,,1000,hco,servier,viale san salvatore 7,paradiso lugano,4111,33,29,32,94,"name=100,location=100,address=100,total=300"
1832,"ASI-ADOC Associazione della Svizzea Italiana per i disturbi Ansiosi, Depressivi e Ossessivo-Compuls.",Lugano-Paradiso,CH,"Viale San Salvatore, 7",,,0.0,500.0,0.0,0.0,0.0,0.0,500.0,hco,gruenenthal,viale san salvatore 7,lugano-paradiso,4111,34,29,32,95,"name=100,location=100,address=100,total=300"
1892,ASI-ADOC Libera la mente,Lugano-Paradiso,CH,Viale San Salvatore 7,,,0.0,800.0,0,0,0,0,800.0,hco,jansen,viale san salvatore 7,lugano-paradiso,4111,30,29,32,91,"name=100,location=100,address=100,total=300"
1199,ASROMM,Chêne-Bourg,CH,Rue Peillonnex 28,,,,750.0,,,,,750,hco,bristol,rue peillonnex 28,chene-bourg,3388,9,33,30,72,"name=100,location=100,address=100,total=300"
3388,ASROMM,Chêne-Bourg,CH,Rue Peillonnex 28 c/o Dr Sacroug Tatiana,,,,500.0,,,,,500.0,hco,pierre,rue peillonnex 28 centreo docteur sacroug tatiana,chene-bourg,1893,9,33,22,64,"name=100,location=100,address=100,total=300"
1893,ASROMM,Chêne-Bourg,CH,Rue Peillonnex 28,,,0.0,750.0,0,0,0,0,750.0,hco,jansen,rue peillonnex 28,chene-bourg,1199,9,33,30,72,"name=100,location=100,address=100,total=300"
1833,ASROMM Association Suisse Romande de Médecine Manuelle,Chêne-Bourg,CH,"28, rue Peillonnex",,,0.0,800.0,0.0,0.0,0.0,0.0,800.0,hco,gruenenthal,28 rue peillonnex,chene-bourg,1199,38,33,30,101,"name=100,location=100,address=100,total=300"
2343,"ASROMM""Association Suisse Romande de médecine manuelle",Lausanne,CH,Av Vinet 19,1004,,,800.0,,,,,830,hco,mepha,avenue vinet 19,lausanne,2148,38,48,32,118,"name=96,location=100,address=75,total=271"
1193,ASSOCIAZIONE TRIANGOLO,Locarno,CH,VIA CISERI 19,,,,2000.0,,,,,2000,hco,bristol,via ciseri 19,locarno,2817,26,30,21,77,"name=100,location=100,address=100,total=300"
2148,ASSROM Association suisse romande de médicine manuelle,Lausanne,CH,"c/o Antoine Jallut, Avenue Vine 19",,,,800.0,,,,,800.0,hco,menarini,centreoffice antoine jallut avenue vine 19,lausanne,2148,37,48,28,113,
1418,ATAF-APFCT / Associazione Ticinese Assistenti di Farmacia,Lugano,CH,PO Box: Casella Postale,5771,,,2500.0,,,,,2500,hco,eli,prato box casella postale,lugano,1418,36,42,20,98,
761,ATLS Advanced Trauma Life Support,Aarau,CH,Bahnhofstrasse 55,5001,1060352934,0.0,500.0,0.0,0.0,0.0,0.0,500.0,hco,bayer,bahnhofstrasse 55,aarau,761,34,22,30,86,
2672,AarReha,Schinznach,CH,-Bad,,,1000.0,,,,,,1000.0,hco,mundipharma,bad,schinznach,2672,17,26,0,43,
1412,AarReha Schinznach,Schinznach-Bad,CH,Badstrasse 55,,,,1000.0,,,,,1000,hco,eli,badstrasse 55,schinznach-bad,3906,30,30,21,81,"name=100,location=100,address=100,total=300"
3906,AarReha Schinznach,Schinznach-Bad,CH,Badstrasse 55,5116,,0,500.00,0,0,0,0,500.00,hco,takeda,badstrasse 55,schinznach-bad,1220,30,30,21,81,"name=100,location=100,address=100,total=300"
1220,AarReha Schinznach,Schinznach-Bad,CH,Badstrasse 55,,,,1500.0,,,,,1500,hco,bristol,badstrasse 55,schinznach-bad,1412,30,30,21,81,"name=100,location=100,address=100,total=300"
3204,AarReha Schinznach,Schinznach-Bad,CH,Badstrasse 55,,,0.0,1000,0,0,0,0,1000,hco,pfizer,badstrasse 55,schinznach-bad,1412,30,30,21,81,"name=100,location=100,address=100,total=300"
740,AarReha Schinznach,Schinznach-Bad,CH,Badstrasse 55,5116,40529319,0.0,1500.0,0.0,0.0,0.0,0.0,1500.0,hco,bayer,badstrasse 55,schinznach-bad,1412,30,30,21,81,"name=100,location=100,address=100,total=300"
273,Aarreha Schinznach,Schinznach-Bad,CH,Badstrasse 55,,,,500.0,,,,,500.0,hco,amgen,badstrasse 55,schinznach-bad,1412,30,30,21,81,"name=100,location=100,address=100,total=300"
192,Académie Dr. Ney,Vevey,CH,Rue des Moulins 4,1800,,,,,,3800.0,60.0,3860.0,hco,allergan,rue des moulins 4,vevey,192,25,22,30,77,
274,Adimed,Winterthur,CH,Lagerhausstrasse 9,,,,6800.0,,,,,6800.0,hco,amgen,lagerhausstrasse 9,winterthur,274,12,26,24,62,
1693,Advisis AG,Bern,CH,Effingerstrasse 55,,,0.0,149256.0,0.0,0.0,0.0,0.0,149256.0,hco,glaxosmithkline,effingerstrasse 55,bern,4101,19,24,29,72,"name=100,location=100,address=100,total=300"
1413,Advisis AG,Bern,CH,Effingerstrasse 55,,,,77000.0,,,,,77000,hco,eli,effingerstrasse 55,bern,4101,19,24,29,72,"name=100,location=100,address=100,total=300"
1,Advisis AG,Bern,CH,Effingerstrasse 55,,,,7000.0,,,,,7000.0,hco,abbvie,effingerstrasse 55,bern,4101,19,24,29,72,"name=100,location=100,address=100,total=300"
741,Advisis AG,Bern,CH,Effingerstrasse 55,3008,1051547182,0.0,52000.0,0.0,0.0,0.0,0.0,52000.0,hco,bayer,effingerstrasse 55,bern,4101,19,24,29,72,"name=100,location=100,address=100,total=300"
2135,Advisis AG,Bern,CH,Effingeratrasse 55,,,,51800.0,,,,,51800.0,hco,menarini,effingeratrasse 55,bern,4101,19,24,29,72,"name=100,location=100,address=94,total=294"
2,Aerzte Thalwil,Thalwil,CH,Rudishaldenstrasse 1,,,,2500.0,,,,,2500.0,hco,abbvie,rudishaldenstrasse 1,thalwil,3214,24,30,28,82,"name=92,location=100,address=100,total=292"
4325,AerzteNetzwerk Grauholz,Lenzburg,CH,c/o Argomed Ärzte AG - Bahnhofstrasse 24,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,zambon,cob argomed aerzte ag bahnhofstrasse 24,lenzburg,4325,28,38,33,99,
944,Aerztegesellscha ft Luzern - Sektion Gäu,Luzern,CH,Schwanenplatz 7,,,,1000.0,,,,,1000.0,hco,bgp,schwanenplatz 7,luzern,3327,34,42,32,108,"name=100,location=100,address=100,total=300"
1414,Aerztegesellschaf des Kantons Bern,Bern,CH,Postgasse 19,,,,4630.0,,,,,4630,hco,eli,postgasse 19,bern,742,33,24,14,71,"name=99,location=100,address=100,total=299"
4103,Aerztegesellschaft Gäu,Sursee,CH,Spitalstrasse 16a,,,,1000.0,,,,,1000.0,hco,vifor,spitalstrasse 16a,sursee,4103,29,32,24,85,
742,Aerztegesellschaft des Kantons Bern,Bern,CH,Postgasse 19,3000,40702884,0.0,300.0,0.0,0.0,0.0,0.0,300.0,hco,bayer,postgasse 19,bern,4102,33,24,14,71,"name=100,location=100,address=100,total=300"
4102,Aerztegesellschaft des Kantons Bern,Bern,CH,"Postgasse 19, PF",,,,2160.0,,,,,2160.0,hco,vifor,postgasse 19 postfach,bern,1414,33,24,22,79,"name=99,location=100,address=100,total=299"
4104,"Aerztenetzwerk Bern Nord-West, DoxNet",Hinterkappelen,CH,Kappelenring 6,,,,2000.0,,,,,2000.0,hco,vifor,kappelenring 6,hinterkappelen,3063,33,37,33,103,"name=100,location=100,address=100,total=300"
3717,Aerztenetzwerk Grauholz,Ittigen,CH,Worblentalstrasse 99,3063,AerztenetzwerkGrauholzIttigen,,2000.0,,,,,2000,hco,servier,worblentalstrasse 99,ittigen,752,28,40,33,101,"name=95,location=100,address=100,total=295"
2362,Aerzteverien Davos,Davos Platz,CH,Promenade 4,7270,,,3000.0,,,,,3120,hco,mepha,promenade 4,davos platz,1830,28,17,44,89,"name=88,location=100,address=90,total=278"
3,Aesculap Akademie,Sempach,CH,Seesatz 17,,,,2000.0,,,,,2000.0,hco,abbvie,seesatz 17,sempach,3,20,10,23,53,
743,Affidea Cimed,Fribourg,CH,Rue de Romont 24,1700,1066345153,0.0,92181.02,0.0,0.0,16673.57,0.0,108854.59,hco,bayer,rue de romont 24,fribourg,743,24,29,31,84,
275,Agla Arbeitsgruppelipide Undatherosklerose,Steinhausen,CH,Sennweidstrasse 46,,,,45200.0,,,,,45200.0,hco,amgen,sennweidstrasse 46,steinhausen,275,35,42,35,112,
3562,Aglaea,Buchrain,CH,Hauptstrasse 12,,,,7000.0,,,,,7000.0,hco,sandoz,hauptstrasse 12,buchrain,3562,15,29,26,70,
193,Albert Bruppacher Stiftung,Zürich,CH,"Universitäts Augenklinik, Frauenklinikstrasse 24",8091,,,,,,1900.0,145.0,2045.0,hco,allergan,universitaets augenklinik frauenklinikstrasse 24,zuerich,5,34,30,28,92,"name=100,location=100,address=100,total=300"
5,Albert Bruppacher Stiftung,Zürich,CH,Frauenklinikstrasse 24,,,,,,,2500.0,,2500.0,hco,abbvie,frauenklinikstrasse 24,zuerich,2793,34,30,42,106,"name=100,location=100,address=100,total=300"
2793,"Albert Bruppacher Stiftung c/o Universitätsspital Zürich, Augenklinik",Zürich,CH,Frauenklinikstrasse 24,,,0,0,0,0,9550.00,0,9550.00,hco,novartis,frauenklinikstrasse 24,zuerich,193,44,30,42,116,"name=100,location=100,address=100,total=300"
1694,Allergy & Immunology Update (AIU),Bern,CH,Scheibenstrasse 14,,,0.0,14580.0,0.0,0.0,0.0,0.0,14580.0,hco,glaxosmithkline,scheibenstrasse 14,bern,1694,31,24,41,96,
3818,Allgemeine Pädiatrie:Kinderspital Zürich,Zürich,CH,Steinwiesstrasse 75,,,,7043.86,,2518.53,,,9562.39,hco,shire,steinwiesstrasse 75,zuerich,3094,42,30,29,101,"name=100,location=100,address=100,total=300"
2409,Alternative Communication,Lausanne,CH,Avenue Cecil 2,,,,3900.0,,,,,3900.0,hco,merck,avenue cecil 2,lausanne,2409,30,48,40,118,
1011,Alzheimer Forum Schweiz,Basel,CH,Burgfelderstrasse 101,,,,5000.0,,,,,5000,hco,biogen,burgfelderstrasse 101,basel,2794,31,33,32,96,"name=100,location=100,address=98,total=298"
2794,"Alzheimer Forum Schweiz c/o Memory Clinic,Univers. Altersmedizin Felix Platter-Spital",Basel,CH,Burgfelderstrass e 101,,,300.00,0,0,0,0,0,300.00,hco,novartis,burgfelderstrass e 101,basel,2858,41,33,32,106,"name=100,location=100,address=100,total=300"
2030,Ambulatorien Zentrum für Psychotische Erkrankungen,Basel,CH,Kornhausgasse 7,,,,,,,1400.0,,1400.0,hco,lundbeck,kornhausgasse 7,basel,2030,40,33,26,99,
7,Ambulatorium Wiesendamm,Basel,CH,Wiesendamm 22,,,,1000.0,,,,,1000.0,hco,abbvie,wiesendamm 22,basel,7,26,33,28,87,
276,Amiti,Paradiso,CH,Via Guisan 10,,,,500.0,,,,,500.0,hco,amgen,via guisan 10,paradiso,3385,12,19,21,52,"name=100,location=100,address=100,total=300"
2796,AndreasKlinik Cham Zug,Cham,CH,Rigistrasse 1,,,0,2000.0,0,0,0,0,2000.00,hco,novartis,rigistrasse 1,cham,277,31,12,28,71,"name=98,location=100,address=100,total=298"
277,Andreasklinik Chamzug,Cham,CH,Rigistrasse 1,,,,2000.0,,,,,2000.0,hco,amgen,rigistrasse 1,cham,277,29,12,28,69,
737,Aospine Foundation,Dübendorf,CH,Stettbachstrasse,,,0.0,0.0,5115.0,0.0,0.0,0.0,5115.0,hco,baxter,stettbachstrasse,duebendorf,737,22,35,19,76,
3720,ApA - Ärzte mit Patientenapotheke,St. Gallen,CH,Kolumbanstrasse 2,9008,ApAStGallen,400.0,,,,,,400,hco,servier,kolumbanstrasse 2,saint gallen,3206,35,32,18,85,"name=100,location=100,address=100,total=300"
3648,"Apa, Ärzte mit Patientenapotheke",St. Gallen,CH,Kolumbanstrasse 2,9008,,,,,,400.0,,400.0,hco,sanofi,kolumbanstrasse 2,saint gallen,3206,35,32,18,85,"name=100,location=100,address=100,total=300"
3907,Apotheke Drogerie Reformhaus Kuhn AG,Brugg AG,CH,Bahnhofplatz 7,5201,,70.80,0,0,0,0,0,70.80,hco,takeda,bahnhofplatz 7,brugg ag,3907,35,29,33,97,
3721,Apotheke Drogerie Rüegg Hinwil,Hinwil,CH,Dürntnerstrasse 19,8340,BonadeaHinwil,,,,,1500.0,177.0,1677,hco,servier,duerntnerstrasse 19,hinwil,3721,33,21,29,83,
3207,Apothekerverband Kantons Zürich,Zürich,CH,Rotbuchstrasse 83,,,0.0,15000,0,0,0,0,15000,hco,pfizer,rotbuchstrasse 83,zuerich,1695,35,30,24,89,"name=100,location=100,address=100,total=300"
1695,Apothekerverband des Kantons Zürich (AVKZ),Zürich,CH,Rotbuchstrasse 83,,,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0,hco,glaxosmithkline,rotbuchstrasse 83,zuerich,1695,38,30,24,92,
3564,Appenzellerische Ärztegesellschaf t,bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2000.0,hco,sandoz,dorfstrasse 50,buehler,2507,40,40,27,107,"name=97,location=100,address=100,total=297"
2507,Appenzellische Ärztegesellschaf t,Bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2000.0,hco,msd,dorfstrasse 50,buehler,2138,38,40,27,105,"name=98,location=100,address=100,total=298"
2138,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2000.0,hco,menarini,dorfstrasse 50,buehler,3208,39,40,27,106,"name=100,location=100,address=100,total=300"
3208,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,0.0,2000,0,0,0,0,2000,hco,pfizer,dorfstrasse 50,buehler,1415,39,40,27,106,"name=100,location=100,address=100,total=300"
1415,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2000,hco,eli,dorfstrasse 50,buehler,2138,39,40,27,106,"name=100,location=100,address=100,total=300"
1891,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,0.0,2000.0,0,0,0,0,2000.0,hco,jansen,dorfstrasse 50,buehler,2138,39,40,27,106,"name=100,location=100,address=100,total=300"
468,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,astrazeneca,dorfstrasse 50,buehler,2138,39,40,27,106,"name=100,location=100,address=100,total=300"
4106,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2000.0,hco,vifor,dorfstrasse 50,buehler,2138,39,40,27,106,"name=100,location=100,address=100,total=300"
2396,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2060,hco,mepha,dorfstrasse 50,buehler,2138,39,40,27,106,"name=100,location=100,address=100,total=300"
2797,Arbeitsgemeinschaft Fortbildung für Apothekenmitarbe iter (agfam) c/o Frau Monika Mogavero,Winterthur,CH,Postfach,,,0,3000.0,0,0,0,0,3000.00,hco,novartis,postfach,winterthur,2797,40,26,17,83,
3445,Arbeitsgemeinschaft für Gynäkologische Onkologie und Brust Gesundheit der SGGG,Zürich,CH,Frauenklinikstrasse 10,8091,,0.0,0.0,0.0,0.0,15000.0,0.0,15000.0,hco,roche,frauenklinikstrasse 10,zuerich,3445,38,30,37,105,
491,Arbeitsgemeinschaft für gynäkologische Endoskopie (AGE/GTEG),Bern,CH,Thunstrasse 27,,,0.0,5800.0,0.0,0.0,0.0,0.0,5800.0,hco,astrazeneca,thunstrasse 27,bern,491,37,24,27,88,
3722,Arbeitsgruppe Herzinsuffizienz der SGK,Basel,CH,Universitätsspital  - Petersgraben 4,4031,ArbeitsgruppeHerzinsuffizienzSGKBasel,5000.0,,,,,,5000,hco,servier,universitaetsspital petersgraben 4,basel,3722,30,33,28,91,
3210,Arbeitsgruppe Koloproktologie,St. Gallen,CH,Rorschacherstrasse 95,,,0.0,2300,0,0,0,0,2300,hco,pfizer,rorschacherstrasse 95,saint gallen,214,33,32,22,87,"name=100,location=100,address=100,total=300"
748,Arbeitsgruppe Lipide und Atherosklerose,Diessenhofen,CH,Hintergasse 65,8253,1051562846,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0,hco,bayer,hintergasse 65,diessenhofen,748,36,40,40,116,
