type,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,source
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,,eisai
rnd,,,,,,,,eisai
hcp_amount,,,3588.0,10020.0,93818.0,14776.0,122202.0,eli
hco_amount,0.0,111902.0,0.0,0.0,10640.0,0.0,122542.0,eli
hcp_count,,,15.0,21.0,46.0,16.0,,eli
hco_count,0.0,11.0,0.0,0.0,6.0,0.0,,eli
rnd,,,,,,,385588.0,eli
hcp_amount,,,1014.0,3566.0,,,4580,ferring
hco_amount,,500.0,,,,,500,ferring
hcp_count,,,2.0,2.0,,,2,ferring
hco_count,,1.0,,,,,1,ferring
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0,ferring
hcp_amount,,,5647.32,11846.98,,,17494.3,future
hco_amount,,7957.99,,,903.93,,8861.92,future
hcp_count,,,12.0,21.0,,,21.0,future
hco_count,,3.0,,,1.0,,3.0,future
rnd,,,,,,,14592.17,future
hcp_amount,,,0.0,2635.05,5502.0,2199.0,10336.05,galderma
hco_amount,0.0,93718.43,0.0,0.0,59816.0,0.0,161350.43,galderma
hcp_count,,,0.0,6.0,5.0,7.0,,galderma
hco_count,0.0,3.0,0.0,0.0,4.0,0.0,,galderma
rnd,,,,,,,17832.0,galderma
hcp_amount,,,,9139.0,5892.0,81.0,15113.0,gilead
hco_amount,,,,,,,,gilead
hcp_count,,,,2.0,2.0,1.0,,gilead
hco_count,,,,,,,,gilead
rnd,,,,,,,2384393.0,gilead
hcp_amount,,,0.0,0.0,0.0,0.0,0.0,glaxosmithkline
hco_amount,0.0,0.0,,0.0,,0.0,0.0,glaxosmithkline
hcp_count,,,0.0,0.0,0.0,0.0,,glaxosmithkline
hco_count,0.0,0.0,0.0,0.0,0.0,,0.0,glaxosmithkline
rnd,,,,,,,193885.41,glaxosmithkline
hco_amount,,0.0,0.0,0.0,0.0,,0.0,gruenenthal
hco_count,,0.0,0.0,0.0,0.0,,0.0,gruenenthal
hcp_amount,,,4697.96,8485.93,6400.0,0.0,19583.89,gruenenthal
hcp_count,,0.0,25.0,25.0,16.0,26.0,43.0,gruenenthal
rnd,,,,,,,13220.0,gruenenthal
hcp_amount,0.0,0.0,0.0,0.0,0.0,0.0,0,hra
hcp_count,0.0,0.0,0.0,0.0,0.0,0.0,0,hra
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0,hra
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0,hra
rnd,,,,,,,0,hra
hcp_amount,,,8549.0,25200.0,14768.0,4026.0,52543.0,janssen
hcp_count,,0.0,17.0,13.0,7.0,7.0,44.0,janssen
hco_amount,477262.0,162446.0,0.0,0.0,75397.0,,715105.0,janssen
hco_count,3.0,12.0,0.0,0.0,2.0,,17.0,janssen
rnd,,,,,,,1291864.0,janssen
hcp_amount,,,163.17,722.78,,,885.95,leo
hco_amount,,,,,,,,leo
hcp_count,,,1.0,2.0,,,2.0,leo
hco_count,,,,,,,,leo
rnd,,,,,,,,leo
hcp_amount,,,,,,,,lundbeck
hcp_count,,,,,,,,lundbeck
hco_amount,,,,,,,,lundbeck
hco_count,,,,,,,,lundbeck
rnd,1291864.0,,,,,,33390.25,lundbeck
hcp_amount,,2024.0,3171.7,5884.44,3500.0,,14580.14,meda
hco_amount,,158247.0,1217.35,2947.4,,,162411.75,meda
hcp_count,,,7.0,8.0,2.0,11.0,28.0,meda
hco_count,,19.0,2.0,2.0,,20.0,43.0,meda
rnd,,,,,,,0,meda
hcp_amount,,600.0,,30713.16,3222.0,,34535.16,menarini
hcp_count,,1.0,11.0,2.0,,,,menarini
hco_amount,103182.3,0.0,0.0,0.0,,,103182.3,menarini
hco_count,3.0,0.0,0.0,0.0,0.0,,0.0,menarini
rnd,0.0,,,,,,0.0,menarini
hcp_amount,,,0.0,0.0,8220.0,247.0,8467,mepha
hcp_count,,0.0,,,,,4,mepha
hco_amount,,1000.0,0.0,0.0,0.0,,1000,mepha
hco_count,,0.0,0.0,0.0,0.0,,1,mepha
rnd,,,,,,,0,mepha
hcp_amount,,,19231.85,58064.69,166292.99,,243589.53,merck
hco_amount,,,,,,,0.0,merck
hcp_count,,,52.0,63.0,64.0,115.0,294.0,merck
hco_count,,,,,,,0.0,merck
rnd,,,,,,,308176.92,merck
hcp_amount,,,12336.6,88376.33,192201.35,12167.87,324943.34,msd
hco_amount,64209.59,720819.03,36524.15,36951.63,63627.6,1800.0,1167506.72,msd
hcp_count,,,32.0,53.0,64.0,15.0,,msd
hco_count,2.0,58.0,7.0,9.0,18.0,1.0,,msd
rnd,,,,,,,3436188.36,msd
hcp_amount,,,,,,,,mundipharma
hcp_count,,,,,,,,mundipharma
hco_amount,,,,,,,,mundipharma
hco_count,,,,,,,,mundipharma
rnd,,,,,,,118000.0,mundipharma
hcp_amount,0,0,0,0,0,0,0,neurim
hcp_count,0,0,0,0,0,0,0,neurim
hco_amount,0,0,0,0,0,0,0,neurim
hco_count,0,0,0,0,0,0,0,neurim
rnd,0,0,0,0,0,0,0,neurim
hcp_amount,0,0,0,0,0,0,0,nordic
hcp_count,0,0,0,0,0,0,0,nordic
hco_amount,0,0,0,0,0,0,0,nordic
hco_count,0,0,0,0,0,0,0,nordic
rnd,0,0,0,0,0,0,0,nordic
hcp_amount,,,0.0,0.0,750.0,0.0,750.0,norgine
hco_amount,0.0,38285.0,0.0,0.0,0.0,0.0,38285.0,norgine
hcp_count,,,0.0,0.0,1.0,0.0,1.0,norgine
hco_count,0.0,10.0,0.0,0.0,0.0,0.0,10.0,norgine
rnd,,,,,,,87274.07,norgine
hcp_amount,,,,,14389.37,,14389.37,novartis
hcp_count,,,,,8.0,,8.0,novartis
hco_amount,,1000.0,,,,,1000.0,novartis
hco_count,,1.0,,,,,1.0,novartis
rnd,,,,,,,8141826.61,novartis
hcp_amount,,,6636.0,48970.0,52862.0,13375.0,121843.0,novo
hco_amount,300000.0,926.0,,,,,300926.0,novo
hcp_count,,,16.0,28.0,18.0,5.0,,novo
hco_count,1.0,1.0,,,,,,novo
rnd,,,,,,,424528.0,novo
hcp_amount,,,3695.29,,,,3695.29,orion
hcp_count,,0.0,4.0,,,,4.0,orion
hco_amount,0.0,0.0,0.0,0.0,0.0,,0.0,orion
hco_count,0.0,0.0,0.0,0.0,0.0,,0.0,orion
rnd,,,,,,,0.0,orion
hcp_amount,,,4509.38,3520.68,2624.65,458.86,11113.57,otsuka
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,otsuka
hcp_count,,,10.0,3.0,2.0,1.0,16.0,otsuka
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,otsuka
rnd,,,,,,,28362.67,otsuka
hcp_amount,0.0,1476.0,15567.0,77540.0,12342.0,,106925.0,pfizer
hco_amount,350477.0,646.0,761.0,30758.0,453.0,,478197.0,pfizer
hcp_count,0.0,4.0,10.0,26.0,18.0,,31.0,pfizer
hco_count,14.0,2.0,1.0,6.0,1.0,25.0,,pfizer
rnd,,,,,,,2506402.0,pfizer
hcp_amount,,,389.23,1710.07,6111.55,,8611.78,pierre
hco_amount,,14679.11,,,,,14679.11,pierre
hcp_count,,,1.0,2.0,2.0,3.0,,pierre
hco_count,,1.0,,,,1.0,,pierre
rnd,,,,,,,,pierre
hcp_amount,,,11454.39,21588.52,64707.0,3008.17,100758.08,roche
hco_amount,55507.61,1462.95,407.43,4814.15,5250.0,0.0,67442.14,roche
hcp_count,,,20.0,30.0,51.0,6.0,78.0,roche
hco_count,2.0,2.0,1.0,1.0,2.0,0.0,5.0,roche
rnd,,,,,,,9026015.28,roche
hcp_amount,,,,1042.64,10466.74,957.34,12466.72,sandoz
hco_amount,187500.0,42854.12,,,3055.56,,233409.68,sandoz
hcp_count,,,,2.0,9.0,2.0,,sandoz
hco_count,4.0,7.0,,,3.0,,,sandoz
rnd,,,,,,,7042.45,sandoz
hcp_amount,,,14943.32,39881.12,175477.74,48500.22,278802.4,sanofi
hco_amount,100000.0,463264.9,0.0,4947.3,164073.77,17657.04,749943.01,sanofi
hcp_count,,,,,,,,sanofi
hco_count,,,,,,,,sanofi
rnd,,,,,,,524006.59,sanofi
hcp_amount,,,2032.0,5674.0,21314.0,,29019,servier
hco_amount,170.0,292698.0,0.0,,35358.0,1765.0,329991,servier
hcp_count,,,5.0,12.0,12.0,,29,servier
hco_count,1.0,7.0,0.0,0.0,4.0,1.0,13,servier
rnd,,,,,,,15615,servier
hcp_amount,0,0,0,0,0,0,0,sfl
hcp_count,0,0,0,0,0,0,0,sfl
hco_amount,0,0,0,0,0,0,0,sfl
hco_count,0,0,0,0,0,0,0,sfl
rnd,0,0,0,0,0,0,0,sfl
hcp_amount,,,,2723.42,14547.45,1076.32,18347.19,shire
hco_amount,,15000.0,,,2700.0,,17700.0,shire
hcp_count,,,,3.0,9.0,2.0,,shire
hco_count,,1.0,,,1.0,,,shire
rnd,,,,,,,42135.13,shire
hcp_amount,,,443.0,1133.0,,,1533.0,stallergenes
hco_amount,,,,,,,,stallergenes
hcp_count,,,1.0,1.0,,,,stallergenes
hco_count,,,,,,,,stallergenes
rnd,,,,,,,,stallergenes
hcp_amount,,,,,12062.55,171.2,12233.75,takeda
hcp_count,,,,,7.0,2.0,7.0,takeda
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeda
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,takeda
rnd,,,,,,,409063.85,takeda
hcp_amount,,,,,4800.0,,4800,teva
hcp_count,,,,,,,5,teva
hco_amount,,2050.0,,,,,2050,teva
hco_count,,,,,,,2,teva
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0,teva
hcp_amount,,,4130.4,7164.35,681.09,681.09,18866.79,ucb
hcp_count,,,11.0,16.0,6.0,2.0,20.0,ucb
hco_amount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ucb
hco_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ucb
rnd,,,,,,,814225.39,ucb
hcp_amount,,,10109.39,26236.26,54119.54,27376.26,117841.45,vifor
hco_amount,,169292.78,,,,146.0,169439.08,vifor
hcp_count,,,25.0,29.0,31.0,4.0,52.0,vifor
hco_count,,21.0,,,,1.0,22.0,vifor
rnd,,,,,,,435959.71,vifor
rnd,0,0.0,0,0,0,0,0.0,zambon
hcp_amount,0,,3387,0,0,0,3387.0,zambon
hcp_count,0,0.0,69,0,0,0,69.0,zambon
hco_amount,0,1000.0,0,0,0,0,1000.0,zambon
hco_count,0,1.0,0,0,0,0,1.0,zambon
