name,address,location,parent
Spitalregion Fürstenland Toggenburg,Steig,Wattwil,10219
Spitalregion Fürstenland Toggenburg Spital Wattwil medizin,Steig,Wattwil,10219
Spitalregion Oberaargau AG (SRO AG),St. Urbanstrasse 67,Langenthal,10204
Spitäler Schaffhausen,"Departement Finanzen, Buchhaltung - Nordstrasse 111",Schaffhausen,9488
Spitäler Schaffhausen,Geissbergstrasse 81,Schaffhausen,9488
Spitäler Schaffhausen Psychiatriezentrum Breitenau,Nordstrasse 111,Schaffhausen,9488
St. Gallische Kantonale Psychiatrische Dienste,Zürcherstrasse 30,Wil,9887
Stiftung für Parkinsonforschung,c/o Universitätsklinik für Neurologie,Bern,10260
Swiss Fed. of Clin. Neuro-Soc. (SFCNS),Münsterberg 1,Basel,8508
Swiss Tumor Institute Pl. Zürich,Seestrasse 259,Zürich,10360
Swiss Tumor Institute Pl. Zürich,"Seestrasse 259, Zürich",Zürich,10360
"Swiss Tumor Institute, Platz Zürich",Seestrasse 259,Zürich,10360
"Swiss Tumor Institute, Platz Zürich c/o OnkoZentrum Zürich",Seestrasse 259,Zürich,10360
Südhang Kompetenzzentrum,Südhang 1,Kirchlindach,9526
Triemlispital,Birmensdorferstrasse 497,Zürich,10108
Trägerverein SOHC,Talackerstrasse 50,Zürich,10341
Trägerverein SOHC,Talackerstrasse 50 c/o Reichenbach Rechtsanwälte,Zürich,10341
Sohc,Talackerstrasse 50,Zürich,10341
UniSpital ZH Klinik für Viszeral- & Transplantationschirurgie,Rämistrasse 100,Zürich,8936
UniversitätsSpital Zürich - Kantonsapotheke Zürich,Südstrasse 3,Schlieren,8936
Universitätsklinik Balgrist,Forchstrasse 340,Zürich,9510
Universitätsklinik Balgrist,"Zürich, Forchstrasse 340",Zürich,9510
Université de Genève Centre Médical Universitaire CMU,Rue du Général-Dufour 24,Genève,8906
VGZ Verein Gastroenterologie Zürich,Seestrasse 60,Zürich,10455
VZAG - Sektion Gäu,Schwanenplatz 7,Luzern,10483
VZAG - Vereinigung Zentralschweizer Ärztegesellschaften des Kanton Luzern Sektion Gäu,Dr. med. Andreas Bohl Wilemattstrasse 10,Sursee,10483
VZAG - Vereinigung Zentralschweizer Ärztegesellschaften des Kanton Luzern,Wilemattstrasse 10,Sursee,10483
Verein Psychiatrie & Psychotherapie Pizol,Bartholoméplatz 3,Bad Ragaz,9747
Vereiningung Zürcher Internisten,Haldenrain 18,Zwillikon,8998
Waldhotel Health & Medical Excellence,Bürgerstock 30,Obbürgen,9617
Zürcher Gesellschaft für Intensivmedizin,Zürich,Zürich,10536
Zürcher Gesellschaft für Kardiologie,Obere Bahnhofstrasse 46,Rapperswil,9492
mmconsult volante GmbH,Römergasse 7,Basel,9661
pharmActuel Basel,Marignanostrasse 24,Basel,9792
Vereinigung Zürcher Internisten VZI,c/o energy of events- Lindenmatt 34,Rotkreuz,8998
ASI-ADOC Associazione della Svizzera Italiana per i disturbi d'Ansia,Viale San Salvatore 7,Lugano,8630
Association des Médecins de Famille Fribourg,Impasse du Petit-Crét 3,Farvagny,8650
Association par les Médecins pour les Médecins,Sentier de Beau-Site 2,Corsier-sur-Veve y,8650
Associazione Mendrisio Medical Meeting,"Minusio, Via Cadogno 1",Mendrisio,8687
Associazione ticinese di reumatologia,"c/o Mauro Lucini, via Zorzi 15a",Bellinzona,8691
BeBo Verlag & Training GmbH,Haldenstrasse 9,Maur,8717
CHUV - Centre d'investigation et de recherche sur le sommeil (CIRS),Rue du Bugnon 46,Lausanne,8822
CHUV - Centre du sein,Avenue Pierre-Decker 2,Lausanne,8822
CNP - Centre Neuchâtelois de Psychiatrie,Site de Préfargier,Boudry,8900
Centre Compétence Rhumatologie SA,Place Beaulieu 10,Corin-de-la-Crêt e,8814
Doxnet,Olympiaweg 1,Ortschwaben,8541
EPFL SV-ISREC,Station 19,Lausanne,9009
ETHZ Eidg.Tech.Hochschule,Rämistrasse 101,Zürich,9030
EULAR - Europäische Rheumaliga,Seestrasse 240,Kilchberg ZH,9033
FomF GmbH Forum für medizinische Fortbildung,Oberneuhofstrasse 6,Baar,9082
FomF - Forum für medizinische Fortbildung GmbH,Oberneuhofstrasse 6,Baar,9082
FomF GmbH Forum für medizinische Fortbildung,Oberneuhofstrasse 6,Baar,9082
Forum f. Fortbildung,Oberneuhofstrass e 6,Baar,9082
Forum für Medizinische Fortbildung,"Baar, Oberneuhofstrasse 6",Baar,9082
Forum für medizinische Fortbildung,Oberneuhofstrasse 6,Baar,9082
Forum für medizinische Fortbildung (FomF),Oberneuhofstrasse 6,Baar,9082
Forum für medizinische Fortbildung FomF GmbH,Oberneuhofstrasse 6,Baar,9082
Forum für medizinische Fortbildung GmbH (FomF),Oberneuhofstrasse 6,Baar,9082
Forum für medizinische Fortbildung FomF GmbH,Oberneuhofstrass e 6,Baar,9082
Fond. fribourgeoise p/la recherche et la formation sur le cancer,Hôpital cantonal,Fribourg,9083
Fondation fribourgeoise pour la recherche et la formation sur le cancer,"c/o Prof. Daniel Betticher, Chemin des Pensionnats 2",Fribourg,9083
Fondation fribourgeoise pour la recherche et la formation sur le cancer,Chemin des Pensionnats 2,Fribourg,9083
Fondation fribourgeoise pour la recherche et la formation sur le cancer,HFR Freiburg - Kantonsspital,Fribourg,9083
GPPV,Avenue De La Riviera,Montreux,9217
Groupe du Nord Vaudois S.V.M.,Ch. des Vergers 1,Concise,9236
Groupe du Nord Vaudois S.V.M. c/o Dr. Michael Hottinger,Chemin du Verger 1,Concise,9236
HAV Gersag,"c/o medkey AG, Schwanenplatz 7",Luzern,9298
Hausärztlicher Qualitätszirkel Oberthurgau-Ost,Schlossgasse 4,Arbon,9311
QZ Oberthurgau Ost,Stacherholzstr. 59,Arbon,9311
Hopitaux Universitaire De Geneve Secteur Facturation Aux Tiers,Chemin du Petit-Bel- Air 2,Chene-Bourg,8915
Hôpital du Jura Bernois S.A.,Rue Beausite 49,Moutier,9367
"Hôpital du Jura, Site de Saignelégier",Rue de l'Hôpital 11,Saignelégier,8666
Hôpital du Valais Hôpital de Sierre (CHVR),Rue St-Charles 14,Sierre,8853
Inselspital Universitätsspital Bern,Freiburgstrasse,Bern,8938
Universitätsspital,"Universitätsspital, Freiburgstrasse 18",Bern,8938
Universitätsspital Bern,Freiburgstrasse 8,Bern,8938
Institut für Hausarztmedizin & Comm,Schwanenplatz 7,Luzern,9399
Kantonspital Aarau Institut für Labormedizin,Tellstrasse,Aarau,8519
Kinderärzte- Vereinigung Zentralschweiz,c/o Dr. med. Doris Auf der Maur - Dätwylerstrasse 9,Altdorf,9504
Kinderärzte-Vereinigung Zentralschweiz,Dätwylerstrasse 9,Altdorf,9504
Kinderärzte Vereinigung Zentralschweiz,Flurweg 3,Finstersee,9504
Klinik für Gastroenterologie,Rämistrasse 100,Zürich,9799
Klinik für Geriatrie,Rämistrasse 100,Zürich,9799
Klinik für Infektionskrankheiten,Rämistrasse 100,Zürich,9799
Klinik für Nephrologie,Rämistrasse 100,Zürich,9799
Klinik für Kinder- und Jugendpsychiatrie und Psychotherapie,"Universität Zürich, Neumünsterallee 9",Zürich,9513
Klinik im Hasel AG,"Lenzburg, Niederlenzer Kirchweg 1",Lenzburg,9515
Luzerner Kantonspital Augenklinik,Spitalstrasse,Luzern,9480
Luzerner Ärztegesellschaft Sektion Gäu,Spitalstrasse 16a,Sursee,10483
Kantonale Ärztegesellschaft Sektion Gäu,"Sursee, Spitalstrasse 16a",Sursee,10483
Mednet Bern AG,"Lenzburg, Bahnhofstrasse 24",Lenzburg,9643
Novartis Pharma Schweiz AG,Suurstoffi 14,Rotkreuz,10008
Ordine dei Medici del Canton Ticino,"Stabile Qui, Via Cantonale 8",Mezzovico,9701
Ordine dei Medici del Canton Ticino,Via Cantonale 8,Mezzovico,9701
Ordine dei medici del Canton Ticino,Via Cantonale 8 - Stabile Qi,Mezzovico,9701
Ordine dei medici del Cantone Ticino,Via Cantonale,Mezzovico,9701
Ordine dei Medici del Cantone Ticino,Via Cantonale 8,Mezzovico,9701
Ordine del Medici del Canton Ticino,"Via Cantonale, Stabile QI",Mezzovico,9701
Ordine die Farmacisti del Cantone Ticino,Via Ceresio 43,Pregassona,9699
PonteNet AG,Im Zentrum 32,Urtenen-Schönbühl,9810
ProCrea,Via Clemente Maraini 8,Lugano,9876
Procrea,Via Clemente Maraini 8,Lugano,9876
ProCrea Swiss Infertility Center,Via Clemente Maraini 8,Lugano,9876
Procrea Centro Fertilità Lugano SA,Via Clemente Maraini 8,Lugano,9876
Procrea Centro Fertilità Svizzera Italiana SA c/o ProCrea Lab SA,Via Clemente Mariani 8,Lugano,9876
ProCrea Lab SA,Via Clemente Maraini 8,Lugano,9876
SGC/SSC Die Schweizer Chirurginnen und Chirurgen,"Luzern, Mühlemattstrasse 22",Luzern,10112
SVA - Schweizerischer Verband Medizinischer Praxis-Fachpersonen ZH/GL,"Bäretswil, Kirchstrasse 6a",Bäretswil,10299
SVA Sektion Solothurn,Bocksteinstrasse 12,Mühledorf SO,10304
Schweizerische Gesellschaft für Physikalische Medizin und Rehabilitation SGPMR,Sennweidstrasse 46,Steinhausen,10125
"Schweizerischer Verband Medizinischer Praxis-Fachpersonen SVA, St. Gallen",Appenzellerstrasse 6,Goldach,10026
"Schweizerischer Verband Medizinischer Praxis-Fachpersonen SVA, Thurgau",Bohlstrasse 25,Aadorf,10072
SVA Verwaltung,Morgenwies 4b,Oberuzwil,10015
Schweizerische Gynäkologische Chefärztekonferenz,Altenbergstrasse 29,Bern,10037
Schweizerische Interessensgruppe für Diabetesfachberatung SIDB,Moosweg 13,Uzwil,10045
"Schweizerischen Gesellschaft für Schlafforschung, Schlafmedizin und Chronobiologie",,,10064
Schweizerischer Verband Medizinischer Praxis-Fachpersonen SVA (Sektion Basel),Höhlebachweg 32,Muttenz,10302
Society for Ophthalmo-Immuno- Infectiology in Europe,Boulevard de la Cluse 67,Genève,10161
Société Neuchâteloise de Pédiatrie,Rue du Parc 9B,La Chaux-de-Fonds,8507
Société Suisse d'Endocrinologie et Diabétologie Pédiatriques,Rütistrasse 3a,Baden,10172
Spital Thurgau AG - Geschäftsstelle,"c/o Spital Thurgau AG, Haus Ermo, Waldeggstrasse 8a",Frauenfeld,9474
Spital Thurgau AG - Kantonsspital Münsterlingen,Waldeggstrasse 8a,Frauenfeld,9474
Spital Thurgau AG -Geschäftsstelle,Waldeggstrasse 8A,Frauenfeld,9474
Spital Thurgau AG Geschäftsstelle,Waldeggstrasse 8a,Frauenfeld,9474
Spital Thurgau AG STGAG,Spitalcampus 1,Münsterlingen,9474
Stiftung SONK St. Gallen,Rorschacherstrasse 150,St. Gallen,8509
Stiftung für Forschung in Parkinson und Bewegungsstörungen,"c/o Neurologische Praxis Luzern - Hirslanden Klinik St. Anna, Lützelmatt 3",Luzern,10255
Strategiekommission der Urologie Arena,vertreten durch Prof. Dr. med. Stephen Wyler,Basel,10287
Swiss VitreoRetinal Group (SVRG),"c/o ophta - u.novotny, Mittlere Mühlestrasse 3",Bottighofen,10362
TOPEC Global LLC,Bruder-Klausen-Weg 3,Sachseln,10392
Unilabs Lausanne,Rue de la Vigie 5,Lausanne,10406
Universitäts Spital Zürich,Rämistrasse 100,Zürich,9799
Université de Genève Centre Médical Universitaire CMU,Rue du Général-Dufour 24,Genève,8906
Université de Genève DSMPFMC,67 rue de Lausanne,Genève,8906
Verein PostADA/PostENDOCRINE,"c/o Prof. Peter Diem, Optingenstr. 44",Bern,10468
Vereinigung Allgem. & Spezialisierter Internist/innen Zürich,VZI Symposium - Haldenrain 18,Zwillikon,8998
Vereinigung Allgemeiner und Spezialisierter Internistinnen und Internisten Zürich,Haldenrain 18,Zwillikon,8998
Vereinigung Zürcher Internisten,Haldenrain 18,Zwillikon,8998
Vereinigung Zürcher Internisten (VZI),Zollikerstrasse 79,Zwillikon,8998
Vereinigung Zürcher Internisten VZI,c/o energy of events- Lindenmatt 34,Rotkreuz,8998
Zentralschweizer ORL-Kollegium,c/o Dr. med. Marcel Gärtner - Haldenstrasse 11,Glarus,10525
Ärztegesellschaft des Kantons Luzern,Schwanenplatz 7,Luzern,8534
Ärztegesellschaft Gäu,Schwanenplatz 7,Luzern,8534
Verein Gastroenterologie Zürich,Seestrasse 90,Zürich,10455
Verein Gastroenterologie Zürich (VGZ),Seestrasse 90,Zürich,10455
VZI- Vereinigung Allg. und Spez. Internisten Zürich,Birmensdorferstrasse 497,Zürich,8998
Vereinigung Zürcher Internisten,Birmensdorferstrasse 497,Zürich,8998
Vereinigung Zürcher Internisten,"Zwillikon, Haldenrain 18",Zürich,8998
SVA Sektion ZH/GL,Im Grund 11,Embrach,10299
SVA - Schweizerischer Verband Medizinischer Praxis-Fachpersonen SG/AR/AI,"Oberuzwil, Morgenwies 4b",Oberuzwil,10026
SGSH,Rorschacher Strasse 95,St. Gallen,8499
SGTP,Socinstrasse 57,Basel,8500
STPP,Via Campagnola 112,Coldrerio,10166
Stift für wiss. Forschung Triemli,Birmensdorferstr asse 497 Stadtspital Triemli,Zürich,10108
SAMMSU Swiss Association for the medical Management in Substance Users,c/o Dr. Alberto Moriggia,Lugano,9980
SAMMSU - Swiss Association for the Medical Management in Substance Users,c/o Dr. med. Alberto Moriggia Via Soldino 5,Lugano,9980
SGAC Schweizerische Gesellschaft Für Ästhetische Chirurgie (Sgac-Ssce),Kräyigenweg 83,Muri,10004
SGAC Schweizerische Gesellschaft für Ästhetische Chirurgie (Sgac-Ssce),Kräyigenweg 83,Muri,10004
"SGPGHE - Schweizerische Gesellschaft für Pädiatrische Gastroenterologie,Hepatologie und Ernährung",Claudiusstrasse 6,St. Gallen,10123
"SGPGHE Schweizerische Gesellschaft für Pädiatrische Gastro-, Hepatologie und Ernährung",Claudiusstrasse 6,St. Gallen,10123
PEMS Pediatrie Emergency Medicine of Switzerland,Steinwiesstrasse 75,Zürich,9771
PEMS,Steinwiesstrasse 75,Zürich,9771
"Stiftung für wissenschaftliche Forschung am Triemli Spital, Fonds Herzchirugie",Birmensdorfer Strasse 497,Zürich,10108
Stiftung für wissenschaftliche Forschung Triemli,Birmensdorferstrasse 497,Zürich,10108
Stiftung für wissenschaftliche Forschung Triemli,"Birmensdorferstrasse 497, Zürich",Zürich,10108
Stiftung für wissenschaftliche Forschung,Birmensdorferstrasse 497,Zürich,10108
European Society for Medical Oncology,Via Ginevra 4,Lugano,9021
European Society for Medical Oncology,Via Ginevra 4,Lugano,9021
European Society for Medical Oncology (ESMO),(ESMO) Via Ginevra 4,Lugano,9021
European Society for Medical Oncology (ESMO),Via Ginevra 4,Lugano,9021
CHUV - Chirurgie (DSCA),Rue du Bugnon 21,Lausanne,8822
CHUV - Chirurgie (DSCA),Rue du Bugnon 21,Lausanne,8822
CHUV - Départ. femme-mère-enfant DFME,"Champ de l'Air, Bugnong 21",Lausanne,8822
CHUV - Département d'oncologie,Rue du Bugnon 21,Lausanne,8822
CHUV - Département Psychiatrie,Rue du Bugnon 21,Lausanne,8822
"CHUV - Dépt. de médecine, Service de Cardiologie",Rue du Bugnon 46,Lausanne,8822
CHUV - DNC - Centre de la mémoire,Rue du Bugnon 21,Lausanne,8822
CHUV - Hôpital de Prangins - Secteur Psychiatrique Ouest,Rue du Bugnon 21,Lausanne,8822
CHUV - Inst. universitaire formation et recherche en soins - IUFRS,Rue du Bugnon 21,Lausanne,8822
CHUV - Néphrologie,Rue du Bugnon 21,Lausanne,8822
CHUV - Pneumologie,Rue du Bugnon 21,Lausanne,8822
CHUV - Service de Dermatologie,Avenue de Beaumont 29,Lausanne,8822
CHUV - Service de gastro-entérologie et d'hépatologie,rue du Bugnon 44,Lausanne,8822
CHUV - Service de gériatrie,ch. de Mont-paisible 16,Lausanne,8822
CHUV Lausanne,Rue de Bougnon 21,Lausanne,8822
CHUV Lausanne,Rue Du Bugnon 44,Lausanne,8822
CHUV Service d'immunologie et allergie,Rue du Bugnon 46,Lausanne,8822
"CHUV, Service de Neuropsychologie et Neuroréhabilitation",Av. Pierre Decker 5,Lausanne,8822
Chuv- Hospices Service De Neurologie,Rue du Bugnon,Lausanne,8822
COALAT / Anesthesiology CHUV,Rue Du Bugnon 46,Lausanne,8822
COALAT / Anesthesiology CHUV,Rue du Bugnon 46 BH10- 315/Serv.,Lausanne,8822
Département de Psychiatrie CHUV,Avenue d'Echallens 9,Lausanne,8822
Le CHUV,Rue du Bugnon 21,Lausanne,8822
Unité de Médecine de la reproduction du CHUV,Avenue Pierre-Decker 2,Lausanne,8822
EULAR - Europäische Rheumaliga,Seestrasse 240,Kilchberg,9033
EULAR - Europäische Rheumaliga,Seestrasse 240,Kilchberg,9033
Eular -Europäische Rheumaliga,Seestrasse 240,Kilchberg ZH,9033
