Association D'Esculape en Lavaux,,Cully Switzerland,Route de Lausanne 12,,,,2'000,2'000
"Association Romande Des Assistantes Medicales, ARAM",,St.-Legier Switzerland,Chemin du Lussy 18,,,,1'800,1'800
Beodocs Netzwerk,,Interlaken Switzerland,Rugenparkstrasse 7,,,,5'000,5'000
Centre Hôpital Universitaire Vaudois (CHUV),,Lausanne Switzerland,Rue du Bugnon 46,,,,4'860 2'000,6'860
Equipage-UTC,,Zénauva Switzerland,Ch. Des Botchets 24,,,,2'160,2'160
Faculté de Médecine de l'Université de Genève,,Genève Switzerland,Rue Willy-Donzé 6,,,,1'500,1'500
Fédération suisses des directrices et directeurs d'Hôpitaux (FSDH),,Fribourg Switzerland,-,,,,1'000,1'000
FentEvent GmbH,,Bronschhofen Switzerland,Eggwilstrasse 16b,,,,2'160,2'160
"Fondation pour le Progrès en Microbiologie Médicale et Maladies Infectieuses (FAMMID), Formation et Développment",,Lausanne Switzerland,Pont Bessières 3,,,,10'800,10'800
Gesundes Rheintal,,Oberriet Switzerland,Ballengasse 9,,,,3'000,3'000
Gruppo Medico Formazione,,Giubiasco Switzerland,Casella Postale 823,,,,3'300,3'300
GZO Spital Wetzikon,,Wetzikon Switzerland,Spitalstrasse 66,,,,2'000,2'000
Hausärzteverein Doccare,,Fehraltorf Switzerland,Im Baumgarten 1,,,,5'000,5'000
Hôpital de Morges,,Morges Switzerland,Chemin du Crêt 2,,,,2'160,2'160
"Hôpital du Jura, Site de Porrentruy",,Porrentruy Switzerland,Chemin de l'hôpital,,,,1'000,1'000
Hôpital du Valais CHCVS,,Sion Switzerland,Avenue du Grand-Champsec 86,,,,2'160,2'160
Hôpital Fribourgeois (HFR),,Fribourg Switzerland,Chemin des Pensionnats 2,,,,5'000,5'000
Hôpital Universitaire de Genève HUG,,Genève Switzerland,Rue Gabrielle-Perret-Gentil 4,,,,18'184 2'000,20'184
IFFM - Institut für Forschung und Fortbidlung in der Medizin GmbH,,Burgdorf Switzerland,Kirchbergstrasse 23,,,,1'600,1'600
Inselspital,,Bern Switzerland,Freiburgstrasse,,,,3'000 1'500,4'500
Journées Franco-Suisses de Pharmacie Hospitalière (JFSPH),,Lausanne Switzerland,Rue du Bugnon 21,,,,4'800,4'800
"Junge Hausärzte Schweiz, vertreten durch Medworld",,Steinhausen Switzerland,Sennweidstrasse 46,,,,3'456,3'456
Kantonsspital Baselland,,Laufen Switzerland,Lochburgstrasse 39,,,,1'000,1'000
Kantonsspital Baselland,,Liestal Switzerland,Mühlemattstrasse 26,,,,2'160,2'160
"Kantonsspital Baselland, vertreten durch Medworld AG",,Steinhausen Switzerland,Sennweidstrasse 46,,,,4'320,4'320
"Kantonsspital Frauenfeld, Spital Thurgau AG",,Frauenfeld Switzerland,Pfaffenholzstrasse 4,,,,1'080,1'080
Kantonsspital St. Gallen,,St. Gallen Switzerland,Rorschacherstrasse 95,,,,3'240,3'240
KMS KongressManagementSwiss,,Bern Switzerland,Postfach 2756,,,,2'165,2'165
"Kollegium für Hausarztmedizin, vertreten durch Medworld",,Steinhausen Switzerland,Sennweidstrasse 46,,,,2'138,2'138
Luzerner Kantonsspital,,Luzern Switzerland,Spitalstrasse,,,,1'620,1'620
Magendarmliga Schweiz,,Bern Switzerland,Postfach 7207,,,,3'000,3'000
Médecins de Familles Genève,,Genève Switzerland,22 Rue Beau Soleil,,,,4'000,4'000
Medical AdiNetwork GmbH,,Winterthur Switzerland,Lagerhausstrasse 9,,,,750,750
mmconsult volante GmbH,,Cham Switzerland,Riedstrasse 1,,,,14'580,14'580
MPA Uri,,Erstfeld Switzerland,-,,,,500,500
OdA Berufsbildung Medizinische Praxisassistentin,,Bern Switzerland,Monbijoustrasse 35,,,,3'000,3'000
PharmaSuisse,,Bern-Liebefeld Switzerland,Stationsstrasse 12,,,,5'400,5'400
PMSE SA Prévention e Maintien de la santé en entreprise,,Le Lignon Switzerland,Chemin de la Muraille 12,,,,3'078,3'078
Praxis Tulpenstrasse AG,,Kirchberg Switzerland,Tulpenstrasse 1,,,,1'500,1'500
Praxisklinik Binningen,,Binningen Switzerland,Hauptstrasse 11,,,,3'500,3'500
Qualitätszirkel Ärzte Niederamt,,Lostorf Switzerland,Stüsslingerstrasse,,,,1'200,1'200
Regiovital,,Biel Switzerland,Bözingerstrasse 162,,,,1'620,1'620
Reha Rheinfelden,,Rheinfelden Switzerland,Salinenstrasse 98,,,,1'500,1'500
REMED,,Genève Switzerland,Conseil Général 11,,,,2'000,2'000
Rotpunkt-Pharma,,Zürich Switzerland,Falkenstrasse 21,,,,5'000,5'000
Schweiz. Gesellschaft für Allgemine Innere Medzin (SGIM),,Basel Switzerland,Postfach,,,,3'175,3'175
Schweiz. Gesellschaft für Endokrinologie und Diabetologie (SGED),,Baden Switzerland,Rütistrasse 3a,,,,5'400,5'400
"Schweiz. Gesellschaft für Gynäkologie und Geburtshilfe (SGGG), vertreten durch BV Congress Creating BmbH",,Gossau Switzerland,Industriestrasse 37,,,,4'000,4'000
Schweiz. Hypertonie Gesellschaft / Société Suisse d'Hypertonsion Ssh,,Bern Switzerland,Dufourstrasse 30,,,,6'000,6'000
"Schweizerische Gesellschaft für Gastroenterologie SGG, vertreten durch gkaufmann",,Bern Switzerland,Wattenwylweg 21,,,,6'156,6'156
Schweizerische Pankreasstiftung,,Bern Switzerland,Schänzlihalde,,,,4'500,4'500
Schweizerischer Verband Medizinischer Praxis Assistentinnen SVA,,Bern Switzerland,Monbijoustrasse 35,,,,3'240,3'240
"Schweizerischer Verband Medizinischer Praxis Assistentinnen SVA, Sektion ZH/GL",,Winterthur Switzerland,Landvogt Waser Strasse 42,,,,1'500,1'500
Spital Limmattal,,Schlieren Switzerland,Urdorferstrasse 100,,,,1'700,1'700
Spitalverbund Appenzell Ausserrhoden,,Herisau Switzerland,Spitalstrasse 6,,,,1'080,1'080
Stiftung zur Förderung der Medzin im Engadin,,Scuol Switzerland,Bogn Engiadina,,,,7'500,7'500
SwissYoungPharmacists Group,,Bern-Liebefeld Switzerland,Stationsstrasse 12,,,,3'000,3'000
Universitäts-Kinderspital beider Basel (UKBB),,Basel Switzerland,Spitalstrasse 33,,,,1'000,1'000
Universitätsspital Zürich,,Zürich Switzerland,Rämistrasse 100,,,,4'320,4'320
"Verein Berner Haus- und Kinderärztinnen (VBHK), Berner Insititut für Hausarztmedizin (BIHAM), vertreten durch Medworld",,Steinhausen Switzerland,Sennweidstrasse 46,,,,7'020,7'020
Verein Gastroenterologie Zürich (VGZ),,Uster Switzerland,Poststrasse 2,,,,2'500,2'500
Verein Lunge Zürich,,Zürich Switzerland,Wilfriedstrasse 7,,,,12'528,12'528
Vereinigung Zürcher Internisten / vertreten durch energy of events,,Rotkreuz Switzerland,Lindenmatt 34,,,,4'104,4'104
Women's Health Watch Sàrl,,Lutry Switzerland,Avenue William 8,,,,3'000,3'000
"OTHER, NOT INCLUDED ABOVE - where information cannot be disclosed on an individual basis for legal reasons",,,,,,,,
Aggregate amount attributable to transfers of value to such Recipients,,- Art. 3.02,,,,,8000,
Number of Recipients in aggregate disclosure,,- Art. 3.02,,,,,2,
"% of the number of Recipients included in the aggreate disclosure in the total number of Recipients disclosed - Art. 3.02",,,,,,,2.6%,
"",,,AGGREGATE DISCLOSURE,,,,,
Transfers of Value re Research & Development as defined - Article 3.04 and Schedule 1,,,,,,,TOTAL AMOUNT,OPTIONAL
latest update: 11 December 2013 v1,,,,,,,170620_Offenlegung_2016_Mylan,
