name,location,address,type,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total
MediService AG,Zuchwil,Ausserfeldweg 1,hco,17100.0,0.0,0.0,0.0,1955715.21,0.0,1972815.21
ESO-European Stroke Organisation,Basel,Peter Merian-Strasse 80,hco,1122914.4500000002,692584.5700000001,0.0,0.0,104627.74,0.0,1920126.7600000002
Kantonsspital Luzern,Luzern,Spitalstrasse 31,hco,402191.39999999997,903614.4999999999,92943.59999999999,113185.63,334631.80999999994,13271.5,1859838.43
Kantonsspital Aarau AG,Aarau,Tellstrasse,hco,396938.16000000003,869843.92,58354.89,148313.8,218042.66999999998,18706.690000000002,1710201.1200000003
Forum für medizinische Fortbildung - FomF GmbH,Zug,Ahornstrasse 2,hco,108800.0,1424926.8,0.0,0.0,1300.0,0.0,1535026.8
SCQM Foundation Swiss Clinical Quality Management in Rheumatic Diseases,Zürich,Aargauerstrasse 250,hco,634492.0,632673.0,0.0,9450.0,241025.0,0.0,1517640.0
FOREUM Foundation for Research in Rheumatology,Kilchberg ZH,Seestrasse 240,hco,578935.72,815488.0,0.0,0.0,115419.3,0.0,1509843.02
Ecms Foundation,Zürich,Bleicherweg 45,hco,1502520.0,0.0,0.0,0.0,0.0,0.0,1502520.0
Rheuma Schweiz,Zürich,Aargauerstrasse 250,hco,158920.0,1279414.4,0.0,8910.0,30000.0,0.0,1477244.4
Ente Ospedaliero Cantonale,Bellinzona,Viale Officina 3,hco,454697.4,750182.19,45984.94,15667.0,143640.90000000002,2461.0,1412633.43
ETH Zürich,Zürich,Rämistrasse 101,hco,949114.08,516000.0,0.0,0.0,209035.56,0.0,1174149.6400000001
European Society of Gynaecological Oncology (ESGO),Genève,Rue Chantepoulet 1-3,hco,805243.47,357536.92,0.0,0.0,0.0,0.0,1162780.39
Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,Dalmazirain 11,hco,165400.0,915736.4,5450.0,3900.0,67510.0,0.0,1157996.4
Kinderspital Zürich,Zürich,Steinwiesstrasse 75,hco,752630.52,245869.08999999997,3053.49,21344.440000000002,66648.62,1788.04,1091334.2000000002
COR2ED,Bottmingen,Bodenackerstrasse 17,hco,33295.35,625236.41,0.0,0.0,418987.0,0.0,1077518.76
Stadtspital Triemli,Zürich,Birmensdorferstrasse 497,hco,154871.0,609619.6799999999,32476.760000000002,62741.48,186827.58000000002,18269.65,1064806.1500000001
World Heart Federation,Genève,Rue De Malatrex 30,hco,477296.26,572318.0700000001,0.0,0.0,0.0,269.93,1049884.26
Advisis AG,Bern,Effingerstrasse 55,hco,0.0,933600.4,0.0,0.0,0.0,0.0,933600.4
Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,Rütistrasse 3A,hco,286543.0,599597.79,0.0,5000.0,28777.24,0.0,919918.03
SAFE - ID Swiss Academic Foundation for Education in Infectious Diseases,Bern,Friedbühlstrasse 51,hco,495000.0,360000.0,0.0,0.0,0.0,0.0,855000.0
Kantonsspital Basel-Land,Liestal,Rheinstrasse 26,hco,333336.06999999995,189232.2,17878.42,50414.23,181175.0,6161.47,778196.4
SIOG - International Society Of Geriatric Oncology,Genève,1-5 Route Des Morillons,hco,320213.20999999996,386819.93,49336.520000000004,0.0,0.0,0.0,756369.6599999999
SGAIM - Schweizerische Gesellschaft für Allgemeine Innere Medizin,Bern,Monbijoustrasse 43,hco,100844.0,643335.3999999999,0.0,0.0,890.0,0.0,745069.3999999999
Kantonsspital Graubünden,Chur,Loëstrasse 170,hco,174084.14,254718.80000000002,30286.170000000002,91285.12000000001,137853.37,22423.01,710653.6100000002
ESDR - Dermatological Research,Genève,Rue Cingria 7,hco,188470.72,516266.4499999999,0.0,0.0,0.0,0.0,704737.1699999999
Schweizerische Gesellschaft für Rheumatologie,Zürich,Josefstrasse 92,hco,1500.0,693541.8,0.0,0.0,0.0,0.0,695041.8
Schweizerische Neurologische Gesellchaft,Basel,Münsterberg 1,hco,52900.0,615537.59,0.0,0.0,0.0,0.0,668437.59
Schweizerische Gesellschaft für Gastroenterologie,Bern,Wattenwylweg 21,hco,2160.0,561693.3,250.0,69500.0,0.0,0.0,633603.3
Schweizerische Gesellschaft für Kardiologie,Bern,Dufourstrasse 30,hco,21590.0,598278.8,8900.0,0.0,0.0,4590.0,633358.8
EADO European Asscociation of Dermato-Oncology,Zurich-Glattburg,Flughofstrasse 54,hco,24564.24,593458.73,0.0,0.0,0.0,0.0,618022.97
Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,Solothurnerstrasse 68,hco,131001.0,477376.0,0.0,0.0,194.0,0.0,608571.0
SAMO Swiss Academy of Multidisciplinary Oncology,Bern,Effingerstrasse 40,hco,52000.0,522633.10000000003,14500.0,0.0,0.0,0.0,589133.1
GSASA Schweizerischer Verein der Amts- und Spitalapotheker,Bern,GSASA,hco,80000.0,486633.16000000003,3000.0,7776.0,3600.0,3400.0,584409.16
CMPR - Collège de Médecine de Premier Recours,Fribourg,Rue de l'Hôpital 15,hco,8340.0,557830.3999999999,10140.0,7865.0,0.0,0.0,584175.3999999999
St. Gallen Oncology Conferences (SONK),St. Gallen,Rorschacher Strasse 150,hco,246033.4,298241.69,24717.94,0.0,3000.0,0.0,571993.03
Kantonsspital Winterthur,Winterthur,"Brauerstrasse 15, Postfach834",hco,81046.0,376414.31,11325.74,20386.630000000005,66882.42,2000.0,558055.09
Universität Bern,Bern,Hochschulstrasse 4,hco,295530.0,210418.2,0.0,0.0,14219.39,0.0,520167.58999999997
Swiss Tumor Institut,Zuerich,Seefeldstrasse 214,hco,32000.0,370800.0,77466.0,528.08,24493.0,87.75,505374.83
IBDnet,Zürich,Birmensdorferstrasse 497,hco,185000.0,300000.0,0.0,0.0,0.0,0.0,485000.0
Stiftung meineimpfungen,Gümligen,Mattenstrasse 9,hco,330000.0,126000.0,0.0,0.0,21000.0,0.0,477000.0
Verein Lunge Zürich,Zürich,Pfingstweidstrasse 10,hco,48000.0,413907.00000000006,6000.0,0.0,5000.0,0.0,472907.0
"Hopital du Valais, Hopital de Sion",Sion,Avenue du Grand-Champsec 80,hco,20944.0,346147.49,19657.239999999998,63648.43999999999,13049.0,2500.0,466026.1700000001
Quadrimed,Crans-Montana,. ATT. Mme Elvire Crettol,hco,20220.0,427600.36000000004,6820.0,0.0,800.0,0.0,455440.36000000004
Onkologiepflege Schweiz,Kleinandelfingen,Hirstigstrasse 13,hco,17590.0,408994.0,22625.0,0.0,0.0,0.0,449209.0
International Network on Hepatitis in Substance Users (INHSU),Zürich,Konradstrasse 32,hco,222572.99,203204.8,0.0,0.0,0.0,0.0,425777.79
Kenes International Organizers Of Congresses Ltd,Genève,Rue François-Versonnex 7,hco,28906.0,379379.31,0.0,0.0,0.0,0.0,408285.31
Schweizerische Gesellschaft der Vertrauens- und Versicherungsärzte,Winterthur,Industriestrasse 24,hco,53243.0,297043.7,400.0,0.0,51296.3,0.0,401983.0
European Academy Dermatology Venereology,Lugano,Via delle Scuole 12,hco,250239.0,150664.0,0.0,0.0,0.0,0.0,400903.0
European Dermatology Forum,Zürich,Gloriastrasse 31,hco,182505.11000000002,154784.91,0.0,55500.0,0.0,0.0,392790.01999999996
Schweizerische Gesellschaft für Pneumologie,Bern,Südbahnhofstrasse 14,hco,60051.0,307336.92,16500.0,0.0,0.0,0.0,383887.92
Schweizerische Gesellschaft für Allergologie und Immunologie SGAI,Bern,Scheibenstrasse 20,hco,16000.0,362409.6,0.0,0.0,3000.0,0.0,381409.6
Ecancer Medicalscience,Zürich,"Bleicherweg 45,C/O Lienhard Ag",hco,0.0,362846.18,0.0,0.0,0.0,0.0,362846.18
WSO World Stroke Organization,Genève,Rue François-versonnex 7,hco,361665.48,0.0,0.0,0.0,0.0,0.0,361665.48
HFR - Hôpital cantonal de Fribourg,Friboourg,Chemin des Pensionnats 2-6,hco,34176.92,234816.75,6778.12,16601.89,61210.0,2000.0,355583.68000000005
Schweizerische Multiple Sklerose Gesellschaft,Zürich,Josefstrasse 129,hco,135212.35,197950.0,263.26,1080.76,0.0,0.0,334506.37
Université de Genève Faculté de Médecine,Genève,Rue Michel-Servet 1,hco,233206.3,87860.15,0.0,0.0,11544.0,0.0,332720.44999999995
IMK c/o Swiss Federation of ClinicalNeuro-Societies (SFCNS),Basel,Münsterberg 1,hco,38000.0,290468.4,0.0,192.0,0.0,0.0,328660.4
Alzheimer Forum Schweiz,Basel,Burgfelderstrasse 101,hco,265900.0,20100.0,0.0,0.0,12850.0,0.0,298850.0
Die Herzgefässstiftung,Zürich,Seestrasse 220,hco,0.0,295000.0,0.0,0.0,0.0,0.0,295000.0
EFORT,Rolle,La Pièce 2,hco,0.0,279593.68,0.0,0.0,0.0,0.0,279593.68
Fondation GECOR,Genève,Rue Micheli-du-Crest 24,hco,5500.0,159550.0,0.0,1607.42,90850.0,11481.73,268989.15
Kantonsspital Frauenfeld,Frauenfeld,Pfaffenholzstrasse 4,hco,3000.0,159395.0,7120.62,15002.510000000002,79292.0,0.0,263810.13
World Health Organization (WHO),Genève,"20, Avenue Appia",hco,258985.84999999998,0.0,0.0,0.0,0.0,0.0,258985.84999999998
Medvis GmbH,Zofingen,Weissensteinstrasse 2,hco,0.0,256548.0,0.0,0.0,0.0,0.0,256548.0
Klinik Hirslanden,Zürich,Witellikerstrasse 40,hco,23360.0,107025.0,8470.380000000001,31296.71,84817.5,83.5,255054.08000000002
Schweizerische Gesellschaft für Gynäkologie und Geburtshilfe,Kreuzlingen,Bernrainstrasse 19,hco,0.0,254627.80000000002,0.0,0.0,0.0,0.0,254627.80000000002
Swiss HIV Cohort Research Foundation,Lausanne,c/o Fiduciaire Maillard SA,hco,252000.0,0.0,0.0,0.0,0.0,0.0,252000.0
Fondazione per la Ricerca e la Cura dei Linfomi nel Ticino,Bellinzona,Via Vincenzo Vela 6,hco,78600.0,170640.0,0.0,0.0,1750.0,0.0,250990.0
hawadoc,Winterthur,Garnmarkt 1,hco,0.0,198190.0,1460.0,1200.0,35750.0,0.0,236900.0
Schweizerische Ophthalmologische Gesellschaft SOG,St. Margrethen SG,Bahnhofplatz 12,hco,0.0,221800.0,0.0,0.0,14000.0,0.0,235800.0
Schweizerische Gesellschaft für Urologie - Société Suisse d'Urologie,Montreux,Avenue des Planches 15,hco,0.0,231950.2,0.0,0.0,0.0,0.0,231950.2
Swiss Young Pharmacists Group,Bern,Stationsstrasse 12,hco,3000.0,226100.0,0.0,0.0,0.0,0.0,229100.0
Strongbones GmbH,Büron,Galgerain 23,hco,0.0,0.0,966.29,2632.69,180356.37,42930.41,226885.76
Bürgerspital Basel,Basel,Friedrich Miescher-Strasse 30,hco,0.0,0.0,0.0,0.0,225988.9,0.0,225988.9
Fondazione Epatocentro Ticino,Lugano,Via Soldino 5,hco,20000.0,132780.0,66932.2,935.0,0.0,0.0,220647.2
SGH-SSH,Münsingen,Innerer Giessenweg 37,hco,6500.0,204122.7,0.0,0.0,7320.0,0.0,217942.7
AGLA Arbeitsgruppe Lipide und Atherosklerose,Steinhausen,Sennweidstrasse 46,hco,14480.0,188840.0,0.0,0.0,14040.0,0.0,217360.0
Arud Zentrum für Suchtmedizin,Zürich,Konradstrasse 32,hco,32500.0,150097.57,6730.44,8057.0,13491.61,668.53,211545.15
SGPP - Schweizerische Gesellschaft für Psychiatrie und Psychotherapie,Bern,Postfach 686,hco,0.0,209680.6,0.0,0.0,0.0,0.0,209680.6
Fragility Fracture Network (Ffn),Zürich,"C/O Mci Schweizag,Schaffhauserstr. 550",hco,34800.57,174197.63,0.0,0.0,0.0,0.0,208998.2
ETOP,Bern,Effingerstrasse 40,hco,29120.71,168858.14,0.0,1083.46,2000.0,0.0,201062.31
Schweizerisches Tropeninstitut,Basel,Socinstrasse 57,hco,69352.88,103057.23,0.0,0.0,26188.780000000002,2365.57,200964.46
Sgim-Ssmi,Basel,Solothurnerstrasse 68,hco,0.0,167194.40000000002,33400.0,0.0,0.0,0.0,200594.40000000002
SGN-SSN Schweizerische Gesellschaft für Nephrologie,Worb,Postfach 567,hco,0.0,199501.6,0.0,0.0,0.0,0.0,199501.6
ES MO Head office,Viganello-Lugano,Via Luigi Taddei 4,hco,195980.0,0.0,0.0,0.0,0.0,0.0,195980.0
Kantonspital Baden AG,Baden,Im Ergel 1,hco,22946.92,76458.65,24174.15,36016.259999999995,35819.4,500.0,195916.37999999998
Melanoma World Society,Steinhausen,Hinterbergstrasse 56,hco,109636.0,86053.0,0.0,0.0,0.0,0.0,195689.0
Swiss Federation of Clinical Neuro-Societies (SFCNS),Basel,Münsterberg 1,hco,3000.0,189430.0,0.0,0.0,0.0,0.0,192430.0
SGAR - SSAR Schweizerische Gesellschaft für Anästhesiologie undReanimation,Bern,Rabbentalstrasse 83,hco,67056.0,103132.0,0.0,0.0,0.0,20796.0,190984.0
HNHCP Haematology Nurses & Healthcare Professionals Group,Winterthur,Postfach 98,hco,80831.37,102600.0,0.0,0.0,7000.0,0.0,190431.37
ESRA European Society of Regional Anaesthesia,Genève,Rue Daubin 7,hco,43680.4,145550.8,0.0,0.0,0.0,0.0,189231.2
Die Schweizerische Ärztegesellschaft für Manuelle Medizin (SAMM),St. Gallen,Kolumbanstrasse 2,hco,18000.0,161283.2,0.0,0.0,0.0,0.0,179283.2
PEZZ Pädiatrisch-Endokrinologisches Zentrum Zürich AG,Zürich,Möhrlistrasse 69,hco,170048.0,0.0,0.0,0.0,7400.0,0.0,177448.0
ADR-AC GmbH,Bern,Holligenstrasse 91,hco,0.0,12320.0,0.0,0.0,158160.84,6316.68,176797.52
Congrex Switzerland Ltd,Basel,Peter Merian-Strasse 80,hco,0.0,175930.0,0.0,0.0,0.0,0.0,175930.0
Rheumaliga Schweiz,Zürich,Josefstrasse 92,hco,21150.0,152629.0,0.0,0.0,0.0,0.0,173779.0
Association contre le VIH et autres infections transmissibles,Basel,Spitalstrasse 12,hco,0.0,127200.0,0.0,0.0,46200.0,0.0,173400.0
Gruppo Medico Formazione,Giubiasco,Casella Postale 823,hco,16200.0,156600.0,0.0,0.0,0.0,0.0,172800.0
S. Grasso Consulting Swiss Tumor Board,Lindau,Fischeracherstrasse 17,hco,0.0,162508.0,0.0,0.0,7836.0,0.0,170344.0
Echo Kurs Luzern,Othmarsingen,Bahnhofstrasse 8,hco,0.0,166600.0,0.0,0.0,0.0,0.0,166600.0
Schweizerische Herzstiftung,Bern,Schwarztorstrasse 18,hco,20000.0,127800.0,10000.0,0.0,8800.0,0.0,166600.0
Schweizerische Gesellschaft für Reproduktionsmedizin,Worb,Postfach 754,hco,117300.0,46812.36,0.0,0.0,0.0,0.0,164112.36
European Confederation of Medical Mycology ECMM,Basel,Nauenstrasse 49,hco,64787.8,98252.16,0.0,0.0,0.0,0.0,163039.96000000002
Vereinigung Zürcher Internisten,Adliswil,Felsenhofstrasse 36,hco,11400.0,140776.001,3800.0,0.0,4104.0,0.0,160180.001
Fondation pour le progres en microbiologie medicale et maladies infectieuses / p.a. Fiducaire Maillard S.A.,Lausanne,Pont Charles Bessières 3,hco,0.0,158000.0,0.0,0.0,0.0,0.0,158000.0
SGI Schweizerische Gesellschaft für Intensivmedizin,Basel,"c/o IMK Institut für Medizin und Kommunikation AG, Münsterberg 1",hco,35000.0,86571.3,0.0,0.0,0.0,35000.0,156571.3
PizolCare AG,Mels,Flurstrasse 12,hco,15800.0,137816.0,0.0,0.0,2850.0,0.0,156526.0
AMIS Plus Stiftung,Zürich,Hirschengraben 84,hco,10000.0,144000.0,0.0,0.0,0.0,0.0,154000.0
HNE - Hopital Neuchatelois,Neuchâtel,Rue de la Maladière 45,hco,60996.92,29500.0,2025.12,4903.16,54653.0,130.2,152208.39999999997
Ärztekongress Arosa,Arosa,Postfach 68,hco,0.0,152131.00999999998,0.0,0.0,0.0,0.0,152131.00999999998
Repronatal Stiftung,Basel,Riedbergstrasse 12,hco,150000.0,0.0,0.0,0.0,2000.0,0.0,152000.0
"FOROME, Formation Romande en Oncology Medicale",Lausanne,Rue du Bugnong 28,hco,5000.0,141750.0,0.0,0.0,5000.0,0.0,151750.0
SGAD Schweizerische Gesellschaft für Angst und Depression,Zürich,Ringstrasse 70,hco,20000.0,125000.0,0.0,0.0,0.0,0.0,145000.0
Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMPS),Zürich,Stadelhoferstrasse 42,hco,105000.0,38800.0,0.0,0.0,0.0,0.0,143800.0
Spital Linth,Uznach,Gasterstrasse 25,hco,35000.0,28500.0,28962.0,49162.48,0.0,0.0,141624.48
Psychiatrische Universitätsklinik,Zürich,Lenggstrasse 31,hco,0.0,132324.85,368.5,1265.87,6900.0,378.0,141237.22
SAMMSU,Basel,Birsigstrasse 10 c/o Dr. med. Claude Scheidegger,hco,90000.0,50000.0,0.0,0.0,0.0,0.0,140000.0
Swiss Transplantation Society (STS),Cheseaux-sur-Lau sanne,c/o meeting.com Sàrl PO Box 100,hco,70000.0,68791.92,0.0,0.0,0.0,0.0,138791.91999999998
Sanacare AG,Winterthur,Zürcherstrasse 19,hco,15000.0,47953.1,0.0,0.0,75000.0,0.0,137953.1
EPFL - Ecole polytechnique fédérale de Lausanne PRES,Lausanne,CE 3 316 (Centre Est) Station 1,hco,118000.0,3864.5,0.0,0.0,3000.0,8031.82,132896.32
Kantonsspital Münsterlingen,Münsterlingen,Spitalcampus 1,hco,10040.0,38598.130000000005,12410.820000000002,30849.63,39018.33,1831.0,132747.89
Toppharm AG,Münchenstein,Grabenackerstrasse 15,hco,5400.0,122500.0,0.0,0.0,4800.0,0.0,132700.0
Stiftung Forschung Gastro/Hep.,Zürich,Rämistrasse 100,hco,5000.0,124500.0,0.0,0.0,1636.1,212.69,131348.79
Association COALAT,Lausanne,Rue du Bugnon,hco,2926.0,125000.0,0.0,0.0,1500.0,0.0,129426.0
Solothurner Spitäler AG,Solothurn,Schöngrünstrasse 36a,hco,4340.74,98929.48000000001,3276.67,8481.77,13420.0,0.0,128448.65
Médecins de Famille Genève,Genève,Rue du Conseil-Général 11,hco,6000.0,118450.0,2000.0,0.0,0.0,0.0,126450.0
Universitäre Psychiatrische Dienste,Bern,Bolligenstrasse 111,hco,39549.2,77687.19,536.03,1855.9,5912.0,0.0,125540.32
Strategiekommission der Urology Arena,Baden,Im Ergel 1,hco,0.0,125379.1,0.0,0.0,0.0,0.0,125379.1
Spital Schwyz,Schwyz,Waldeggstrasse 10,hco,8240.0,103031.1,3297.02,9068.99,500.0,0.0,124137.11000000002
Mekelleche GmbH,Luzern,Moostrasse 2,hco,0.0,0.0,0.0,0.0,122758.59,0.0,122758.59
Dr Ouwerkerk AG,Baar,Blegistrasse 5,hco,106754.0,70748.0,6000.0,0.0,0.0,0.0,122714.0
SGInf Schweizerische Gesellschaft für Infektiologie,Bern,Freiburgstrasse 18,hco,0.0,122290.0,0.0,0.0,0.0,0.0,122290.0
Fondation fribourgeoise pour la recherche et la formation sur le cancer,Bourguillon,Rue Max von Sachsen 4,hco,56000.0,64200.0,0.0,0.0,2000.0,0.0,122200.0
University Hospital Zurich Foundation,Zürich,Moussonstrasse 2,hco,120000.0,0.0,0.0,0.0,0.0,0.0,120000.0
Spital Wil,Wil SG,Fürstenlandstrasse 32,hco,3623.5,101339.85,5732.26,7080.709999999999,1450.0,0.0,119426.31999999999
Hareso - Hausärzte Region Solothurn AG Präsidentin: Dr. med. C. Rossi,Solothurn,Niklaus-Konrad-Str. 11,hco,0.0,85200.0,0.0,0.0,30600.0,0.0,116520.0
Policlinique Médicale Universitaire,Lausanne,Rue du Bugnon 44,hco,0.0,100368.15,717.0,698.0,11490.0,0.0,113273.15
RCC Net,Zürich,Bahnhofplatz 4,hco,10000.0,73000.0,0.0,0.0,30000.0,0.0,113000.0
Affidea Cimed,Fribourg,Rue de Romont 24,hco,0.0,92181.02,0.0,0.0,16673.57,0.0,108854.59
Réseau REMED,Genève,Rue du Conseil-Général 11,hco,6000.0,98000.0,2000.0,0.0,0.0,0.0,106000.0
BBS Congress GmbH,Bern,Rabbentalstr. 83,hco,0.0,105095.95,0.0,0.0,0.0,0.0,105095.95
Stiftung zur Förderung der Medizin im Engadin,Scuol,Bgon Engiadina,hco,0.0,105000.0,0.0,0.0,0.0,0.0,105000.0
Stiftung Tox Info Suisse,Zürich,Freiestrasse 16,hco,15000.0,0.0,0.0,0.0,76415.0,12950.0,104365.0
Kantonsspital Nidwalden,Stans,Ennetmooserstrasse 19,hco,5000.0,95060.13,427.0,431.0,2750.0,0.0,103668.13
SGSS Schweizerische Gesellschaft zum Studium des Schmerzes,Zürich,Aargauerstrasse 250,hco,40000.0,63350.0,0.0,0.0,0.0,0.0,103350.0
Fondation Asile des Aveugles,Lausanne,Avenue de France 15,hco,30000.0,58347.41,442.0,391.0,12800.0,0.0,101980.41
Schweizerische Epilepsie-Liga,Zürich,Seefeldstrasse 84,hco,0.0,100301.9,0.0,0.0,760.0,0.0,101061.9
ISPPD,Genève,Rue François-Versonnex 7,hco,0.0,100250.0,0.0,0.0,0.0,0.0,100250.0
European Health Care Foundation,Zürich,Räffelstrasse 26,hco,99031.0,0.0,0.0,0.0,0.0,0.0,99031.0
Pallas Kliniken AG,Olten,Louis Giroud-Strasse 20,hco,0.0,97600.0,442.0,375.0,0.0,0.0,98417.0
KHM,Steinhausen,Sennweidstrasse 46,hco,0.0,97797.8,0.0,0.0,0.0,0.0,97797.8
Clinique romande de réadaptation,Sion,Avenue Grand-Champsec 90,hco,0.0,93255.44999999998,2160.7,1264.0700000000002,800.0,0.0,97480.21999999999
Zurich Academy of Internal Medicine (ZAIM),Zürich,Grossmünsterplatz 8,hco,7540.0,86142.8,3540.0,0.0,0.0,0.0,97222.8
Schweizerische Gesellschaft für pulmonale Hypertonie,Basel,Münsterberg 1,hco,67530.09,28893.62,0.0,0.0,0.0,0.0,96423.70999999999
Felix Platter-Spital,Basel,Burgfelderstrasse 101,hco,10410.0,64600.0,3688.0,0.0,13085.0,4470.19,96253.19
pharmaSuisse,Liebefeld,Stationsstrasse 12,hco,0.0,96040.0,0.0,0.0,0.0,0.0,96040.0
Stiftung Prostatakrebsforschung,Aarau,Aarau,hco,6048.0,89900.0,0.0,0.0,0.0,0.0,95948.0
Mediscience GmbH,Küssnacht am Rigi,Bahnhofstrasse 17,hco,25000.0,70800.0,0.0,0.0,0.0,0.0,95800.0
LGID Foundation,Zürich,Tiefenhoefe 9,hco,33000.0,62278.0,0.0,0.0,0.0,0.0,95278.0
"Pro Medicus GmbH, Projekt ""in a nutshell""",Zürich,Bahnhofplatz 4,hco,95000.0,0.0,0.0,0.0,0.0,0.0,95000.0
Associazione Mendrisio Medical Meeting,Bedano,Via Belvedere 10,hco,8000.0,81200.0,0.0,3000.0,2000.0,0.0,94520.0
Fondation Pour Le Développement De La Médecine Interne En Europe,Genève,Rue Du Fhône 100,hco,0.0,94017.54000000001,0.0,0.0,0.0,0.0,94017.54000000001
Société Neuchâteloise de Médecine SNM,Couvet,Grand'rue 36bis,hco,2314.82,91300.0,0.0,0.0,0.0,0.0,93614.82
Society for Ophthalmo-Immunoinfectivology in Europe,Lausanne,Rue Charles-monnard 6,hco,0.0,92893.75,0.0,0.0,0.0,0.0,92893.75
Fondation étude Suisse de cohorte hépatite C,Genève,c/o Prof. Francesco Negro - HUG,hco,80000.0,0.0,0.0,0.0,10500.0,0.0,90500.0
SWISS EYE INSTITUTE AG,Rotkreuz,Luzernerstrasse 1,hco,0.0,3075.0,0.0,452.66,84935.56,1995.3400000000001,90458.56
Hôpital du Jura Bernois S.A.,St-Imier,Les Fontenayes 17,hco,12158.48,71900.0,253.0,2549.0,0.0,2500.0,89360.48
Hôpital La Chaux-de-Fonds,La Chaux-de-Fonds,Rue de Chasseral 20,hco,3000.0,66851.85,2157.83,5768.89,9550.0,0.0,87328.57
Kardiologische Gemeinschaftspraxis AG,Bern,Schänzlistrasse 33,hco,0.0,74000.0,11000.0,0.0,2200.0,0.0,87200.0
Schweiz. Vereinigung Morbus Bechterew,Zürich,Leutschenbachstrasse 45,hco,0.0,86000.0,0.0,0.0,0.0,0.0,86000.0
Schweizerisches Haemophilie Netzwerk,Zürich,Steinwiesstrasse 75,hco,80760.0,5000.0,0.0,0.0,0.0,0.0,85760.0
Kinderärzte Schweiz,Zürich,Badenerstrasse 21,hco,0.0,84660.0,0.0,0.0,600.0,0.0,85260.0
Société Vaudoise de Médecine,Lausanne,Chemin de Mornex 38,hco,12500.0,72740.0,0.0,0.0,0.0,0.0,85240.0
Osteoporoseplattform SGR,Zürich,Bellariastrasse 38,hco,30000.0,55093.0,0.0,0.0,0.0,0.0,85093.0
