name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,year,address_expand,location_expand,name_expand,group,main_address
UNIVERSITATSSPITAL ZURICH,Zürich,CH,RAMISTRASSE 100,,,,27450.43,,,,,27450.43,hco,sanofi,2016,ramistrasse 100,zuerich,universitatsspital zurich,1,
USZ Dermatologie,Zürich,CH,Rämistrasse 100,8091,,,1000.0,,,,,1000.0,hco,biotest,2017,raemistrasse 100,zuerich,usz dermatologie,1,
USZ Hämatologie,Zürich,CH,Rämistrasse 100,8091,,,10000.0,,,,,10000.0,hco,biotest,2017,raemistrasse 100,zuerich,usz hämatologie,1,
USZ Klinik für Gynäkologie,Zürich,CH,Frauenklinikstrasse 10,,,0.0,1250.0,0.0,0.0,0.0,0.0,1250.0,hco,allergan,2015,frauenklinikstrasse 10,zuerich,usz klinik für gynäkologie,1,
USZ Klinik für Neurologie,Zürich,CH,Frauenklinikstrasse 26,,,0.0,6000.0,0.0,0.0,0.0,0.0,6000.0,hco,allergan,2015,frauenklinikstrasse 26,zuerich,usz klinik für neurologie,1,
"USZ, Dermatologie",Zürich,CH,Gloriastrasse 31,8091,,,3000.0,,,,,3000.0,hco,allergan,2016,gloriastrasse 31,zuerich,"usz, dermatologie",1,
"USZ, Gynäkologie",Zürich,CH,Frauenklinikstrasse 26,8091,,,1000.0,,,,,1000.0,hco,allergan,2016,frauenklinikstrasse 26,zuerich,"usz, gynäkologie",1,
"USZ, Neurologie",Zürich,CH,Frauenklinikstrasse 26,8091,,,8000.0,,,,,8000.0,hco,allergan,2016,frauenklinikstrasse 26,zuerich,"usz, neurologie",1,
UZH Physiologisches Institut,Zürich,CH,Winterthurserstrasse 190,,,0.0,0.0,0.0,0.0,2312.38,0.0,2312.38,hco,otsuka,2016,winterthurserstrasse 190,zuerich,uzh physiologisches institut,1,
UZH Physiologisches Institut,Zürich,CH,Winterthurserstr asse 190,,,0.0,0.0,0.0,0.0,0.0,832.67,832.67,hco,otsuka,2015,winterthurserstr asse 190,zuerich,uzh physiologisches institut,1,
UniversItätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,,6500.0,,259.59,2296.0,,9055.59,hco,takeda,2016,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversItätsSpital Zürich - Klinik für Gastroenterologie und Hepatologie,Zürich,CH,Rämistrasse 100,,,,,,,200.0,,200.0,hco,takeda,2016,raemistrasse 100,zuerich,universitätsspital zürich - klinik für gastroenterologie und hepatologie,1,
UniversItätsSpital Zürich - Klinik für Viszeral- und Transplantationschirurgle,Zürich,CH,Rämistrasse 100,,,10000.0,,,,600.0,,10600.0,hco,takeda,2016,raemistrasse 100,zuerich,universitätsspital zürich - klinik für viszeral- und transplantationschirurgle,1,
Universität,Zürich,CH,Rämistrasse 100,,,44000.0,0.0,0.0,0.0,0.0,0.0,44000.0,hco,mundipharma,2015,raemistrasse 100,zuerich,universität,1,
Universität Zurich (UZH),Zürich,CH,Rämistrasse 71,,,40000.0,26210.0,,5325.15,,,71535.15,hco,gilead,2016,raemistrasse 71,zuerich,universität zurich (uzh),1,
Universität Zürich,Zürich,CH,Rämistrasse 71,,,53000.0,21000.0,0.0,0.0,18250.0,0.0,92250.0,hco,roche,2016,raemistrasse 71,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,,,,0.0,1080.0,0.0,0.0,0.0,0.0,1080.0,hco,eisai,2015,,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,,,,800.0,3000.0,,,,,3800.0,hco,zambon,2016,,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Finanzabteilung,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,servier,2015,finanzabteilung,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,zambon,2017,,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Rämistrasse 71,,,0.0,67200.0,0.0,0.0,0.0,0.0,67200.0,hco,biogen,2015,raemistrasse 71,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Ramistrasse 71,,,56000.0,85967.88,925.9,,75200.0,777.83,218871.61,hco,novartis,2016,ramistrasse 71,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Frauenklinikstrasse 10,,,,3000.0,,,,,3000.0,hco,ferring,2016,frauenklinikstrasse 10,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Rämistrasse 71,,,,5000.0,,,,,5000.0,hco,sandoz,2017,raemistrasse 71,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Rämistrasse 71,,,,14500.0,,,11200.0,,25700.0,hco,biogen,2017,raemistrasse 71,zuerich,universität zürich,1,1.0
Universität Zürich,ZÜRICH,CH,(no postal address),,,0.0,3499.2,0.0,0.0,0.0,0.0,3499.2,hco,glaxosmithkline,2016,no postal address,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Culmannstrasse 8,,,,3000.0,,,,,3000.0,hco,mepha,2016,culmannstrasse 8,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Hirschengraben 84,,,30000.0,0.0,0.0,0.0,0.0,0.0,30000.0,hco,astrazeneca,2017,hirschengraben 84,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Rämistrasse 71,,,,22680.0,,,,,22680.0,hco,lundbeck,2016,raemistrasse 71,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,"Universität Zürich, Klinik für Neurologie, Frauenklinikstrasse 26, bchweizgrtche-",,,0.0,4000.0,0.0,0.0,0.0,0.0,4000.0,hco,teva,2015,universitaet zuerich klinik fuer neurologie frauenklinikstrasse 26 bchweizgrtche,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Rämistrasse 71,,,,13320.0,,,,,13320.0,hco,lundbeck,2017,raemistrasse 71,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Winterthurerstrasse 190,,,78600.0,199814.96,11050.0,262.01,24993.49,0.0,314720.46,hco,novartis,2015,winterthurerstrasse 190,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Rämistrasse 71,,,85989.02,4000.0,0.0,0.0,13745.0,3281.26,107015.28,hco,novartis,2017,raemistrasse 71,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,"Klinik und Poliklinik für Onkologie, Rämistrasse",,,0.0,2500.0,0.0,0.0,0.0,0.0,2500.0,hco,teva,2015,klinik und poliklinik fuer onkologie raemistrasse,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Dermatologische Klinik (USZ),,,0.0,500.0,0.0,0.0,0.0,0.0,500.0,hco,menarini,2015,dermatologische klinik usz,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Gloriastrasse 25,,,5500.0,,,,,,5500.0,hco,actelion,2016,gloriastrasse 25,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Rämistrasse 71,,,,7027.78,,,,,7027.78,hco,biogen,2016,raemistrasse 71,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Frauenklinikstrasse 10,,,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,hco,ferring,2015,frauenklinikstrasse 10,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,(no postal address),,,25900.0,3240.0,0.0,0.0,0.0,0.0,29140.0,hco,glaxosmithkline,2017,no postal address,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Möhrlistrasse 23,,,,2000.0,,,,,2000.0,hco,sandoz,2016,moehrlistrasse 23,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,"Universität Zürich, Klinik für Neurologie, Frauenklinikstrasse 26",8091,,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,hco,teva,2015,universitaet zuerich klinik fuer neurologie frauenklinikstrasse 26,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,,,,51200.0,6541.71,0.0,0.0,0.0,0.0,57741.71,hco,glaxosmithkline,2015,,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,"Klinik Tur Reproduktions-Endokrinologie, Frauenklinikstrasse 10",8091,,,3000.0,,,,,3000.0,hco,teva,2016,klinik tur reproduktions-endokrinologie frauenklinikstrasse 10,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Rämistrasse 71,8006,,22000.0,16200.0,0.0,0.0,9550.0,0.0,47750.0,hco,roche,2017,raemistrasse 71,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Frauenklinikstrasse 10,,,10000.0,,,,,,10000.0,hco,ferring,2017,frauenklinikstrasse 10,zuerich,universität zürich,1,
Universität Zürich,ZÜRICH,CH,TIÈCHESTRASSE 99,,,,2000.0,,,,,2000.0,hco,sandoz,2017,tiechestrasse 99,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,"Universität Zürich, Zürcher Zentrum für interdisziplinäre Schlafforschung / ZIS, Frauenklinikstrasse 26",8091,,0.0,8000.0,0.0,0.0,0.0,0.0,8000.0,hco,teva,2015,universitaet zuerich zuercher zentrum fuer interdisziplinaere schlafforschung zis frauenklinikstrasse 26,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Institut für Sozial- und Präventivmedizin - AMIS Plus Data Center - Hirschengraben 84,,,,10000.0,,,,,10000.0,hco,servier,2016,institut fuer sozial und praeventivmedizin amis plus data center hirschengraben 84,zuerich,universität zürich,1,
Universität Zürich,Zürich,CH,Rämistrasse 71,8006,,0.0,18962.0,0.0,0.0,2750.0,0.0,21712.0,hco,roche,2015,raemistrasse 71,zuerich,universität zürich,1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,,23000.0,,,6550.0,,29550.0,hco,eli,2017,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,0.0,11000.0,0.0,0.0,0.0,0.0,11000.0,hco,almirall,2015,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,,11880.0,,,,,11880.0,hco,ucb,2016,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,,30000.0,,,,,30000.0,hco,eli,2016,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,8006,1065341032,0.0,11500.0,0.0,0.0,0.0,0.0,11500.0,hco,bayer,2017,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,53000.0,42000.0,0.0,0.0,0.0,0.0,95000.0,hco,abbvie,2015,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,0.0,6500.0,0.0,0.0,0.0,0.0,6500.0,hco,janssen,2016,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,70000.0,3000.0,,,,,73000.0,hco,takeda,2016,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 7,,,10850.0,12500.0,0.0,0.0,0.0,0.0,23350.0,hco,actelion,2015,raemistrasse 7,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Winterthurerstrasse 190,,,0.0,23249.0,0.0,0.0,0.0,0.0,23249.0,hco,celgene,2015,winterthurerstrasse 190,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,32000.0,44537.0,,,9450.0,37.0,86024.0,hco,abbvie,2016,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,0.0,7000.0,0.0,0.0,0.0,0.0,7000.0,hco,otsuka,2016,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,0.0,27540.0,0.0,0.0,1500.0,0.0,29040.0,hco,pfizer,2015,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Winterthurerstrasse 30,,WCHH09511235,,1500.0,,,,,1500.0,hco,celgene,2017,winterthurerstrasse 30,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,52000.0,500.0,,,,,52500.0,hco,actelion,2017,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,53000.0,38500.0,,,7700.0,,99200.0,hco,abbvie,2017,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,0.0,0.0,0.0,206.75,1456.0,0.0,1662.75,hco,otsuka,2015,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,,5240.0,,,1512.0,,6752.0,hco,pfizer,2016,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 100,,,,,,,10800.0,,10800.0,hco,vifor,2017,raemistrasse 100,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,18000.0,29700.0,0.0,0.0,1400.0,0.0,49100.0,hco,janssen,2017,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,24000.0,13900.0,350.0,,20010.0,,58260.0,hco,gilead,2017,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,"Rämistrasse 71, Zürich",,,25000.0,8666.0,0.0,0.0,650.0,0.0,34316.0,hco,janssen,2015,raemistrasse 71 zuerich,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,0.0,72600.0,0.0,0.0,2800.0,0.0,75400.0,hco,amgen,2015,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,0.0,0.0,0.0,0.0,2000.0,0.0,2000.0,hco,pfizer,2017,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (UZH),Zürich,CH,Rämistrasse 71,,,,5400.0,,,,,5400.0,hco,ucb,2017,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (Uzh),Zürich,CH,Rämistrasse 71,,,,18000.0,,,,,18000.0,hco,amgen,2016,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich (Uzh),Zürich,CH,Rämistrasse 71,,,,,,,2000.0,,2000.0,hco,amgen,2017,raemistrasse 71,zuerich,universität zürich (uzh),1,
Universität Zürich - Rheumaklinik,Zürich,CH,Gloriastr. 25,,,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,hco,genzyme,2015,gloriastraat 25,zuerich,universität zürich - rheumaklinik,1,
Universität Zürich - Rheumaklinik,Zürich,CH,Gloriastr. 25,,,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,hco,sanofi,2015,gloriastraat 25,zuerich,universität zürich - rheumaklinik,1,
Universität Zürich / USZ Neurologie,Zürich,CH,Frauenklinikstr. 26,,,75000.0,0.0,0.0,0.0,0.0,0.0,75000.0,hco,merck,2015,frauenklinikstrasse 26,zuerich,universität zürich / usz neurologie,1,
Universität Zürich Klinik für Neurologie,Zürich,CH,Frauenklinikstrasse,,,,540.0,,,,,540.0,hco,eisai,2016,frauenklinikstrasse,zuerich,universität zürich klinik für neurologie,1,
Universität Zürich Neurologie,Zürich,CH,Frauenklinikstrasse 26,,,0.0,500.0,0.0,0.0,0.0,0.0,500.0,hco,biotest,2015,frauenklinikstrasse 26,zuerich,universität zürich neurologie,1,
Universität Zürich Transplantationszentrum,Zürich,CH,Rämistrasse 10,,,0.0,5000.0,0.0,0.0,0.0,0.0,5000.0,hco,biotest,2015,raemistrasse 10,zuerich,universität zürich transplantationszentrum,1,
"Universität Zürich UZH, Institute of Physiology",Zürich,CH,Winterthurerstr. 190,,,,2240.0,,,,,2240.0,hco,vifor,2017,winterthurerstrasse 190,zuerich,"universität zürich uzh, institute of physiology",1,
Universität Zürich Viszeral- u. Transplantationschirurgie,Zürich,CH,Rämistrasse 100,,,,3000.0,,,,,3000.0,hco,biotest,2016,raemistrasse 100,zuerich,universität zürich viszeral- u. transplantationschirurgie,1,
"Universität Zürich, Institut für Epidemiologie, Biostatistik, Prävention AMIS Plus Data Center",Zürich,CH,Hirschengraben 84,,,5000.0,0.0,0.0,0.0,0.0,0.0,5000.0,hco,menarini,2015,hirschengraben 84,zuerich,"universität zürich, institut für epidemiologie, biostatistik, prävention amis plus data center",1,
"Universität Zürich, Klinik für Neurologie",Zürich,CH,Frauenklinikstrasse 26,8091,,,4000.0,,,,,4000.0,hco,teva,2016,frauenklinikstrasse 26,zuerich,"universität zürich, klinik für neurologie",1,
"Universität Zürich, Klinik für Neurologie",Zürich,CH,Frauenklinikstrasse 26,8091,,,4000.0,,,,,4000.0,hco,teva,2016,frauenklinikstrasse 26,zuerich,"universität zürich, klinik für neurologie",1,
"Universität Zürich, Klinik für Neurologie",Zürich,CH,Frauenklinikstrasse 26,,,,4000.0,,,,,4000.0,hco,teva,2017,frauenklinikstrasse 26,zuerich,"universität zürich, klinik für neurologie",1,
"Universität Zürich, Klinik für Neurologie",Zürich,CH,Frauenklinikstrasse 26,,,,2000.0,,,,,2000.0,hco,teva,2017,frauenklinikstrasse 26,zuerich,"universität zürich, klinik für neurologie",1,
"Universität Zürich, Klinik für Neurologie",Zürich,CH,Frauenklinikstrasse 26,8091,,,2000.0,,,,,2000.0,hco,teva,2016,frauenklinikstrasse 26,zuerich,"universität zürich, klinik für neurologie",1,
"Universität Zürich, Klinik für Neurologie",Zürich,CH,Frauenklinikstrasse 26,,,,4000.0,,,,,4000.0,hco,teva,2017,frauenklinikstrasse 26,zuerich,"universität zürich, klinik für neurologie",1,
"Universität Zürich, Klinik für Neurologie",Zürich,CH,Frauenklinikstrasse 26,8091,,,4000.0,,,,,4000.0,hco,teva,2016,frauenklinikstrasse 26,zuerich,"universität zürich, klinik für neurologie",1,
"Universität Zürich, Klinik für Neurologie",Zürich,CH,Frauenklinikstrasse 26,8091,,,4000.0,,,,,4000.0,hco,teva,2016,frauenklinikstrasse 26,zuerich,"universität zürich, klinik für neurologie",1,
"Universität Zürich, Physiologisches Institut",Zürich,CH,Winterthurerstrasse 190,,,,,,205.58,1950.0,,2155.58,hco,shire,2016,winterthurerstrasse 190,zuerich,"universität zürich, physiologisches institut",1,
Universitäts-Spital Zürich Dermatologie,Zürich,CH,Rämistrasse 100,,,,3500.0,,,,,3500.0,hco,biotest,2016,raemistrasse 100,zuerich,universitäts-spital zürich dermatologie,1,
UniversitätsSpit al Zürich,Zürich,CH,Rämistr. 100,,,,27885.5,,1509.97,,,29395.47,hco,merck,2017,raemistrasse 100,zuerich,universitätsspit al zürich,1,
UniversitätsSpit al Zürich,Zürich,CH,Rämistrasse 100,,,,12960.0,,,,,12960.0,hco,ucb,2017,raemistrasse 100,zuerich,universitätsspit al zürich,1,
UniversitätsSpit al Zürich,Zürich,CH,Gloriastrasse 31,,,,3163.3,,,,,3163.3,hco,merck,2017,gloriastrasse 31,zuerich,universitätsspit al zürich,1,
UniversitätsSpit al Zürich,Zürich,CH,Rämistrasse 100,,,,12960.0,,,,,12960.0,hco,ucb,2016,raemistrasse 100,zuerich,universitätsspit al zürich,1,
UniversitätsSpit al Zürich,Zürich,CH,Rämistrasse 100,,,13000.0,13620.0,13917.0,27184.0,13025.0,264.0,81011.0,hco,gilead,2017,raemistrasse 100,zuerich,universitätsspit al zürich,1,
UniversitätsSpit al Zürich,Zürich,CH,Rämistrasse 100,,7601002117135,,1390.0,1866.6,173.35,,,3429.95,hco,pierre,2017,raemistrasse 100,zuerich,universitätsspit al zürich,1,
UniversitätsSpital Zurich,Zürich,CH,Rämistrasse 100,8091,,0.0,5320.0,0.0,0.0,0.0,0.0,5320.0,hco,takeda,2017,raemistrasse 100,zuerich,universitätsspital zurich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,WCHH09507515,,33282.41,,,1625.0,,34907.41,hco,celgene,2017,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,,500.0,,,,,500.0,hco,bgp,2017,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,,28069.84,10480.0,2279.3,3000.0,,43829.14,hco,gilead,2016,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,22000.0,6852.0,,,5250.0,,34102.0,hco,novo,2017,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,7080.0,22980.0,,,,0.0,30060.0,hco,pfizer,2016,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,,2500.0,,,6500.0,,9000.0,hco,novo,2016,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,8091,,,8410.0,,,,,8410.0,hco,leo,2017,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,8091,40524010,0.0,217750.0,0.0,0.0,0.0,0.0,217750.0,hco,bayer,2017,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,,2500.0,,,,,2500.0,hco,zambon,2016,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,"Klinik für Onkologie, Rämistrasse 100",8091,,,2500.0,,,,,2500.0,hco,teva,2016,klinik fuer onkologie raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,3000.0,24200.0,,,4568.0,138.0,31906.0,hco,abbvie,2017,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,,5500.0,,,,,5500.0,hco,daiichi,2016,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,65000.0,16812.78,,2130.2,3000.0,,86942.98,hco,shire,2017,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,32000.0,26595.0,558.0,1831.0,1250.0,202.0,62436.0,hco,abbvie,2016,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,10000.0,64000.0,0.0,0.0,0.0,0.0,74000.0,hco,janssen,2016,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,0.0,38000.0,0.0,0.0,1100.0,0.0,39100.0,hco,janssen,2017,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Universitätspital Zürich Rämistrasse 100,,,,27840.0,6327.2,22003.25,3351.85,,59522.3,hco,msd,2016,universitaetspital zuerich raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,5000.0,35279.0,0.0,0.0,3364.0,0.0,43643.0,hco,pfizer,2017,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Winterthurerstrasse 190,,,18500.0,,7500.0,,,,26000.0,hco,celgene,2016,winterthurerstrasse 190,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich,Zürich,CH,Rämistrasse 100,,,200.0,3000.0,0.0,0.0,0.0,0.0,3200.0,hco,zambon,2017,raemistrasse 100,zuerich,universitätsspital zürich,1,
UniversitätsSpital Zürich (6. Gynäkologie Update 2015),Zürich,CH,Frauenklinikstrasse 10,,,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,zambon,2015,frauenklinikstrasse 10,zuerich,universitätsspital zürich (6. gynäkologie update 2015),1,
"UniversitätsSpital Zürich (USZ), Institut für Anästhesiologie",Zürich,CH,Rämistrasse 100,,,,,,,2000.0,,2000.0,hco,vifor,2017,raemistrasse 100,zuerich,"universitätsspital zürich (usz), institut für anästhesiologie",1,
"UniversitätsSpital Zürich (USZ), Klinik für Gastroenterologie und Hepatologie",Zürich,CH,Rämistrasse 100,,,,2160.0,,,,,2160.0,hco,vifor,2017,raemistrasse 100,zuerich,"universitätsspital zürich (usz), klinik für gastroenterologie und hepatologie",1,
"UniversitätsSpital Zürich (USZ), Klinik und Poliklinik für Innere Medizin",Zürich,CH,Rämistrasse 100,,,,13500.0,,,,,13500.0,hco,vifor,2017,raemistrasse 100,zuerich,"universitätsspital zürich (usz), klinik und poliklinik für innere medizin",1,
UniversitätsSpital Zürich - Dermatologische Klinik,Zürich,CH,Gloriastrasse 31,,,,3000.0,,,,,3000.0,hco,takeda,2016,gloriastrasse 31,zuerich,universitätsspital zürich - dermatologische klinik,1,
UniversitätsSpital Zürich - Dermatologische Klinik,Zürich,CH,Gloriastrasse 31,,,,16000.0,,,,,16000.0,hco,eli,2017,gloriastrasse 31,zuerich,universitätsspital zürich - dermatologische klinik,1,
