year,type,label,count,amount,percent,source
2016,hco,donations_grants,6,358923.0,50.0,bristol
2016,hco,sponsorship,33,396281.0,30.0,bristol
2016,hco,registration_fees,0,,,bristol
2016,hco,travel_accommodation,0,,,bristol
2016,hco,fees,12,45720.0,43.0,bristol
2016,hco,related_expenses,2,469.0,40.0,bristol
2016,hcp,registration_fees,13.0,8685.51,9.0,celgene
2016,hcp,travel_accommodation,16.0,11214.11,11.0,celgene
2016,hcp,fees,13.0,17203.04,11.0,celgene
2016,hcp,related_expenses,3.0,318.39,30.0,celgene
2016,hco,donations_grants,,,,celgene
2016,hco,sponsorship,,,,celgene
2016,hco,registration_fees,,,,celgene
2016,hco,travel_accommodation,,,,celgene
2016,hco,fees,,,,celgene
2016,hcp,registration_fees,1,472.33,2.5,csl
2016,hcp,fees,1,3131.9,2.5,csl
2016,hcp,related_expenses,1,1436.04,2.5,csl
2016,hco,sponsorship,1,20000.0,1.67,csl
2016,hcp,registration_fees,30,1297,16.0,daiichi
2016,hcp,travel_accomodation,19,3203,21.0,daiichi
2016,hcp,fees,86,47650,46.0,daiichi
2016,hcp,related_expenses,5,460,25.0,daiichi
2016,hco,sponsorship,71,27300,6.0,daiichi
2016,hco,related_expenses,11,1200,,daiichi
2016,hcp,registration_fees,,,,eisai
2016,hcp,travel_accomodation,,,,eisai
2016,hcp,fees,3.0,2387.66,27.27,eisai
2016,hcp,related_expenses,,,,eisai
2016,hco,donations_grants,,,,eisai
2016,hco,sponsorship,,,,eisai
2016,hco,registration_fees,,,,eisai
2016,hco,travel_accomodation,,,,eisai
2016,hco,fees,,,,eisai
2016,hco,related_expenses,,,,eisai
2016,hcp,registration_fees,9.0,2731.0,32.0,eli
2016,hcp,travel_accommodation,9.0,6865.0,43.0,eli
2016,hcp,fees,46.0,99960.0,34.0,eli
2016,hcp,related_expenses,19.0,20204.0,51.0,eli
2016,hco,donations_grants,,,,eli
2016,hco,sponsorship,18.0,53454.0,11.0,eli
2016,hco,registration_fees,,,,eli
2016,hco,travel_accommodation,1.0,153.0,33.0,eli
2016,hco,fees,10.0,14340.0,50.0,eli
2016,hco,related_expenses,,,,eli
2016,hcp,registration_fees,,,,ferring
2016,hcp,travel_accommodation,1.0,893.0,4.0,ferring
2016,hcp,fees,1.0,2140.0,10.0,ferring
2016,hcp,related_expenses,,,,ferring
2016,hcp,sponsorship,1.0,3000.0,50.0,ferring
2016,hco,donations_grants,,,,ferring
2016,hco,sponsorship,1.0,4780.0,4.0,ferring
2016,hco,registration_fees,,,,ferring
2016,hco,travel_accommodation,,,,ferring
2016,hco,fees,,,,ferring
2016,hco,related_expenses,,,,ferring
2016,hcp,registration_fees,7.0,3335.67,27.0,future
2016,hcp,travel_accommodation,12.0,8617.11,24.0,future
2016,hcp,fees,3.0,6638.24,60.0,future
2016,hcp,related_expenses,2.0,1201.0,50.0,future
2016,hco,donations_grants,,,,future
2016,hco,sponsorship,1.0,1820.0,33.0,future
2016,hco,registration_fees,,,,future
2016,hco,travel_accommodation,,,,future
2016,hco,fees,1.0,13500.0,100.0,future
2016,hcp,registration_fees,,,,galderma
2016,hcp,travel_accommodation,6.0,7227.7,14.29,galderma
2016,hcp,fees,7.0,20120.8,28.0,galderma
2016,hcp,related_expenses,,,,galderma
2016,hco,donations_grants,,,,galderma
2016,hco,sponsorship,3.0,8400.0,37.5,galderma
2016,hco,registration_fees,,,,galderma
2016,hco,travel_accommodation,,,,galderma
2016,hco,fees,1.0,35000.0,4.55,galderma
2016,hcp,registration_fees,2,1107.52,1.69,gilead
2016,hcp,travel_accomodation,2,7331.4,1.45,gilead
2016,hcp,fees,1,1750.0,1.69,gilead
2016,hcp,registration_fees,,,,glaxosmithkline
2016,hcp,travel_accomodation,,,,glaxosmithkline
2016,hcp,fees,,,,glaxosmithkline
2016,hcp,related_expenses,,,,glaxosmithkline
2016,hco,donations_grants,,,,glaxosmithkline
2016,hco,sponsorship,,,,glaxosmithkline
2016,hco,registration_fees,,,,glaxosmithkline
2016,hco,travel_accomodation,,,,glaxosmithkline
2016,hco,fees,,,,glaxosmithkline
2016,hco,related_expenses,,,,glaxosmithkline
2016,hcp,registration_fees,24.0,2516.65,37.34,gruenenthal
2016,hcp,travel_accommodation,23.0,4363.7,33.12,gruenenthal
2016,hcp,fees,1.0,1500.0,7.99,gruenenthal
2016,hcp,related_expenses,1.0,500.0,23.04,gruenenthal
2016,hco,donations_grants,,,,gruenenthal
2016,hco,sponsorship,,,,gruenenthal
2016,hco,registration_fees,,,,gruenenthal
2016,hco,travel_accommodation,,,,gruenenthal
2016,hco,fees,,,,gruenenthal
2016,hco,related_expenses,,,,gruenenthal
2016,hcp,registration_fees,,,,hra
2016,hcp,travel_accommodation,,,,hra
2016,hcp,fees,,,,hra
2016,hcp,related_expenses,1.0,23.0,100.0,hra
2016,hco,donations_grants,,,,hra
2016,hco,sponsorship,1.0,7500.0,,hra
2016,hco,registration_fees,,,,hra
2016,hco,travel_accommodation,,,,hra
2016,hco,fees,,,,hra
2016,hco,related_expenses,,,,hra
2016,hcp,registration_fees,35.0,16265.0,89.74,janssen
2016,hcp,travel_accommodation,36.0,36248.0,83.72,janssen
2016,hcp,fees,57.0,103691.0,80.28,janssen
2016,hcp,related_expenses,31.0,9437.0,79.49,janssen
2016,hco,donations_grants,4.0,499807.0,14.29,janssen
2016,hco,sponsorship,35.0,264329.0,34.31,janssen
2016,hco,registration_fees,,,,janssen
2016,hco,travel_accommodation,,,,janssen
2016,hco,fees,6.0,14496.0,28.57,janssen
2016,hcp,registration_fees,,,,leo
2016,hcp,travel_accommodation,,,,leo
2016,hcp,fees,2.0,2250.0,8.33,leo
2016,hcp,related_expenses,,,,leo
2016,hco,donations_grants,,,,leo
2016,hco,sponsorship,,,,leo
2016,hco,registration_fees,,,,leo
2016,hco,travel_accommodation,,,,leo
2016,hco,fees,,,,leo
2016,hcp,registration_fees,1,161.35,0.65,lundbeck
2016,hcp,travel_accommodation,1,680.85,1.11,lundbeck
2016,hcp,fees,1,500.0,0.44,lundbeck
2016,hcp,related_expenses,0,0.0,0.0,lundbeck
2016,hco,donations_grants,0,,,lundbeck
2016,hco,sponsorship,0,,,lundbeck
2016,hco,registration_fees,0,,,lundbeck
2016,hco,travel_accommodation,0,,,lundbeck
2016,hco,fees,0,,,lundbeck
2016,hcp,sponsorship,2,3000,1,menarini
2016,hcp,registration_fees,3,19044,1,menarini
2016,hcp,travel_accommodation,7,7442,2,menarini
2016,hcp,fees,1,2716,0,menarini
2016,hcp,related_expenses,1,582,0,menarini
2016,hco,donations_grants,0,0,0,menarini
2016,hco,sponsorship,4,281710,0,menarini
2016,hco,registration_fees,0,0,0,menarini
2016,hco,travel_accommodation,0,0,0,menarini
2016,hco,fees,0,0,0,menarini
2016,hcp,registration_fees,13.0,833.0,4.0,mepha
2016,hcp,fees,,,,mepha
2016,hcp,related_expenses,,,,mepha
2016,hco,donations_grants,,,,mepha
2016,hco,sponsorship,3.0,9586.0,2.0,mepha
2016,hco,fees,,,,mepha
2016,hco,related_expenses,,,,mepha
2016,hcp,registration_fees,54,18629.7,55.67,merck
2016,hcp,travel_accomodation,62,67112.76,56.88,merck
2016,hcp,fees,65,75327.52,65.0,merck
2016,hcp,related_expenses,13,19145.61,100.0,merck
2016,hcp,sponsorship,7,22950.0,77.78,msd
2016,hcp,registration_fees,40,16263.55,62.5,msd
2016,hcp,travel_accomodation,74,89283.38,61.67,msd
2016,hcp,fees,84,255855.2,54.9,msd
2016,hcp,related_expenses,14,13550.57,77.78,msd
2016,hco,donations_grants,8,297568.17,50.0,msd
2016,hco,sponsorship,66,673079.11,47.14,msd
2016,hco,registration_fees,8,10461.83,40.0,msd
2016,hco,travel_accomodation,14,44310.32,48.28,msd
2016,hco,fees,11,124001.0,35.48,msd
2016,hcp,sponsorship,0,,,mundipharma
2016,hcp,registration_fees,0,,,mundipharma
2016,hcp,travel_accomodation,0,,,mundipharma
2016,hcp,fees,0,,,mundipharma
2016,hcp,related_expenses,0,,,mundipharma
2016,hco,donations_grants,0,,,mundipharma
2016,hco,sponsorship,0,,,mundipharma
2016,hco,registration_fees,0,,,mundipharma
2016,hco,travel_accomodation,0,,,mundipharma
2016,hco,fees,0,,,mundipharma
2016,hcp,registration_fees,2,1550.0,0.8,novartis
2016,hcp,travel_accomodation,2,1318.0,0.84,novartis
2016,hcp,fees,28,62051.55,5.2,novartis
2016,hcp,related_expenses,2,999.43,2.13,novartis
2016,hco,sponsorship,1,1000.0,0.78,novartis
2016,hco,travel_accomodation,1,7933.4,1.67,novartis
2016,hco,fees,2,1700.0,2.33,novartis
2016,hcp,sponsorship,1,4500,25.0,novo
2016,hcp,registration_fees,7,3407,4.1,novo
2016,hcp,travel_accomodation,9,14315,4.6,novo
2016,hcp,fees,14,56652,17.3,novo
2016,hcp,related_expenses,5,14943,55.6,novo
2016,hco,donations_grants,1,300000,4.8,novo
2016,hco,sponsorship,2,12759,3.4,novo
2016,hco,registration_fees,1,346,11.1,novo
2016,hco,travel_accomodation,1,4118,10.0,novo
2016,hco,fees,1,1000,5.9,novo
2016,hcp,registration_fees,5.0,5055.53,10.38,orion
2016,hcp,travel_accommodation,,,,orion
2016,hcp,fees,,,,orion
2016,hcp,related_expenses,,,,orion
2016,hco,donations_grants,,,,orion
2016,hco,sponsorship,,,,orion
2016,hco,registration_fees,,,,orion
2016,hco,travel_accommodation,,,,orion
2016,hco,fees,,,,orion
2016,hcp,registration_fees,1,340.7,5,otsuka
2016,hcp,travel_accomodation,3,1762.52,9,otsuka
2016,hcp,fees,1,7461.0,5,otsuka
2016,hcp,related_expenses,1,734.14,100,otsuka
2016,hcp,registration_fees,10,4703,6.76,pfizer
2016,hcp,travel_accommodation,13,19737,6.07,pfizer
2016,hcp,fees,21,65408,9.91,pfizer
2016,hcp,related_expenses,10,5893,47.62,pfizer
2016,hco,donations_grants,8,2176709,25.81,pfizer
2016,hco,sponsorship,27,1137405,14.44,pfizer
2016,hco,registration_fees,0,0,0.0,pfizer
2016,hco,travel_accommodation,0,0,0.0,pfizer
2016,hco,fees,10,187466,21.74,pfizer
2016,hco,related_expenses,1,166,25.0,pfizer
2016,hcp,registration_fees,9.0,2362.8,5.0,pierre
2016,hcp,travel_accommodation,9.0,5869.43,14.0,pierre
2016,hcp,fees,5.0,6375.0,15.0,pierre
2016,hcp,related_expenses,2.0,461.4,1.0,pierre
2016,hco,donations_grants,2.0,2667.0,1.77,pierre
2016,hco,sponsorship,11.0,45984.5,19.84,pierre
2016,hco,registration_fees,1.0,950.0,0.41,pierre
2016,hco,travel_accommodation,1.0,53.0,0.03,pierre
2016,hco,fees,,,,pierre
2016,hcp,registration_fees,2518,8,"6,56 %",roche
2016,hcp,travel_accommodation,22680,15,"10,42 %",roche
2016,hcp,fees,105709,51,"22,47 %",roche
2016,hcp,related_expenses,18504,9,"47,37 %",roche
2016,hco,sponsorship,21450,6,"7,23%",roche
2016,hcp,sponsorship,1,1000.0,,sandoz
2016,hcp,registration_fees,29,9072.95,26.85,sandoz
2016,hcp,travel_accommodation,28,11648.57,27.45,sandoz
2016,hcp,fees,20,21914.98,36.36,sandoz
2016,hcp,related_expenses,2,1357.34,40.0,sandoz
2016,hco,donations_grants,17,295692.96,73.91,sandoz
2016,hco,sponsorship,25,44371.85,44.64,sandoz
2016,hco,registration_fees,5,64029.22,16.67,sandoz
2016,hco,travel_accommodation,3,2243.53,12.5,sandoz
2016,hco,fees,4,4000.0,28.57,sandoz
2016,hcp,donations_grants,,,,sanofi
2016,hcp,sponsorship,,,,sanofi
2016,hcp,registration_fees,22.0,9197.35,52.38,sanofi
2016,hcp,travel_accomodation,59.0,40864.58,52.21,sanofi
2016,hcp,fees,59.0,98745.38,47.0,sanofi
2016,hcp,related_expenses,15.0,27151.69,44.12,sanofi
2016,hco,donations_grants,2.0,59400.0,66.67,sanofi
2016,hco,sponsorship,17.0,274348.05,34.69,sanofi
2016,hco,registration_fees,,,,sanofi
2016,hco,travel_accomodation,4.0,13094.5,30.77,sanofi
2016,hco,fees,22.0,75704.4,43.14,sanofi
2016,hco,related_expenses,3.0,2853.5,27.27,sanofi
2016,hcp,registration_fees,17.0,6396.0,20.0,servier
2016,hcp,travel_accommodation,23.0,16929.0,19.0,servier
2016,hcp,fees,15.0,211719.0,18.0,servier
2016,hcp,related_expenses,2.0,2147.0,33.0,servier
2016,hco,donations_grants,1.0,818.0,8.0,servier
2016,hco,sponsorship,6.0,731830.0,6.0,servier
2016,hco,registration_fees,,,,servier
2016,hco,travel_accommodation,1.0,123394.0,100.0,servier
2016,hco,fees,2.0,399024.0,17.0,servier
2016,hco,related_expenses,3.0,11300.0,75.0,servier
2016,hcp,registration_fees,,,,shire
2016,hcp,travel_accommodation,4.0,1699.99,57.0,shire
2016,hcp,fees,4.0,5180.0,57.0,shire
2016,hcp,related_expenses,2.0,525.54,100.0,shire
2016,hco,donations_grants,3.0,77750.0,75.0,shire
2016,hco,sponsorship,7.0,37849.36,37.0,shire
2016,hco,registration_fees,,,,shire
2016,hco,travel_accommodation,4.0,4489.6,40.0,shire
2016,hco,fees,1.0,1000.0,20.0,shire
2016,hco,related_expenses,1.0,199.24,50.0,shire
2016,hcp,registration_fees,,,,stallergenes
2016,hcp,travel_accommodation,,,,stallergenes
2016,hcp,fees,,,,stallergenes
2016,hcp,related_expenses,,,,stallergenes
2016,hco,donations_grants,,,,stallergenes
2016,hco,sponsorship,,,,stallergenes
2016,hco,registration_fees,,,,stallergenes
2016,hco,travel_accommodation,,,,stallergenes
2016,hco,fees,,,,stallergenes
2016,hcp,registration_fees,1.0,257.95,1.47,takeda
2016,hcp,travel_accommodation,2.0,900.12,2.78,takeda
2016,hcp,fees,2.0,7024.53,6.06,takeda
2016,hcp,related_expenses,,,,takeda
2016,hco,donations_grants,,,,takeda
2016,hco,sponsorship,1.0,3250.0,1.27,takeda
2016,hco,registration_fees,,,,takeda
2016,hco,travel_accommodation,,,,takeda
2016,hco,fees,,,,takeda
2016,hco,donations_grants,,177445,,teva
2016,hco,sponsorship,,178426,,teva
2016,hcp,registration_fees,,46395,,teva
2016,hcp,travel_accomodation,,102508,,teva
2016,hcp,fees,,84031,,teva
2016,hcp,related_expenses,,2788,,teva
2016,hco,fees,,27350,,teva
2016,hco,related_expenses,,1829,,teva
2016,hco,donations_grants,1,20000.0,25.0,ucb
2016,hco,sponsorship,2,36557.88,7.69,ucb
2016,hco,fees,1,4320.0,14.29,ucb
2016,hcp,registration_fees,5,1658.71,15.63,ucb
2016,hcp,travel_accomodation,7,2657.88,17.5,ucb
2016,hcp,fees,1,4841.93,5.0,ucb
2016,hcp,related_expenses,2,1015.3,25.0,ucb
2016,hcp,registration_fees,6.0,2334.08,5.0,vifor
2016,hcp,travel_accommodation,9.0,7075.76,4.0,vifor
2016,hcp,fees,29.0,65655.0,23.0,vifor
2016,hcp,related_expenses,,,,vifor
2016,hco,donations_grants,,,0.0,vifor
2016,hco,sponsorship,10.0,172032.0,5.0,vifor
2016,hco,registration_fees,,,0.0,vifor
2016,hco,travel_accommodation,,,0.0,vifor
2016,hco,fees,1.0,1500.0,6.0,vifor
2016,hcp,registration_fees,60.0,5255.0,69.0,zambon
2016,hcp,travel_accommodation,,,,zambon
2016,hcp,fees,,,,zambon
2016,hcp,related_expenses,,,,zambon
2016,hco,donations_grants,,,,zambon
2016,hco,sponsorship,,,,zambon
2016,hco,registration_fees,,,,zambon
2016,hco,travel_accommodation,,,,zambon
2016,hco,fees,,,,zambon
